queue_position,batch,scopus_id,suggested_filename,title,year,journal,doi,article_url,credited_authids,credited_researchers,n_credited_researchers,rationale,question,requested_evidence,local_pdf_available,local_filenames,download_status,open_access_status,open_access_note,needed_material,fulltext_review_note,manual_download_url,acquired_from_url,top50_us_tied_pairs_separated_if_us,top50_total_ties_differentiated_if_us,distinct_tied_pairs_separated_if_us,new_top50_us_tied_pairs_if_us,potential_priority_weight,us_positive_scenario,manual_retrieval_status,manual_retrieval_note,new_pair_coverage_in_batch,tie_priority_position,tie_priority_batch
10,1,84918780367,84918780367.pdf,Benchmarks and Citizen Judgments of Local Government Performance: Findings from a survey experiment,2015,Public Management Review,10.1080/14719037.2013.798027,https://doi.org/10.1080/14719037.2013.798027,7003787305,Gregg G. Van Ryzin,1,Grade terminology and state comparisons do not establish which country's panel was sampled.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1080/14719037.2013.798027,,9,0,9,10,1.28571429,"Gregg G. Van Ryzin: US 6→7, rank 28→18",,,9,11,2
43,5,84945247501,84945247501.pdf,When is Changing Policy Positions Costly for Politicians? Experimental Evidence,2016,Political Behavior,10.1007/s11109-015-9321-9,https://doi.org/10.1007/s11109-015-9321-9,35745930100,David Doherty,1,Candidate policy changes without country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1007/s11109-015-9321-9,,9,1,9,10,0.56390977,"David Doherty: US 6→7, rank 28→18",,,8,12,2
15,2,84983314158,84983314158.pdf,"Probing the Links Between Trustworthiness, Trust, and Emotion: Evidence From Four Survey Experiments",2016,Social Psychology Quarterly,10.1177/0190272516657546,https://doi.org/10.1177/0190272516657546,36775562800,Blaine G. Robbins,1,MTurk and university students do not establish country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/0190272516657546,,7,0,7,10,1.0,"Blaine G. Robbins: US 5→6, rank 38→28",,,7,13,2
51,6,85041603336,85041603336.pdf,Civic Duty and Political Preference Formation,2018,Political Research Quarterly,10.1177/1065912917729037,https://doi.org/10.1177/1065912917729037,37063497400,Kevin J. Mullinix,1,Tax and education topics not uniquely American.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/1065912917729037,,7,0,7,1,0.7,"Kevin J. Mullinix: US 8→9, rank 10→9",,,7,14,2
47,5,85124121558,85124121558.pdf,Validating Threat: IO Approval and Public Support for Joining Military Counterterrorism Coalitions,2021,International Studies Quarterly,10.1093/isq/sqab032,https://doi.org/10.1093/isq/sqab032,57203528227,Jonathan A. Chu,1,Three sample countries not named; American reference is a cited prior study.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1093/isq/sqab032,,9,1,9,10,0.56390977,"Jonathan A. Chu: US 6→7, rank 28→18",,,7,15,2
28,3,85043332442,85043332442.pdf,Visual Information and Candidate Evaluations: The Influence of Feminine and Masculine Images on Support for Female Candidates,2018,Political Research Quarterly,10.1177/1065912917738579,https://doi.org/10.1177/1065912917738579,54881904100,Nichole M. Bauer,1,Candidate images and gender without country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/1065912917738579,,7,0,7,1,0.7,"Nichole M. Bauer: US 8→9, rank 10→9",,,6,16,2
64,7,85033714347,85033714347.pdf,Economic inequality and public support for organized labor,2017,Political Research Quarterly,10.1177/1065912917719501,https://doi.org/10.1177/1065912917719501,56611317200,John V. Kane,1,National survey without country; labour politics not uniquely American.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/1065912917719501,,9,1,9,10,0.46240602,"John V. Kane: US 6→7, rank 28→18",,,6,17,2
99,10,85100751141,85100751141.pdf,Private Eyes in the Sky: Emerging Technology and the Political Consequences of Eroding Government Secrecy,2021,Journal of Conflict Resolution,10.1177/0022002720987285,https://doi.org/10.1177/0022002720987285,23479932300,Erik Lin-Greenberg,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,green,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3745737,,7,0,7,10,0.32706767,"Erik Lin-Greenberg: US 5→6, rank 38→28",,,6,18,2
105,11,84943355793,84943355793.pdf,Backing Out or Backing In? Commitment and Consistency in Audience Costs Theory,2015,American Journal of Political Science,10.1111/ajps.12197,https://doi.org/10.1111/ajps.12197,24554597700,Geoffrey P. R. Wallace,1,Audience costs and an unnamed president do not establish participant country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1111/ajps.12197,,6,0,6,8,0.13043478,"Geoffrey P. R. Wallace: US 4→5, rank 46→38",,,6,19,2
62,7,85130898035,85130898035.pdf,Abstraction and Detail in Experimental Design,2023,American Journal of Political Science,10.1111/ajps.12710,https://doi.org/10.1111/ajps.12710,56556884300,Ryan Brutger,1,Replication experiments without sample countries.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1111/ajps.12710,,7,2,7,1,0.7,"Ryan Brutger: US 8→9, rank 10→9",,,5,20,2
11,2,84963994831,84963994831.pdf,"How Citizens Respond to Outputs, Outcomes, and Costs: A Survey Experiment About an HIV/AIDS Program",2017,International Public Management Journal,10.1080/10967494.2016.1143425,https://doi.org/10.1080/10967494.2016.1143425,7003787305,Gregg G. Van Ryzin,1,HIV programme without sample location.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1080/10967494.2016.1143425,,9,0,9,10,1.28571429,"Gregg G. Van Ryzin: US 6→7, rank 28→18",,,9,21,3
44,5,85069695771,85069695771.pdf,The Effects of Blaming Others for Legislative Inaction on Individual and Collective Evaluations,2020,Legislative Studies Quarterly,10.1111/lsq.12252,https://doi.org/10.1111/lsq.12252,35745930100,David Doherty,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1111/lsq.12252,,9,1,9,10,0.56390977,"David Doherty: US 6→7, rank 28→18",,,8,22,3
16,2,85033780100,85033780100.pdf,"Status, identity, and ability in the formation of trust",2017,Rationality and Society,10.1177/1043463117734179,https://doi.org/10.1177/1043463117734179,36775562800,Blaine G. Robbins,1,MTurk and university students do not establish country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/1043463117734179,,7,0,7,10,1.0,"Blaine G. Robbins: US 5→6, rank 38→28",,,7,23,3
52,6,85059103503,85059103503.pdf,Information and Issue Constraints on Party Cues,2019,American Politics Research,10.1177/1532673X18803887,https://doi.org/10.1177/1532673X18803887,37063497400,Kevin J. Mullinix,1,Ideological party cues not uniquely American.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/1532673X18803887,,7,0,7,1,0.7,"Kevin J. Mullinix: US 8→9, rank 10→9",,,7,24,3
48,5,85124170048,85124170048.pdf,Liberal Ideology and Foreign Opinion on China,2021,International Studies Quarterly,10.1093/isq/sqab062,https://doi.org/10.1093/isq/sqab062,57203528227,Jonathan A. Chu,1,Foreign perceptions of China without experiment sample countries.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1093/isq/sqab062,,9,1,9,10,0.56390977,"Jonathan A. Chu: US 6→7, rank 28→18",,,7,25,3
29,3,85076027417,85076027417.pdf,Shifting standards: How voters evaluate the qualifications of female and male candidates,2020,Journal of Politics,10.1086/705817,https://doi.org/10.1086/705817,54881904100,Nichole M. Bauer,1,Candidate qualifications without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,green,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://repository.lsu.edu/polisci_pubs/50,,7,0,7,1,0.7,"Nichole M. Bauer: US 8→9, rank 10→9",,,6,26,3
95,10,85048745799,85048745799.pdf,Exploring the difference in participants’ factual knowledge between online and in-person survey modes,2016,Research and Politics,10.1177/2053168016654326,https://doi.org/10.1177/2053168016654326,55461249300,Craig M. Burnett,1,Survey mode and factual-knowledge comparisons do not locate the participants.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,gold,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://journals.sagepub.com/doi/pdf/10.1177/2053168016654326,,9,0,9,10,0.46240602,"Craig M. Burnett: US 6→7, rank 28→18",,,6,27,3
100,10,85135349631,85135349631.pdf,You and Whose Army? How Civilian Leaders Leverage the Military’s Prestige to Shape Public Opinion,2022,Journal of Politics,10.1086/718355,https://doi.org/10.1086/718355,57188971604,Sarah R. Maxey,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1086/718355,,7,0,7,10,0.32706767,"Sarah R. Maxey: US 5→6, rank 38→28",,,6,28,3
124,13,85052006071,85052006071.pdf,How Communicating Misleading Information Dilutes Public Understanding of Weight Loss Mechanisms,2019,Health Communication,10.1080/10410236.2018.1504656,https://doi.org/10.1080/10410236.2018.1504656,6601956224,John Gastil,1,National nutrition sample without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1080/10410236.2018.1504656,,6,0,6,8,0.13043478,"John Gastil: US 4→5, rank 46→38",,,6,29,3
63,7,85200455835,85200455835.pdf,Self-interest and preferences for the regulation of artificial intelligence,2025,Journal of Information Technology and Politics,10.1080/19331681.2024.2370815,https://doi.org/10.1080/19331681.2024.2370815,55603014300,Tobias Heinrich,1,AI jobs experiment without country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,bronze,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://www.tandfonline.com/doi/pdf/10.1080/19331681.2024.2370815?needAccess=true,,7,2,7,1,0.7,"Tobias Heinrich: US 8→9, rank 10→9",,,5,30,3
12,2,85067581830,85067581830.pdf,Coproduction and trust in government: evidence from survey experiments,2019,Public Management Review,10.1080/14719037.2019.1619812,https://doi.org/10.1080/14719037.2019.1619812,7003787305,Gregg G. Van Ryzin,1,Coproduction experiments without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1080/14719037.2019.1619812,,9,0,9,10,1.28571429,"Gregg G. Van Ryzin: US 6→7, rank 28→18",,,9,31,4
45,5,85086600850,85086600850.pdf,Campaign mailers and intent to turnout: Do similar field and survey experiments yield the same conclusions?,2020,Journal of Experimental Political Science,10.1017/XPS.2019.2,https://doi.org/10.1017/XPS.2019.2,35745930100,David Doherty,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,bronze,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/376A346318AEA473777DAB812C4A892F/S2052263019000022a.pdf/div-class-title-campaign-mailers-and-intent-to-turnout-do-similar-field-and-survey-experiments-yield-the-same-conclusions-div.pdf,,9,1,9,10,0.56390977,"David Doherty: US 6→7, rank 28→18",,,8,32,4
17,2,85033788510,85033788510.pdf,When Social Constraints Increase Trust: Considering Causal Attributions as a Source of Treatment Effect Heterogeneity,2016,Socius,10.1177/2378023116667360,https://doi.org/10.1177/2378023116667360,36775562800,Blaine G. Robbins,1,Crowdsourced samples without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,gold,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1177/2378023116667360,,7,0,7,10,1.0,"Blaine G. Robbins: US 5→6, rank 38→28",,,7,33,4
30,3,85101803291,85101803291.pdf,Candidate Aggression and Gendered Voter Evaluations,2022,Political Psychology,10.1111/pops.12737,https://doi.org/10.1111/pops.12737,54881904100,Nichole M. Bauer,1,Candidate aggression without country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,green,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://digitalcommons.lsu.edu/manship_pubs/9,,7,0,7,1,0.7,"Nichole M. Bauer: US 8→9, rank 10→9",,,7,34,4
49,5,85170289998,85170289998.pdf,"Malicious Motives or Innocent Intentions? How Moral Reactions to ""Collateral Damage"" Shape Perceptions of Intent in Wartime Conduct",2023,Foreign Policy Analysis,10.1093/fpa/orad018,https://doi.org/10.1093/fpa/orad018,57203528227,Jonathan A. Chu,1,Wartime conduct without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1093/fpa/orad018,,9,1,9,10,0.56390977,"Jonathan A. Chu: US 6→7, rank 28→18",,,7,35,4
65,7,85051013258,85051013258.pdf,"Control, Accountability, and Constraints: Rethinking Perceptions of Presidential Responsibility for the Economy",2016,Presidential Studies Quarterly,10.1111/psq.12273,https://doi.org/10.1111/psq.12273,56611317200,John V. Kane,1,Presidential accountability alone does not distinguish the US from other presidential systems.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1111/psq.12273,,9,1,9,10,0.46240602,"John V. Kane: US 6→7, rank 28→18",,,6,36,4
101,11,85177488077,85177488077.pdf,How membership in the North Atlantic Treaty Organization transforms public support for war,2023,Pnas Nexus,10.1093/pnasnexus/pgad206,https://doi.org/10.1093/pnasnexus/pgad206,6505910383,Michael Tomz,1,Thirteen NATO member countries are not listed; US participation cannot be assumed.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,gold,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://academic.oup.com/pnasnexus/article-pdf/2/7/pgad206/50789652/pgad206.pdf,,7,0,7,10,0.32706767,"Michael Tomz: US 5→6, rank 38→28",,,6,37,4
125,13,85065670412,85065670412.pdf,Tracing the Boundaries of Motivated Reasoning: How Deliberative Minipublics Can Improve Voter Knowledge,2020,Political Psychology,10.1111/pops.12591,https://doi.org/10.1111/pops.12591,6601956224,John Gastil,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1111/pops.12591,,6,0,6,8,0.13043478,"John Gastil: US 4→5, rank 46→38",,,6,38,4
66,7,85053665784,85053665784.pdf,The Scope of Partisan Influence on Policy Opinion,2019,Political Psychology,10.1111/pops.12495,https://doi.org/10.1111/pops.12495,55612017400,Erik Peterson,1,Party cues without country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1111/pops.12495,,9,1,9,10,0.46240602,"Erik Peterson: US 6→7, rank 28→18",,,5,39,4
102,11,105000168854,105000168854.pdf,Assessing the Impact of Informational Interventions on Perceptions of School Quality,2025,American Educational Research Journal,10.3102/00028312251315740,https://doi.org/10.3102/00028312251315740,57220203816,Kaylyn Jackson Schiff,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.3102/00028312251315740,,7,0,7,10,0.32706767,"Kaylyn Jackson Schiff: US 5→6, rank 38→28",,,5,40,4
13,2,85096111198,85096111198.pdf,Evidence of an Output Bias in the Judgment of Public Performance: A Replication and Extension,2021,Public Performance and Management Review,10.1080/15309576.2020.1835679,https://doi.org/10.1080/15309576.2020.1835679,7003787305,Gregg G. Van Ryzin,1,Programme examples without country; name of intervention alone insufficient.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1080/15309576.2020.1835679,,9,0,9,10,1.28571429,"Gregg G. Van Ryzin: US 6→7, rank 28→18",,,9,41,5
50,5,105046220290,105046220290.pdf,Partisanship and Voting Rule Trade-offs,2026,American Politics Research,10.1177/1532673X261470402,https://doi.org/10.1177/1532673X261470402,35745930100,David Doherty,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,bronze,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://journals.sagepub.com/doi/pdf/10.1177/1532673X261470402?download=true,,9,1,9,10,0.56390977,"David Doherty: US 6→7, rank 28→18",,,8,42,5
18,2,85044032298,85044032298.pdf,Legitimate authorities and rational taxpayers: An investigation of voluntary compliance and method effects in a survey experiment of income tax evasion,2018,Rationality and Society,10.1177/1043463118759671,https://doi.org/10.1177/1043463118759671,36775562800,Blaine G. Robbins,1,University undergraduates without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/1043463118759671,,7,0,7,10,1.0,"Blaine G. Robbins: US 5→6, rank 38→28",,,7,43,5
55,6,85060884767,85060884767.pdf,"Prospect Theory and Criminal Choice: Experiments Testing Framing, Reference Dependence, and Decision Weights",2020,Justice Quarterly,10.1080/07418825.2018.1531142,https://doi.org/10.1080/07418825.2018.1531142,38061940400,Justin T. Pickett,1,Three samples without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1080/07418825.2018.1531142,,9,0,9,10,0.46240602,"Justin T. Pickett: US 6→7, rank 28→18",,,7,44,5
67,7,85064805724,85064805724.pdf,Demand effects in survey experiments: An empirical assessment,2019,American Political Science Review,10.1017/S0003055418000837,https://doi.org/10.1017/S0003055418000837,55612017400,Erik Peterson,1,Replication experiments without sample countries.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1017/S0003055418000837,,9,1,9,10,0.46240602,"Erik Peterson: US 6→7, rank 28→18",,,6,45,5
103,11,105010718991,105010718991.pdf,Good Enough? Public Perceptions of Success in Military Interventions,2025,International Studies Quarterly,10.1093/isq/sqaf051,https://doi.org/10.1093/isq/sqaf051,57188971604,Sarah R. Maxey,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1093/isq/sqaf051,,7,0,7,10,0.32706767,"Sarah R. Maxey: US 5→6, rank 38→28",,,6,46,5
