position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
13,12,12794521600,Bolsen T.,12,8,10,2,0,,4.47619,true,84901037027|84943199945|85008246775|85044370343|85057148304|85062719018|85070298879|85130733510|85167408025|85209378959|85216215252|85217158927,https://www.scopus.com/authid/detail.uri?authorId=12794521600,provisional_query_candidates
14,12,23010864600,Whitt S.,12,0,4,8,0,,4.5,false,85071419972|85099962519|85108557459|85132755374|85216104420|85216486046|85216620221|105000519465|105002134171|105003442248|105024217606|105041965396,https://www.scopus.com/authid/detail.uri?authorId=23010864600,provisional_query_candidates
15,12,54881904100,Bauer N.,12,3,10,8,0,,8.083333,true,84957805398|85014540568|85043332442|85048742659|85067352245|85076027417|85076167276|85095117105|85101803291|85122780387|105005597308|105005626231,https://www.scopus.com/authid/detail.uri?authorId=54881904100,provisional_query_candidates
16,12,55091186500,Ono Y.,12,5,3,9,0,,5.166667,false,85054952173|85113817293|85129159055|85135896371|85136473193|85186447775|85219095528|105000131600|105009206681|105009501936|105021366057|105040509962,https://www.scopus.com/authid/detail.uri?authorId=55091186500,provisional_query_candidates
17,12,56734108300,Pedersen M.J.,12,4,10,4,0,,6.083333,false,84940214050|84975770291|85037044153|85038356713|85040459526|85054474475|85074017190|85167655087|85183015664|85183977264|85212439594|105005574189,https://www.scopus.com/authid/detail.uri?authorId=56734108300,provisional_query_candidates
18,12,57217457882,Huber G.A.,12,7,2,10,0,,4.259524,false,85060580173|85062681263|85064539825|85097381620|85119018835|85120875984|85132896321|85183492832|85208657819|105007228428|105012258249|105013200123,https://www.scopus.com/authid/detail.uri?authorId=57217457882,provisional_query_candidates
19,19,6603696960,Druckman J.,11,2,8,3,0,,3.766667,false,84874501501|84943199945|84945162574|85012118612|85037698515|85044370343|85058068103|85059946018|85116875533|85160596820|85204418104,https://www.scopus.com/authid/detail.uri?authorId=6603696960,provisional_query_candidates
20,19,7202316609,Prakash A.,11,1,0,11,0,,3.416667,false,85053490407|85059252534|85087378517|85104593177|85122571011|85185836671|85193987772|85214296759|105010226878|105033260134|105039827469,https://www.scopus.com/authid/detail.uri?authorId=7202316609,provisional_query_candidates
21,19,14034772300,Reifler J.,11,1,1,10,0,,2.257937,false,84891494021|84921984369|85106697357|85124140550|85147720720|85162185399|85170631568|85174056404|85213442851|105008461820|105027197362,https://www.scopus.com/authid/detail.uri?authorId=14034772300,provisional_query_candidates
22,19,14832646600,Gearing R.E.,11,11,6,5,0,,1.856349,false,84871858111|84876049317|85100598411|85134747070|85145825392|85147143671|85174071113|85205574905|105010461822|105011988550|105019345621,https://www.scopus.com/authid/detail.uri?authorId=14832646600,provisional_query_candidates
23,19,16305967100,Willer R.,11,1,0,11,0,,3.27619,true,85052331497|85084324260|85091718485|85111979067|85120885789|85160596820|85176547661|85191915888|105005029873|105029946035|105044369270,https://www.scopus.com/authid/detail.uri?authorId=16305967100,provisional_query_candidates
24,19,35725744600,Kreps S.,11,2,9,3,0,,5.583333,true,84995444937|84998915284|85042090180|85094221120|85125698803|85127254828|85127581823|85128583393|85165518545|85179678265|105029190749,https://www.scopus.com/authid/detail.uri?authorId=35725744600,provisional_query_candidates
25,19,35745930100,Doherty D.,11,0,11,2,0,,5.083333,true,80054939891|84929578243|84930584663|84945247501|85060580173|85068049998|85069695771|85086600850|105001650331|105007145263|105046220290,https://www.scopus.com/authid/detail.uri?authorId=35745930100,provisional_query_candidates
26,19,35861891200,Winters M.S.,11,1,4,7,0,,4.142857,false,84962730593|84967215008|85012297251|85019456641|85035364736|85073767137|85102071850|85152296772|85160547976|105001850441|105012597345,https://www.scopus.com/authid/detail.uri?authorId=35861891200,provisional_query_candidates
27,19,57190806413,Rudolph L.,11,3,9,4,0,,5.166667,false,85119401868|85119426755|85159334579|85159582567|85166589138|85188604798|85207749628|105006801172|105027329225|105039204587|105043412577,https://www.scopus.com/authid/detail.uri?authorId=57190806413,provisional_query_candidates
28,19,57203528227,Chu J.A.,11,3,8,5,0,,5.833333,true,85052060424|85103382393|85107869445|85122139505|85124121558|85124170048|85127696366|85170289998|85176924618|85206830858|105012359420,https://www.scopus.com/authid/detail.uri?authorId=57203528227,provisional_query_candidates
29,29,35759060800,Nyhan B.,10,4,5,6,0,,3.315812,true,80052366764|84898753023|84921984369|85047903545|85049075124|85106950513|85114350257|85182629341|105005845952|105015521246,https://www.scopus.com/authid/detail.uri?authorId=35759060800,provisional_query_candidates
30,29,36159270600,Yamamoto T.,10,2,0,10,2,Amazon Mechanical Turk,2.816667,false,84892498539|84923552574|85041214633|85052643404|85065436110|85107306214|85115188399|85171738080|85172870189|105001181982,https://www.scopus.com/authid/detail.uri?authorId=36159270600,provisional_query_candidates
31,29,37063497400,Mullinix K.J.,10,1,5,6,1,Amazon Mechanical Turk,4.833333,true,84941353207|85012122035|85041603336|85053299605|85057578602|85059103503|85067057847|85123476525|85127190236|105038900974,https://www.scopus.com/authid/detail.uri?authorId=37063497400,provisional_query_candidates
32,29,38061940400,Pickett J.T.,10,3,5,6,1,YouGov,4.25,false,85017479115|85030544249|85060884767|85091202562|85092499524|85099391391|85190319537|85217932803|105001077495|105005805574,https://www.scopus.com/authid/detail.uri?authorId=38061940400,provisional_query_candidates
33,29,57205672554,Tanaka S.,10,2,2,9,0,,4.083333,false,84978085703|84992655159|85061035641|85069886131|85101215653|85118477821|85126806972|85138248657|85158112186|85206340986,https://www.scopus.com/authid/detail.uri?authorId=57205672554,provisional_query_candidates
34,34,17345249500,Abraham M.,9,1,7,2,0,,3.4,false,77955164049|84861746768|84872322437|84960115436|84975048512|85071372063|85131278479|85144761803|85176382083,https://www.scopus.com/authid/detail.uri?authorId=17345249500,provisional_query_candidates
35,34,23982874600,Liebe U.,9,2,5,4,0,,3.116667,false,80051637855|84907487526|85018788745|85049693637|85077691868|85084071067|85092904088|85162979593|105039696438,https://www.scopus.com/authid/detail.uri?authorId=23982874600,provisional_query_candidates
36,34,24474160700,Calfano B.,9,0,6,3,0,,4.083333,false,84887527789|84959343624|84959905263|85037647979|85053221139|85100970268|85122529325|85124994501|85146866960,https://www.scopus.com/authid/detail.uri?authorId=24474160700,provisional_query_candidates
37,34,35183713000,Pérez E.,9,2,7,4,0,,4.809524,true,84890418441|84955616709|85021736860|85066605513|85127783017|85139216162|85148945547|85162677133|105029060592,https://www.scopus.com/authid/detail.uri?authorId=35183713000,provisional_query_candidates
38,34,35492113000,Zeitzoff T.,9,1,1,8,0,,3.533333,false,85020188394|85042184003|85047903545|85049075124|85068387044|85069682610|85078960506|85183616534|105026243740,https://www.scopus.com/authid/detail.uri?authorId=35492113000,provisional_query_candidates
39,34,55603014300,Heinrich T.,9,0,6,3,0,,3.833333,false,85029279527|85042721612|85078201451|85109308295|85109571277|85133919585|85188096695|85193946140|85200455835,https://www.scopus.com/authid/detail.uri?authorId=55603014300,provisional_query_candidates
40,34,55612017400,Peterson E.,9,1,7,3,0,,4.583333,false,85053665784|85064805724|85099984460|85118939204|85125920680|85205529418|85216671878|105001820017|105003759877,https://www.scopus.com/authid/detail.uri?authorId=55612017400,provisional_query_candidates
41,34,55746145800,Baert S.,9,8,1,8,1,Prolific,2.67619,false,84908021986|85056907668|85081613400|85087287708|85165352675|85202899391|85215433861|105010332441|105047190761,https://www.scopus.com/authid/detail.uri?authorId=55746145800,provisional_query_candidates
42,34,56448439600,Aytaç S.E.,9,3,9,3,0,,5.5,false,85019041831|85053017516|85057946678|85101463174|85109276344|85115941650|85168483699|105002982634|105018624506,https://www.scopus.com/authid/detail.uri?authorId=56448439600,provisional_query_candidates
43,34,56556884300,Brutger R.,9,1,8,2,0,,4.533333,false,85046533072|85096694153|85129014294|85129300276|85130898035|85131738044|85198952844|85216353783|85218245112,https://www.scopus.com/authid/detail.uri?authorId=56556884300,provisional_query_candidates
44,34,56611317200,Kane J.V.,9,2,7,7,0,,6.833333,false,85033714347|85051013258|85061188236|85067402720|85076495848|85159594856|85180219290|85185575879|85205118689,https://www.scopus.com/authid/detail.uri?authorId=56611317200,provisional_query_candidates
45,34,57189074265,Mazepus H.,9,4,5,5,0,,4.7,false,85070813530|85121452284|85147434032|85150819039|85214354427|105025108627|105025248279|105027159077|105029985491,https://www.scopus.com/authid/detail.uri?authorId=57189074265,provisional_query_candidates
46,34,57191360465,Zhang J.,9,0,3,6,0,,3.033333,false,85129226690|85158001358|85160835182|85161446266|85176725704|85205257452|85215379642|105001127398|105046162689,https://www.scopus.com/authid/detail.uri?authorId=57191360465,provisional_query_candidates
47,47,15757402700,Loewen P.J.,8,0,1,7,0,,2.594444,false,84857236813|85047792819|85125126673|85147209656|105007427471|105029615177|105032149587|105033577491,https://www.scopus.com/authid/detail.uri?authorId=15757402700,provisional_query_candidates
48,47,17345075500,Auspurg K.,8,4,8,1,0,,4.0,false,80051637855|84897780635|84973462486|85011629108|85012893728|85024131036|85045341632|85204086208,https://www.scopus.com/authid/detail.uri?authorId=17345075500,provisional_query_candidates
49,47,24339564700,Steinberg D.A.,8,0,3,5,0,,3.5,false,85082410038|85131571257|85168483699|85198928846|85198999643|105014746447|105018624506|105035324372,https://www.scopus.com/authid/detail.uri?authorId=24339564700,provisional_query_candidates
50,47,36676605900,Spilker G.,8,1,2,6,0,,3.083333,false,85020961104|85074743455|85086771184|85132650412|85136587321|85203853246|85207258086|85219489421,https://www.scopus.com/authid/detail.uri?authorId=36676605900,provisional_query_candidates
51,47,49861923700,Schachter A.,8,0,5,5,0,,4.033333,false,84989249038|85053749730|85060845910|85106197207|85140292533|85174683248|85175416392|85204053529,https://www.scopus.com/authid/detail.uri?authorId=49861923700,provisional_query_candidates
52,47,50861069700,Arnesen S.,8,1,7,2,0,,3.416667,false,85019003064|85041497842|85042078394|85056201830|85101368479|85160802270|85199980210|105042642663,https://www.scopus.com/authid/detail.uri?authorId=50861069700,provisional_query_candidates
53,47,55672957800,Smetana M.,8,1,8,1,0,,3.666667,false,85135789153|85138434242|85150347085|85185289779|85201275085|105002305507|105012748003|105034913587,https://www.scopus.com/authid/detail.uri?authorId=55672957800,provisional_query_candidates
54,47,55917294300,Tago A.,8,1,1,7,0,,2.7,false,84924257526|84980398257|85061912024|85071196692|85113720597|85131524653|85176012765|105042398599,https://www.scopus.com/authid/detail.uri?authorId=55917294300,provisional_query_candidates
55,47,56534303500,Kevins A.,8,3,6,3,0,,4.5,false,85048299227|85090934478|85091348291|85115789865|85132885156|85210069567|105015216506|105041066983,https://www.scopus.com/authid/detail.uri?authorId=56534303500,provisional_query_candidates
56,47,56590030100,Coppock A.,8,2,4,4,2,Amazon Mechanical Turk|Lucid,3.5,true,85020522370|85041537528|85044846087|85057578602|85060859151|85125280963|85125774527|85141907351,https://www.scopus.com/authid/detail.uri?authorId=56590030100,provisional_query_candidates
57,47,56689411500,Thomsen M.K.,8,3,4,4,0,,3.333333,false,85084494184|85096893189|85103173621|85151429736|85166922041|85168585934|85175738454|105035149198,https://www.scopus.com/authid/detail.uri?authorId=56689411500,provisional_query_candidates
58,47,57196390820,Devroe R.,8,1,8,4,0,,6.0,false,85045047689|85056771847|85075750267|85085952101|85094558347|85134236669|85195873095|105029224931,https://www.scopus.com/authid/detail.uri?authorId=57196390820,provisional_query_candidates
59,47,57200795890,Siddiqui N.A.,8,1,1,8,0,,4.166667,false,84978176832|85063151938|85077597096|85101050843|85127841667|85128241944|85193752111|105004032663,https://www.scopus.com/authid/detail.uri?authorId=57200795890,provisional_query_candidates
60,47,57203434746,Beiser-McGrath L.F.,8,0,7,2,0,,4.0,false,84975789795|85062085474|85109104338|85111099207|85124196620|85179742651|85214294509|105040952337,https://www.scopus.com/authid/detail.uri?authorId=57203434746,provisional_query_candidates
61,47,57203655130,Searles K.,8,4,3,6,0,,3.2,false,77956761607|84995760092|85047370379|85055564646|85114860836|85138320659|105005626231|105012355723,https://www.scopus.com/authid/detail.uri?authorId=57203655130,provisional_query_candidates
62,47,57211410814,Boehme H.M.,8,3,8,0,0,,2.566667,false,85166000414|85172009271|85196196052|105011656970|105021850455|105032210380|105034351804|105034680050,https://www.scopus.com/authid/detail.uri?authorId=57211410814,provisional_query_candidates
63,47,57220041117,Rosendorf O.,8,0,3,5,0,,2.583333,false,85130612333|85138434242|85150347085|85172783788|85201275085|105012748003|105029692176|105034913587,https://www.scopus.com/authid/detail.uri?authorId=57220041117,provisional_query_candidates
64,47,57226018577,Hoy C.,8,4,6,3,0,,4.0,false,85118791111|85119058426|85119060624|85119977511|85142142962|85199252364|85208275570|105001939816,https://www.scopus.com/authid/detail.uri?authorId=57226018577,provisional_query_candidates
65,47,57226745341,Shao L.,8,2,5,3,0,,3.0,false,85052056398|85077113602|85113622220|85146218802|85150416542|85168162046|85183863367|85189611762,https://www.scopus.com/authid/detail.uri?authorId=57226745341,provisional_query_candidates
66,47,57952558700,McLaughlin P.,8,2,6,5,0,,5.333333,false,85141125749|85159180192|85178047069|85219694487|105001651117|105005085445|105019586030|105021982298,https://www.scopus.com/authid/detail.uri?authorId=57952558700,provisional_query_candidates
67,67,6505910383,Tomz M.,7,2,4,3,0,,2.866667,true,85076169910|85077074496|85116162897|85177488077|85185948624|105014100991|105018760904,https://www.scopus.com/authid/detail.uri?authorId=6505910383,provisional_query_candidates
68,67,7003772257,Hinz T.,7,3,0,7,0,,2.416667,false,77955164049|84897780635|85075374121|85147713538|85156243509|85185333173|85216288234,https://www.scopus.com/authid/detail.uri?authorId=7003772257,provisional_query_candidates
69,67,7401620196,Butler D.M.,7,0,6,1,0,,3.083333,false,84897032731|84929260244|84938501817|84992092827|85121376619|85127315034|85188521838,https://www.scopus.com/authid/detail.uri?authorId=7401620196,provisional_query_candidates
70,67,22836955000,van der Waal J.,7,4,0,7,0,,2.083333,false,85121628744|85142750388|85169836117|85176231377|85176392346|85192535937|105037057133,https://www.scopus.com/authid/detail.uri?authorId=22836955000,provisional_query_candidates
71,67,23479932300,Lin-Greenberg E.,7,1,4,6,0,,5.0,false,85066842117|85100751141|85106419798|85131596715|85144972223|85190436333|85208237881,https://www.scopus.com/authid/detail.uri?authorId=23479932300,provisional_query_candidates
72,67,24554597700,Wallace G.P.R.,7,1,2,6,0,,3.75,false,84943355793|84995444937|85053519754|85061209721|85063107433|85138250666|85208680176,https://www.scopus.com/authid/detail.uri?authorId=24554597700,provisional_query_candidates
73,67,25226021600,Schuldt J.P.,7,3,5,2,0,,2.583333,true,84922814039|84960092229|84961187162|85007439389|85019749197|85167522555|105000414839,https://www.scopus.com/authid/detail.uri?authorId=25226021600,provisional_query_candidates
74,67,25654666600,Boudreau C.,7,0,7,0,0,,3.0,false,84891492083|85047666016|85050296213|85101015159|85174000856|85202761631|105040346734,https://www.scopus.com/authid/detail.uri?authorId=25654666600,provisional_query_candidates
75,67,35233806200,MacKenzie S.A.,7,0,0,7,0,,3.0,false,84891492083|85047666016|85050296213|85101015159|85174000856|85202761631|105040346734,https://www.scopus.com/authid/detail.uri?authorId=35233806200,provisional_query_candidates
76,67,35784707400,Miller S.M.,7,0,4,3,0,,3.333333,false,85064259638|85067395049|85077022750|85127205226|85137333494|85162955443|85197616759,https://www.scopus.com/authid/detail.uri?authorId=35784707400,provisional_query_candidates
77,67,36713939500,Musgrave P.,7,2,4,6,0,,5.0,false,85127296015|85145200849|85168004718|105000221636|105011632356|105025976814|105039310829,https://www.scopus.com/authid/detail.uri?authorId=36713939500,provisional_query_candidates
78,67,42161868700,Oksanen A.,7,4,0,7,0,,1.666667,false,85061311427|85076359084|85083720807|85101022632|85146083795|85175177312|85194493858,https://www.scopus.com/authid/detail.uri?authorId=42161868700,provisional_query_candidates
79,67,55135830500,Simonovits G.,7,2,3,6,0,,3.75,true,84907224761|84929675895|84946492047|84976408149|85029796805|85127649210|105018681448,https://www.scopus.com/authid/detail.uri?authorId=55135830500,provisional_query_candidates
80,67,55175754800,Christiani L.,7,0,6,2,0,,3.5,false,85102991968|85143607111|85179965686|85193006917|85208781552|105001722280|105047382392,https://www.scopus.com/authid/detail.uri?authorId=55175754800,provisional_query_candidates
81,67,55454468300,Nteta T.M.,7,4,2,5,0,,3.166667,false,84981249322|85011497605|85047444290|85081592258|85123914954|85130062680|105026699333,https://www.scopus.com/authid/detail.uri?authorId=55454468300,provisional_query_candidates
82,67,55461249300,Burnett C.M.,7,2,6,2,0,,4.0,true,84868652825|84901278220|84922321696|84922883219|85048745799|85101964602|105008319657,https://www.scopus.com/authid/detail.uri?authorId=55461249300,provisional_query_candidates
83,67,55494876700,Miller D.R.,7,1,6,1,0,,3.0,false,85106176160|85126450365|85149816643|85191602397|85192145575|85212059156|105019368716,https://www.scopus.com/authid/detail.uri?authorId=55494876700,provisional_query_candidates
84,67,55636964600,Doan L.,7,2,5,2,0,,3.0,true,84911475468|84943222917|85052633160|85089319442|85095133927|85126304810|105042340289,https://www.scopus.com/authid/detail.uri?authorId=55636964600,provisional_query_candidates
85,67,56063862300,Sattler S.,7,4,7,0,0,,2.033333,false,84881086329|84894064305|85019942117|85146833340|85150666256|105036072221|105039779372,https://www.scopus.com/authid/detail.uri?authorId=56063862300,provisional_query_candidates
86,67,56196951600,Yair O.,7,0,2,6,0,,3.5,false,85087093352|85122479991|85143226704|85162663710|85186427431|86000748753|105047461442,https://www.scopus.com/authid/detail.uri?authorId=56196951600,provisional_query_candidates
87,67,56329786700,Robison J.,7,2,4,5,0,,4.25,true,84941353207|85091048531|85091348291|85101177545|85129722512|85210069567|105041066983,https://www.scopus.com/authid/detail.uri?authorId=56329786700,provisional_query_candidates
88,67,56354967100,Moynihan D.P.,7,3,1,7,0,,3.583333,false,84944081200|85019676280|105018094455|105018714689|105023686741|105038401018|105041780221,https://www.scopus.com/authid/detail.uri?authorId=56354967100,provisional_query_candidates
89,67,56868425000,Quek K.,7,0,2,5,0,,3.5,false,85033378563|85066606469|85126369047|85127895187|85186262055|105013279686|105031363663,https://www.scopus.com/authid/detail.uri?authorId=56868425000,provisional_query_candidates
90,67,56924059300,Li X.,7,1,3,4,0,,3.166667,false,85046690233|85062659420|85076712061|85082114477|85183561559|105000547426|105045518046,https://www.scopus.com/authid/detail.uri?authorId=56924059300,provisional_query_candidates
91,67,57188880644,Sukin L.,7,0,4,5,0,,4.333333,false,85067788122|85077144076|85147286875|85189699546|105035726373|105039309580|105045424436,https://www.scopus.com/authid/detail.uri?authorId=57188880644,provisional_query_candidates
92,67,57188971604,Maxey S.,7,0,5,6,0,,5.5,false,85042090180|85067897137|85091439364|85117594438|85135349631|105010718991|105011333746,https://www.scopus.com/authid/detail.uri?authorId=57188971604,provisional_query_candidates
93,67,57206937457,Uji A.,7,0,6,1,0,,1.916667,false,85096219826|85109104338|85122571011|85146502704|85193987772|85214296759|105010226878,https://www.scopus.com/authid/detail.uri?authorId=57206937457,provisional_query_candidates
94,67,57220203816,Schiff K.J.,7,2,5,2,0,,1.95,false,85171793730|85172898837|85174855421|85186617417|85211161731|105000168854|105015105489,https://www.scopus.com/authid/detail.uri?authorId=57220203816,provisional_query_candidates
95,67,57264879500,Wang S.,7,4,4,3,0,,3.166667,false,85117389176|85123945835|85147509395|85178944816|85209705929|105031085870|105044996889,https://www.scopus.com/authid/detail.uri?authorId=57264879500,provisional_query_candidates
96,96,6601956224,Gastil J.,6,2,3,3,0,,2.342857,false,85044835879|85052006071|85065670412|85112265805|85165893967|105024003881,https://www.scopus.com/authid/detail.uri?authorId=6601956224,provisional_query_candidates
97,96,6602533817,Tallberg J.,6,1,0,6,0,,2.333333,false,85063328286|85079670115|85143234663|85213405493|105012399638|105022218358,https://www.scopus.com/authid/detail.uri?authorId=6602533817,provisional_query_candidates
98,96,6602698051,Bonoli G.,6,2,2,4,0,,1.75,false,85096834370|85111715301|85113190278|85124909847|85199078378|85212286208,https://www.scopus.com/authid/detail.uri?authorId=6602698051,provisional_query_candidates
99,96,7006126634,Blais A.,6,0,4,2,0,,2.25,false,85078899431|85088578914|85108140441|85120876506|85160106921|85201964089,https://www.scopus.com/authid/detail.uri?authorId=7006126634,provisional_query_candidates
100,96,7102332636,James O.,6,0,4,2,0,,2.666667,false,85014596724|85038355714|85088856469|85089985354|85095755893|85101865548,https://www.scopus.com/authid/detail.uri?authorId=7102332636,provisional_query_candidates
