scopus_id,doi,year,journal,title,sample_us_label,evidence_field,evidence_quote,rationale,us_and_non_us_samples_reported,metadata_sha256,abstract_sha256,reviewer,reviewer_type,review_date,human_validated,annotation_version,article_url,credited_authids,credited_researchers,n_credited_researchers,metadata_sample_us_label,source_review,fulltext_filename,fulltext_page,fulltext_source_sha256
84872322437,,2012,Zeitschrift Fur Familienforschung,Why commuting is no perfect solution: Preferences for different mobility forms in dual career couples,unclear,abstract,dual career couples,No country is identified for the couples in the experiment.,false,f7bfb69b299f454650ed7f28a49181686f8a6197914effcbfd7513cd81a30f9f,21ccae8f5dfc3aaaa90c62b4085ed2384c07c3497a1c7f4de11b3c5e40a6d043,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://www.scopus.com/record/display.uri?eid=2-s2.0-84872322437,17345249500,Martin Abraham,1,unclear,metadata,,,
84874501501,10.1017/S0003055412000500,2013,American Political Science Review,How elite partisan polarization affects public opinion formation,us_inferred,abstract,U.S. politics,The experiment addresses opinion formation under US party polarization; location is inferred from the study context.,false,efc533adec234e2425ea84555f6ccf471499227d4bb935945ca7b33bb8d9adfd,42df1aff22e0627a9ed5beac76c26139fb01dc2ca96bdd2c3d692a49ee71abb9,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1017/S0003055412000500,6603696960,James N. Druckman,1,us_inferred,metadata,,,
84876049317,10.1016/j.childyouth.2013.02.002,2013,Children and Youth Services Review,Is program structure related to stigma and community acceptance of justice-involved adolescents?,non_us,abstract,"A street survey of adults was conducted in Amman, Jordan.","Respondents were recruited in Amman, Jordan.",false,91bb2b3d3ff18f13a5f56c343e0b4a2e570e3d6b286de747706bc1a732f6b25e,74cf5ceb33b49f59f7e30b835e386e52cb7523927fcf63738905291e603eacef,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1016/j.childyouth.2013.02.002,14832646600,Robin E. Gearing,1,non_us,metadata,,,
84878013138,10.1016/j.gloenvcha.2013.01.001,2013,Global Environmental Change,Effects of civil society involvement on popular legitimacy of global environmental governance,us_explicit,full_text,U.S. and Indian participants,"The sampling section identifies participants from the United States, India, and additional countries.",true,6c5452e72bca341ec4ce01e86420ff952f687e90e320d15115dbf237bf4087d8,989231bbb4be543ede65b229ff941d06d312403ec838186c3c681ecda2c0a7a6,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1016/j.gloenvcha.2013.01.001,6602110388,Thomas Bernauer,1,unclear,full_text,84878013138.pdf,4,bd04b4a248ad6d15e845df5356b6597e73b3f4721ee064bfa933c39add039312
84878482584,10.1177/0003122413484923,2013,American Sociological Review,The Shadow of Indebtedness: Bridewealth and Norms Constraining Female Reproductive Autonomy,non_us,abstract,rural women in the Volta Region of Ghana,The vignette sample consists of women in Ghana.,false,946fa5444992cade54f629b99f9a805985be9bf6ab923e3bd6b99d18c7826a1e,bbd9f27bceacfbc9311a41915fc84a7013e05b04c489799d3228c8b52541030c,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1177/0003122413484923,7102611306,Christine Horne,1,non_us,metadata,,,
84878661854,10.1080/01973533.2013.785402,2013,Basic and Applied Social Psychology,"A Further Test of the ""Party Over Policy"" Effect: Political Leadership and Ethnic Minority Policies",non_us,abstract,the native population in the Netherlands,The representative experimental survey sampled the Netherlands.,false,e82ccf5d39c04b328ae8b50960c691a6ed8a8c6ea23e7d02789a9dce3645a101,893d7ebfebb3b707b204d43d35c63f4dbffccdedc1b8b5182fe61c6c4c1f0014,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1080/01973533.2013.785402,7006059165,Maykel Verkuyten,1,non_us,metadata,,,
84878955277,10.1002/pam.21702,2013,Journal of Policy Analysis and Management,An Experimental Test of the Expectancy-Disconfirmation Theory of Citizen Satisfaction,unclear,abstract,Participants in an Internet panel,The Internet panel's country is unspecified.,false,da56b5887b92ea30fd50da3ff444d3765250e6933fc016a8532fc4606994b0e6,3347c5b7b8a144b1f136828548879c8000c3de5bb880a3c55e02a440ff2698ad,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1002/pam.21702,7003787305,Gregg G. Van Ryzin,1,unclear,metadata,,,
84881086329,10.1371/journal.pone.0071452,2013,Plos One,Impact of Contextual Factors and Substance Characteristics on Perspectives toward Cognitive Enhancement,non_us,abstract,Students in four German universities,The experimental respondents attended German universities.,false,9166edbd4d8c942dc880cdd17961c44e25826c40a64d8e29d77c555f9101035c,1fd94f6dc18b069fba0ec122e17d026bd2a70d01d79a2d28eeb13de9ba3fdd0b,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1371/journal.pone.0071452,56063862300,Sebastian Sattler,1,non_us,metadata,,,
84884806119,10.2753/PMR1530-9576370104,2013,Public Performance and Management Review,The credibility of government performance reporting,us_inferred,abstract,Local governments in the United States,"The experiment evaluates US local-government performance reporting, supporting a US citizen-context inference.",false,bf80f8ca06a8a557be47876f1a8592d1b30c4b8d940dc036cc8c4e690d6ebf7d,d3a7f4d3de2405b2e2e4998087a8ef12fa202c6c7ca9eadcfbb7aaa6b3cf34b4,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.2753/PMR1530-9576370104,7003787305,Gregg G. Van Ryzin,1,us_inferred,metadata,,,
84887527789,10.1177/1065912912471203,2013,Political Research Quarterly,"Religious Value Priming, Threat, and Political Tolerance",unclear,abstract,data gathered in a survey experiment,Religious values and tolerance do not identify respondent geography.,false,30ad61628839c60df9b661a0a5c6bf9680c92550b4866850300bae2c55ad8176,e7016d9efa3cec24276f94823b24e9fc4f6da7d717b65cc454ac26dc6f75194f,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1177/1065912912471203,24474160700,Brian R. Calfano,1,unclear,metadata,,,
84890418441,10.1007/s11109-013-9262-0,2015,Political Behavior,Ricochet: How Elite Discourse Politicizes Racial and Ethnic Identities,us_inferred,abstract,eligible but unregistered Latino voters,"Latino registration, immigration discourse and the presidential election support a US electoral-context inference.",false,af6dbe3abb865d32d116e65d6be7c4146514e8aa61dab46a10e540edd63a2f29,22cb9a0e054b8b0bfcc88e8587999b44ad1a6eca18bd3533fd246527e57b0c5f,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1007/s11109-013-9262-0,35183713000,Efrén O. Pérez,1,us_inferred,metadata,,,
84891492083,10.1111/ajps.12054,2014,American Journal of Political Science,Informing the electorate? How party cues and policy information affect public opinion about initiatives,us_explicit,full_text,Our sample resembles California’s population,"The methods identify 1,000 Californian YouGov respondents in the initiative experiment.",false,8d12d379d29d2b15b34a3b3cee68997af1a0ae4a4bce2047253b6e8e387b5276,72bee2774034469dd2894553f87f61b09228735140ee10209452e926b2faf0e6,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1111/ajps.12054,25654666600|35233806200,Cheryl Boudreau; Scott A. MacKenzie,2,unclear,full_text,84891492083.pdf,6,30b6ab653c7d5a80c55c7eeea9f75f6037a9a3d7190b54f1bbfc5fb1343461d3
84891494021,10.1111/1467-856X.12009,2014,British Journal of Politics and International Relations,"Prudence, principle and minimal heuristics: British public opinion toward the use of military force in Afghanistan and Libya",non_us,abstract,British survey respondents,The respondents and military-policy context are explicitly British.,false,45635362dbaac557294390524374724e4bc309db113e6f09fe48b0f90856ae95,800bf9dd018883c22398a0d063688e4e04959fa044988ea56ef0b7d30e8ef5ec,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1111/1467-856X.12009,14034772300,Jason Reifler,1,non_us,metadata,,,
84892498539,10.1093/pan/mpt024,2014,Political Analysis,Causal inference in conjoint analysis: Understanding multidimensional choices via stated preference experiments,unclear,abstract,empirical applications to voter decision making and attitudes toward immigrants,The reported empirical applications do not locate their participants.,false,a1dca5fb2e047b37a6a01b7c30047f6ef33aabd135cf2cd2249a96361704ef0e,19a3d85598b04e5ebfff9923f2e1e4c9d6924c4d269132e2352f92c24e9277c5,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1093/pan/mpt024,36159270600,Teppei Yamamoto,1,unclear,metadata,,,
84894064305,10.1186/1747-597X-9-8,2014,Substance Abuse Treatment Prevention and Policy,"Evaluating the drivers of and obstacles to the willingness to use cognitive enhancement drugs: The influence of drug characteristics, social environment, and personal characteristics",non_us,abstract,German universities,The web-based factorial survey sampled students at German universities.,false,f6d989f07f2bfd55ebfc4b7b5edbbe353be4793d7be9a4c8bf8f75d2cf0f6d38,58aca167999c2368f0fe0365aff866310f1fff3fb279e8c024883ed4b4382f7c,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1186/1747-597X-9-8,56063862300,Sebastian Sattler,1,non_us,metadata,,,
84894591630,10.1080/00224545.2013.872595,2014,Journal of Social Psychology,With a little help from my friends: Bystander context and children's attitude toward peer helping,unclear,abstract,A total of 1246 children,The children's country is unspecified.,false,9bf65d8a574e1f74d927a926505bca12e975361d82727906b9a696e5907b12ed,b5f33939578fe45f3463648b67ebb55ee18cf367932d7ef9ce86cd1559aa3f36,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1080/00224545.2013.872595,7006059165,Maykel Verkuyten,1,unclear,metadata,,,
84897032731,10.1017/S0022381613001436,2014,Journal of Politics,Understanding the party brand: Experimental evidence on the role of valence,us_inferred,abstract,both voters and state legislators,State-legislature party leadership and voter experiments support a US institutional-context inference.,false,1135d5fcfe1c822c3d5252bcb997d854565642ddc0518bcc9fc41d4c8591649a,8d7200e6eaf52849b6fc5e038f98bf6da9b1996ccaad1893cf9fd04d75b68dfd,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1017/S0022381613001436,7401620196,Daniel M. Butler,1,us_inferred,metadata,,,
84897075398,10.1017/S0022381613001448,2014,Journal of Politics,"Investigating the president: Committee probes and presidential approval, 1953-2006",us_inferred,abstract,public support for the White House,The experimental intervention concerns congressional investigations of the US president.,false,d67eea3d6fc57df99e1abbee0af896ce446c4ea27e423cf4c9e7b16857f1921a,dca52d1e3d2318fa73d1b6857ef6c3710785a8e92faba7a59c2e2106f59fef35,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1017/S0022381613001448,12767146800,Douglas L. Kriner,1,us_inferred,metadata,,,
84897780635,10.1007/s11577-013-0244-3,2014,Kolner Zeitschrift Fur Soziologie Und Sozialpsychologie,"Job-related migration decisions within partnerships. An experimental test of bargaining theory, frame-selection and low-cost-thesis",non_us,abstract,"PASS (Panel ""Arbeitsmarkt und soziale Sicherung"", 2011)",The named German labour-market and social-security panel identifies a German study setting.,false,a4aef6a1a7fd61a4eb912539c5bcbbf6a6cf66f261b3aa6265e1e66df8cceecb,899e548f01dff2c43b59137010ba2b25e9150eebe35ada7623587b3e1fbf59b5,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1007/s11577-013-0244-3,17345075500|7003772257,Katrin Auspurg; Thomas Hinz,2,non_us,metadata,,,
84898753023,10.1542/peds.2013-2365,2014,Pediatrics,Effective messages in vaccine promotion: A randomized trial,us_explicit,abstract,residing in the United States,Experimental participants are explicitly US-resident parents.,false,b39a19385544a2f002d93861d4c31352aabc77676575732cafbeaf69a0236f24,0cb29e0a20600889fd015b5399404ca828e711b7fdb6be4bf89ea1f98dbf9b52,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1542/peds.2013-2365,35759060800,Brendan Nyhan,1,us_explicit,metadata,,,
84901037027,10.1007/s11109-013-9238-0,2014,Political Behavior,The Influence of Partisan Motivated Reasoning on Public Opinion,us_explicit,full_text,representative of the U.S. population,The survey experiment used an Internet sample representing the US population.,false,b290a8f7dd9efcc67ddd20f34e333a44093c8011b612631dcc0bf59d453a8ac8,8dd866f2021d3d2593943e2ab7fad02d91dbbd1c0c4301b3e48735ba7b5e11e2,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1007/s11109-013-9238-0,12794521600,Toby Bolsen,1,unclear,full_text,84901037027.pdf,10,546b18bc27792fbf9d46cb9ed3274ed39c1c2e38312aaeab6223bf98f7f500fa
84901278220,10.1177/1532440014529290,2014,State Politics and Policy Quarterly,Gubernatorial endorsements and ballot measure approval,us_inferred,abstract,gubernatorial endorsement,Governor endorsements of state ballot measures support a US state-election inference; no participant country is explicit.,false,4075c330b4910620ee1781d826bf229620bce1d57d2bf27968d9ab5fb6cf2608,099b5b7db172096fc2977221847ebd83cbe63c1ebb6fad9e54ef6bc5680d2738,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1177/1532440014529290,55461249300,Craig M. Burnett,1,us_inferred,metadata,,,
84907224761,10.1126/science.1255484,2014,Science,Publication bias in the social sciences: Unlocking the file drawer,not_applicable,abstract,analyzing a known population of conducted studies,Publication-bias analysis of existing TESS studies; no original respondent experiment is identified in this article's metadata.,false,58accdc3c93c0fea36cabff480658d7ad6376f95c0b9ae6ef88e8262a88c6d52,301e83e04808692f57da9ea24b8a085f364669443f2a1630ae3a502b74b9ed8e,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1126/science.1255484,55135830500,Gábor Simonovits,1,not_applicable,metadata,,,
84907224950,10.1177/0022002713492638,2014,Journal of Conflict Resolution,Reassessing American Casualty Sensitivity: The Mediating Influence of Inequality,us_explicit,abstract,Americans from states that suffered high casualty rates,The experimental results explicitly concern American respondents and their home states.,false,75baffdb88b058e619199ff14042887bfe0d5067b613fbea0091bc206ae8f11f,f98888009a3a340d8fbcc0ccdda4256db529b552b08ef51dde3aa80eae3bd2ef,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1177/0022002713492638,12767146800,Douglas L. Kriner,1,us_explicit,metadata,,,
84907487526,10.1016/j.ssresearch.2014.08.017,2015,Social Science Research,Three experimental approaches to measure the social context dependence of prejudice communication and discriminatory behavior,unclear,abstract,Results of empirical studies,The methods article reports empirical studies without identifying sample countries.,false,ae56e16fec43ed1afda168cb9032986481e571ccbc524ed215e6c323cf256598,5ae8614a9f7db0292924736e270dfb1db77ad534326c7a840cb1e08e83c67ddd,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1016/j.ssresearch.2014.08.017,23982874600,Ulf Liebe,1,unclear,metadata,,,
84908021986,10.1016/j.econlet.2014.09.020,2014,Economics Letters,Is ethnic discrimination due to distaste or statistics?,unclear,abstract,Employing a vignette experiment,Ethnic hiring discrimination does not by itself locate employers.,false,f6a8efea748ec3887106d770d40eedc4329171c1d00265e5e50b8d3b373e8da4,ee7291b0b35ba442fc09bab1a8cddc5c6d2cd668ed0a9734c9d9bbdf9de80cb9,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1016/j.econlet.2014.09.020,55746145800,Stijn Baert,1,unclear,metadata,,,
84908554750,10.1177/0899764013487800,2014,Nonprofit and Voluntary Sector Quarterly,Impact of Government Funding on Donations to Arts Organizations: A Survey Experiment,us_inferred,abstract,National Endowment for the Arts,A US federal arts-funding treatment and dollar donations support a US policy-context inference.,false,cfe367cae5b4536c6f8f95ba15785d42ab77ed93d44c098adab65eca6c961229,f0cbe2e363957923c0baccb3bc911f3fafefca8fc1e56aeabb5db4eb2301ac56,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1177/0899764013487800,7003787305,Gregg G. Van Ryzin,1,us_inferred,metadata,,,
84911475468,10.1177/0003122414555886,2014,American Sociological Review,Formal Rights and Informal Privileges for Same-Sex Couples: Evidence from a National Survey Experiment,us_inferred,abstract,individuals in the United States,The stated US population of interest and national survey support a US sample inference.,false,429609c2bd0420d69c89ba28065678c75147e702c4190e3baab404072c2ecf7f,f35d864146b63d3e9ea445d5972b76f8410a55eaadc10fc3a1974a5030008970,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1177/0003122414555886,55636964600,Long Doan,1,us_inferred,metadata,,,
84918780367,10.1080/14719037.2013.798027,2015,Public Management Review,Benchmarks and Citizen Judgments of Local Government Performance: Findings from a survey experiment,unclear,abstract,fourth-grade reading proficiency of an elementary school,Grade terminology and state comparisons do not establish which country's panel was sampled.,false,bc88e10a78ac0c6489b00614bb9c3e8992ef182fc054b6f5dd424fb45192cc9a,96bb39091a059fa062a08bfc23c00669c082028c1d1e35d554ec2189758bf7a7,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1080/14719037.2013.798027,7003787305,Gregg G. Van Ryzin,1,unclear,metadata,,,
84921455919,10.1016/j.ssresearch.2014.12.003,2015,Social Science Research,"Privacy, technology, and norms: The case of Smart Meters",us_explicit,full_text,we restricted the location to U.S. accounts,The researchers restricted Mechanical Turk eligibility to US accounts.,false,1f9452703ed94bcfc81d1f4474efe95bcc9ae39e39ea3b4d8624426889aa275c,2efe98c1a19ceaf0a1742e4168a44e3fdae65b27c301c63af247cc469a58d815,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1016/j.ssresearch.2014.12.003,7102611306,Christine Horne,1,unclear,full_text,84921455919.pdf,5,13a1cecac32fb133a1f60bf40523d7165ff490243127c43b64200f52634fee83
84921984369,10.1016/j.vaccine.2014.11.017,2015,Vaccine,Does correcting myths about the flu vaccine work? An experimental evaluation of the effects of corrective information,us_inferred,abstract,in the United States,"The US influenza-vaccination problem, national survey and CDC intervention jointly support a US sample inference.",false,5c9ce1360f585d8cc10c8db20175c518ca785c781cd3b4578aefd842ce129a9b,4e697c7927991e43b52de211720ba29cb50c424b4ebbef77ed6dc578d1272442,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1016/j.vaccine.2014.11.017,14034772300|35759060800,Jason Reifler; Brendan Nyhan,2,us_inferred,metadata,,,
84922321696,10.1080/10584609.2014.894160,2015,Political Communication,When Does Ballot Language Influence Voter Choices? Evidence from a Survey Experiment,us_inferred,keywords,Proposition 8,"The author keyword identifies California's Proposition 8 ballot contest, supporting a US electoral-context inference.",false,c9cae44de002e66b46ce22888ac32240931e974347c40c9d17236c05ec7a5cd4,08fed7ec798af24b3cf2c898a799f5c942d178448f193d801e2bd6853430683e,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1080/10584609.2014.894160,55461249300,Craig M. Burnett,1,us_inferred,metadata,,,
84922551432,10.1111/bjdp.12065,2015,British Journal of Developmental Psychology,In-group bias in children's intention to help can be overpowered by inducing empathy,unclear,abstract,among children (8-13 years),No country is specified for the participating children.,false,eea6fddfe219463c78dd97854acfad0ca64434982f60d8d7b43ea44a44323ee6,6b6ab77a41bfc7a925e9438cc84ce54bcf7e818726c2afd1f6d9b874a21fad7e,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1111/bjdp.12065,7006059165,Maykel Verkuyten,1,unclear,metadata,,,
84922814039,10.1177/0002716214555066,2015,Annals of the American Academy of Political and Social Science,Questionnaire Design Effects in Climate Change Surveys: Implications for the Partisan Divide,us_explicit,abstract,U.S. Democrats and Republicans,The experiment explicitly sampled US Democrats and Republicans.,false,f8e2b9f7d533e23cc6d3bedab24787b3588fa2753b35e6a3e47a452e30a68ad1,e523555705107c752f686b82a9b6adad749a2549fc06aa755670307dcfd054ed,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1177/0002716214555066,25226021600,Jonathon P. Schuldt,1,us_explicit,metadata,,,
84922883219,10.1177/1532673X14548477,2015,American Politics Research,Party Labels and Vote Choice in Judicial Elections,us_inferred,abstract,a low-visibility state appellate court,State judicial elections with party labels identify a US institutional context; participant location is inferred.,false,7ab2696a720f95b28f572113c496a6d64c5eff423f5f8a05c4289d20ebf77b13,6768cc8adb2e05778464916a3a875c3c71e9b2af0634d9ac7521ce4a51890880,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1177/1532673X14548477,55461249300,Craig M. Burnett,1,us_inferred,metadata,,,
84923552574,10.1073/pnas.1416587112,2015,Proceedings of the National Academy of Sciences of the United States of America,Validating vignette and conjoint survey experiments against real-world behavior,non_us,abstract,a natural experiment in Switzerland,The survey sample comes from the same Swiss population as the natural-experiment benchmark.,false,535fabdcf18ff0f6d1cf06d9c6beebbaac3a004ae8e648a645800aced367533d,eab05673024250bcdee5f8566c77c11a428c55f1582f79d38a4bfcf9b2af74a8,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1073/pnas.1416587112,36159270600,Teppei Yamamoto,1,non_us,metadata,,,
