authid,name,n_articles_2016,n_us_articles_2016,n_unclear_articles_2016,n_articles_2010,n_us_articles_2010,n_unclear_articles_2010,added_articles_2010_2015,added_us_articles_2010_2015
55917294300,Tago A.,7,2,0,8,2,0,1,0
56534303500,Kevins A.,8,4,0,8,4,0,0,0
56590030100,Coppock A.,8,6,1,8,6,1,0,0
56689411500,Thomsen M.K.,8,0,3,8,0,3,0,0
57196390820,Devroe R.,8,0,0,8,0,0,0,0
57200795890,Siddiqui N.A.,8,0,0,8,0,0,0,0
57203434746,Beiser-McGrath L.F.,8,5,0,8,5,0,0,0
57203655130,Searles K.,6,3,3,8,3,5,2,0
57211410814,Boehme H.M.,8,4,4,8,4,4,0,0
57220041117,Rosendorf O.,8,7,0,8,7,0,0,0
57226018577,Hoy C.,8,1,1,8,1,1,0,0
57226745341,Shao L.,8,0,0,8,0,0,0,0
57952558700,McLaughlin P.,8,8,0,8,8,0,0,0
6505910383,Tomz M.,7,5,1,7,5,1,0,0
7003772257,Hinz T.,5,0,1,7,0,1,2,0
7401620196,Butler D.M.,6,2,3,7,3,3,1,1
22836955000,van der Waal J.,7,1,0,7,1,0,0,0
23479932300,Lin-Greenberg E.,7,5,2,7,5,2,0,0
24554597700,Wallace G.P.R.,6,4,0,7,4,1,1,0
25226021600,Schuldt J.P.,6,6,0,7,7,0,1,1
25654666600,Boudreau C.,6,6,0,7,7,0,1,1
35233806200,MacKenzie S.A.,6,6,0,7,7,0,1,1
35784707400,Miller S.M.,7,3,4,7,3,4,0,0
36713939500,Musgrave P.,7,7,0,7,7,0,0,0
42161868700,Oksanen A.,7,2,0,7,2,0,0,0
55135830500,Simonovits G.,4,2,0,7,2,1,3,0
55175754800,Christiani L.,7,6,1,7,6,1,0,0
55454468300,Nteta T.M.,6,6,0,7,7,0,1,1
55461249300,Burnett C.M.,3,2,1,7,6,1,4,4
55494876700,Miller D.R.,7,3,4,7,3,4,0,0
55636964600,Doan L.,5,4,1,7,6,1,2,2
56063862300,Sattler S.,5,0,0,7,0,0,2,0
56196951600,Yair O.,7,0,1,7,0,1,0,0
56329786700,Robison J.,7,5,0,7,5,0,0,0
56354967100,Moynihan D.P.,7,3,3,7,3,3,0,0
56868425000,Quek K.,7,2,0,7,2,0,0,0
56924059300,Li X.,7,1,0,7,1,0,0,0
57188880644,Sukin L.,7,3,1,7,3,1,0,0
57188971604,Maxey S.,7,5,2,7,5,2,0,0
57206937457,Uji A.,7,2,0,7,2,0,0,0
57220203816,Schiff K.J.,7,5,2,7,5,2,0,0
57264879500,Wang S.,7,0,0,7,0,0,0,0
6601956224,Gastil J.,6,4,2,6,4,2,0,0
6602533817,Tallberg J.,6,4,0,6,4,0,0,0
6602698051,Bonoli G.,6,3,0,6,3,0,0,0
7006126634,Blais A.,6,3,0,6,3,0,0,0
7102332636,James O.,6,2,2,6,2,2,0,0
