position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
11,7,57217457882,Huber G.A.,12,7,2,10,0,,4.259524,false,85060580173|85062681263|85064539825|85097381620|85119018835|85120875984|85132896321|85183492832|85208657819|105007228428|105012258249|105013200123,https://www.scopus.com/authid/detail.uri?authorId=57217457882,provisional_query_candidates
12,12,14034772300,Reifler J.,11,1,1,10,0,,2.257937,false,84891494021|84921984369|85106697357|85124140550|85147720720|85162185399|85170631568|85174056404|85213442851|105008461820|105027197362,https://www.scopus.com/authid/detail.uri?authorId=14034772300,provisional_query_candidates
13,12,16305967100,Willer R.,11,1,0,11,0,,3.27619,true,85052331497|85084324260|85091718485|85111979067|85120885789|85160596820|85176547661|85191915888|105005029873|105029946035|105044369270,https://www.scopus.com/authid/detail.uri?authorId=16305967100,provisional_query_candidates
14,12,23010864600,Whitt S.,11,0,3,8,0,,4.166667,false,85071419972|85099962519|85108557459|85132755374|85216104420|85216486046|85216620221|105000519465|105002134171|105024217606|105041965396,https://www.scopus.com/authid/detail.uri?authorId=23010864600,provisional_query_candidates
15,12,35745930100,Doherty D.,11,0,11,2,0,,5.083333,true,80054939891|84929578243|84930584663|84945247501|85060580173|85068049998|85069695771|85086600850|105001650331|105007145263|105046220290,https://www.scopus.com/authid/detail.uri?authorId=35745930100,provisional_query_candidates
16,12,57203528227,Chu J.A.,11,3,8,5,0,,5.833333,true,85052060424|85103382393|85107869445|85122139505|85124121558|85124170048|85127696366|85170289998|85176924618|85206830858|105012359420,https://www.scopus.com/authid/detail.uri?authorId=57203528227,provisional_query_candidates
17,17,6603696960,Druckman J.,10,2,7,3,0,,3.433333,false,84874501501|84943199945|85012118612|85037698515|85044370343|85058068103|85059946018|85116875533|85160596820|85204418104,https://www.scopus.com/authid/detail.uri?authorId=6603696960,provisional_query_candidates
18,17,7006059165,Verkuyten M.,10,1,8,3,0,,4.0,false,84878661854|84894591630|84989282236|85041371053|85073950357|85075548198|85131358788|85133968124|85140277195|85140278720,https://www.scopus.com/authid/detail.uri?authorId=7006059165,provisional_query_candidates
19,17,24168107200,Horiuchi Y.,10,1,4,6,0,,3.833333,false,85039933179|85052643404|85055870318|85062479527|85115188399|85123926675|85136473193|85145327725|105030588739|105042398599,https://www.scopus.com/authid/detail.uri?authorId=24168107200,provisional_query_candidates
20,17,35725744600,Kreps S.,10,1,9,2,0,,5.083333,true,84995444937|84998915284|85042090180|85094221120|85125698803|85127254828|85127581823|85128583393|85165518545|85179678265,https://www.scopus.com/authid/detail.uri?authorId=35725744600,provisional_query_candidates
21,17,35861891200,Winters M.S.,10,1,3,7,0,,3.642857,false,84967215008|85012297251|85019456641|85035364736|85073767137|85102071850|85152296772|85160547976|105001850441|105012597345,https://www.scopus.com/authid/detail.uri?authorId=35861891200,provisional_query_candidates
22,17,36159270600,Yamamoto T.,10,2,0,10,2,Amazon Mechanical Turk,2.816667,false,84892498539|84923552574|85041214633|85052643404|85065436110|85107306214|85115188399|85171738080|85172870189|105001181982,https://www.scopus.com/authid/detail.uri?authorId=36159270600,provisional_query_candidates
23,17,37063497400,Mullinix K.J.,10,1,5,6,1,Amazon Mechanical Turk,4.833333,true,84941353207|85012122035|85041603336|85053299605|85057578602|85059103503|85067057847|85123476525|85127190236|105038900974,https://www.scopus.com/authid/detail.uri?authorId=37063497400,provisional_query_candidates
24,17,38061940400,Pickett J.T.,10,3,5,6,1,YouGov,4.25,false,85017479115|85030544249|85060884767|85091202562|85092499524|85099391391|85190319537|85217932803|105001077495|105005805574,https://www.scopus.com/authid/detail.uri?authorId=38061940400,provisional_query_candidates
25,17,57190806413,Rudolph L.,10,2,8,4,0,,4.666667,false,85119401868|85119426755|85159334579|85159582567|85166589138|85188604798|105006801172|105027329225|105039204587|105043412577,https://www.scopus.com/authid/detail.uri?authorId=57190806413,provisional_query_candidates
26,17,57203170141,Petersen N.B.G.,10,3,4,7,0,,4.033333,false,85062262291|85067407501|85087880256|85092586367|85174613687|85186919352|85214572618|105002152711|105024555682|105040241040,https://www.scopus.com/authid/detail.uri?authorId=57203170141,provisional_query_candidates
27,27,35183713000,Pérez E.,9,2,7,4,0,,4.809524,true,84890418441|84955616709|85021736860|85066605513|85127783017|85139216162|85148945547|85162677133|105029060592,https://www.scopus.com/authid/detail.uri?authorId=35183713000,provisional_query_candidates
28,27,35309171200,Bækgaard M.,9,1,6,3,0,,3.45,false,84931077293|84940822479|85063679523|85067407501|85073946170|85103173621|85118144335|85175738454|105010591172,https://www.scopus.com/authid/detail.uri?authorId=35309171200,provisional_query_candidates
29,27,35492113000,Zeitzoff T.,9,1,1,8,0,,3.533333,false,85020188394|85042184003|85047903545|85049075124|85068387044|85069682610|85078960506|85183616534|105026243740,https://www.scopus.com/authid/detail.uri?authorId=35492113000,provisional_query_candidates
30,27,35759060800,Nyhan B.,9,4,5,5,0,,3.204701,true,80052366764|84898753023|84921984369|85047903545|85049075124|85106950513|85114350257|85182629341|105015521246,https://www.scopus.com/authid/detail.uri?authorId=35759060800,provisional_query_candidates
31,27,55603014300,Heinrich T.,9,0,6,3,0,,3.833333,false,85029279527|85042721612|85078201451|85109308295|85109571277|85133919585|85188096695|85193946140|85200455835,https://www.scopus.com/authid/detail.uri?authorId=55603014300,provisional_query_candidates
32,27,55612017400,Peterson E.,9,1,7,3,0,,4.583333,false,85053665784|85064805724|85099984460|85118939204|85125920680|85205529418|85216671878|105001820017|105003759877,https://www.scopus.com/authid/detail.uri?authorId=55612017400,provisional_query_candidates
33,27,56611317200,Kane J.V.,9,2,7,7,0,,6.833333,false,85033714347|85051013258|85061188236|85067402720|85076495848|85159594856|85180219290|85185575879|85205118689,https://www.scopus.com/authid/detail.uri?authorId=56611317200,provisional_query_candidates
34,34,15757402700,Loewen P.J.,8,0,1,7,0,,2.594444,false,84857236813|85047792819|85125126673|85147209656|105007427471|105029615177|105032149587|105033577491,https://www.scopus.com/authid/detail.uri?authorId=15757402700,provisional_query_candidates
35,34,23982874600,Liebe U.,8,2,4,4,0,,2.783333,false,80051637855|84907487526|85018788745|85049693637|85077691868|85092904088|85162979593|105039696438,https://www.scopus.com/authid/detail.uri?authorId=23982874600,provisional_query_candidates
36,34,50861069700,Arnesen S.,8,1,7,2,0,,3.416667,false,85019003064|85041497842|85042078394|85056201830|85101368479|85160802270|85199980210|105042642663,https://www.scopus.com/authid/detail.uri?authorId=50861069700,provisional_query_candidates
37,34,56448439600,Aytaç S.E.,8,3,8,3,0,,5.0,false,85019041831|85053017516|85057946678|85101463174|85109276344|85115941650|105002982634|105018624506,https://www.scopus.com/authid/detail.uri?authorId=56448439600,provisional_query_candidates
38,34,56534303500,Kevins A.,8,3,6,3,0,,4.5,false,85048299227|85090934478|85091348291|85115789865|85132885156|85210069567|105015216506|105041066983,https://www.scopus.com/authid/detail.uri?authorId=56534303500,provisional_query_candidates
39,34,56556884300,Brutger R.,8,1,7,2,0,,4.2,false,85046533072|85096694153|85129014294|85129300276|85130898035|85198952844|85216353783|85218245112,https://www.scopus.com/authid/detail.uri?authorId=56556884300,provisional_query_candidates
40,34,56590030100,Coppock A.,8,2,4,4,2,Amazon Mechanical Turk|Lucid,3.5,true,85020522370|85041537528|85044846087|85057578602|85060859151|85125280963|85125774527|85141907351,https://www.scopus.com/authid/detail.uri?authorId=56590030100,provisional_query_candidates
