position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
12,47,56590030100,Coppock A.,8,2,4,4,2,Amazon Mechanical Turk|Lucid,3.5,true,85020522370|85041537528|85044846087|85057578602|85060859151|85125280963|85125774527|85141907351,https://www.scopus.com/authid/detail.uri?authorId=56590030100,provisional_query_candidates
13,67,6505910383,Tomz M.,7,2,4,3,0,,2.866667,true,85076169910|85077074496|85116162897|85177488077|85185948624|105014100991|105018760904,https://www.scopus.com/authid/detail.uri?authorId=6505910383,provisional_query_candidates
14,67,25226021600,Schuldt J.P.,7,3,5,2,0,,2.583333,true,84922814039|84960092229|84961187162|85007439389|85019749197|85167522555|105000414839,https://www.scopus.com/authid/detail.uri?authorId=25226021600,provisional_query_candidates
15,67,55135830500,Simonovits G.,7,2,3,6,0,,3.75,true,84907224761|84929675895|84946492047|84976408149|85029796805|85127649210|105018681448,https://www.scopus.com/authid/detail.uri?authorId=55135830500,provisional_query_candidates
16,67,55461249300,Burnett C.M.,7,2,6,2,0,,4.0,true,84868652825|84901278220|84922321696|84922883219|85048745799|85101964602|105008319657,https://www.scopus.com/authid/detail.uri?authorId=55461249300,provisional_query_candidates
17,67,55636964600,Doan L.,7,2,5,2,0,,3.0,true,84911475468|84943222917|85052633160|85089319442|85095133927|85126304810|105042340289,https://www.scopus.com/authid/detail.uri?authorId=55636964600,provisional_query_candidates
18,67,56329786700,Robison J.,7,2,4,5,0,,4.25,true,84941353207|85091048531|85091348291|85101177545|85129722512|85210069567|105041066983,https://www.scopus.com/authid/detail.uri?authorId=56329786700,provisional_query_candidates
19,96,8223892400,Kam C.D.,6,0,4,3,0,,3.5,true,77951243471|84965060503|84983269069|85074396257|85075487342|85076668775,https://www.scopus.com/authid/detail.uri?authorId=8223892400,provisional_query_candidates
20,96,12779778800,Hopkins D.J.,6,1,6,1,0,,3.0,true,77952988385|84987948210|85019962970|85053875657|85086564155|85200315574,https://www.scopus.com/authid/detail.uri?authorId=12779778800,provisional_query_candidates
21,96,16744169900,Johns R.,6,1,3,3,0,,2.666667,true,84867729433|84910055748|85042088759|85097599267|85193702342|105000064992,https://www.scopus.com/authid/detail.uri?authorId=16744169900,provisional_query_candidates
22,96,54785521400,Utych S.M.,6,0,2,4,0,,2.5,true,85092503959|85111802478|85113217939|85128342626|85128710149|85166397064,https://www.scopus.com/authid/detail.uri?authorId=54785521400,provisional_query_candidates
23,96,55364149100,Newman B.J.,6,0,5,2,0,,2.916667,true,84995356828|85033714347|85056606391|85067402720|85079694710|85159616043,https://www.scopus.com/authid/detail.uri?authorId=55364149100,provisional_query_candidates
24,96,56523595800,Liu M.,6,2,6,2,0,,4.0,true,84943378770|84992630887|85042199807|85048798335|85056541355|85114939275,https://www.scopus.com/authid/detail.uri?authorId=56523595800,provisional_query_candidates
25,96,56964283000,Anson I.G.,6,1,5,5,1,Amazon Mechanical Turk,5.0,true,84980002227|85044778098|85053912540|85084576941|85199807893|105025476971,https://www.scopus.com/authid/detail.uri?authorId=56964283000,provisional_query_candidates
26,96,57213579538,Malhotra N.,6,0,3,3,0,,2.833333,true,77957258431|79959924556|84858239000|85020679995|85056606391|105039663685,https://www.scopus.com/authid/detail.uri?authorId=57213579538,provisional_query_candidates
27,96,57217532548,Schwartz J.A.,6,0,5,2,0,,3.333333,true,85087359226|85149321800|85158910564|85178020236|85191344815|105029666557,https://www.scopus.com/authid/detail.uri?authorId=57217532548,provisional_query_candidates
28,166,6506789846,Djupe P.A.,5,0,2,3,0,,2.5,true,77950941472|84887527789|84888056901|85032020748|85047659603,https://www.scopus.com/authid/detail.uri?authorId=6506789846,provisional_query_candidates
29,166,6603559510,Turgeon M.,5,4,2,3,0,,2.333333,true,85103989954|85192081135|85205391449|85213031996|105044141502,https://www.scopus.com/authid/detail.uri?authorId=6603559510,provisional_query_candidates
30,166,6701315673,Mutz D.,5,0,3,2,0,,2.333333,true,84893231254|85046652073|85071235282|85090433615|85097547967,https://www.scopus.com/authid/detail.uri?authorId=6701315673,provisional_query_candidates
31,166,7006351054,Bowler S.,5,1,2,3,0,,2.166667,true,84958068743|85106422481|85141617196|85181836999|105037750844,https://www.scopus.com/authid/detail.uri?authorId=7006351054,provisional_query_candidates
32,166,13606654500,Radnitz S.,5,1,4,3,1,Amazon Mechanical Turk,3.333333,true,84946782078|85089599373|85117122958|85210171429|105009524946,https://www.scopus.com/authid/detail.uri?authorId=13606654500,provisional_query_candidates
33,166,23485677100,Kertzer J.D.,5,1,3,2,0,,2.0,true,85020188394|85046533072|85078720051|85111880408|85147100567,https://www.scopus.com/authid/detail.uri?authorId=23485677100,provisional_query_candidates
34,166,55222268200,Nelson M.J.,5,1,1,4,0,,2.2,true,85153772036|85166014738|105008078337|105046286365|105046899295,https://www.scopus.com/authid/detail.uri?authorId=55222268200,provisional_query_candidates
35,166,55258542600,Mccabe K.T.,5,3,3,4,0,,3.333333,true,85068980948|85091743617|85108097077|85159767294|85160587846,https://www.scopus.com/authid/detail.uri?authorId=55258542600,provisional_query_candidates
36,166,55326498000,Rogowski J.C.,5,0,2,4,0,,3.0,true,84945589297|85041062360|85093976939|85107827276|85108111282,https://www.scopus.com/authid/detail.uri?authorId=55326498000,provisional_query_candidates
37,166,55754821200,Klar S.,5,0,3,4,0,,3.333333,true,84885593497|85050201217|85063163272|85109414334|85129069349,https://www.scopus.com/authid/detail.uri?authorId=55754821200,provisional_query_candidates
38,166,55939572800,Pedulla D.S.,5,0,3,4,0,,3.5,true,84897680968|84922272011|84962146876|84977139449|85124082691,https://www.scopus.com/authid/detail.uri?authorId=55939572800,provisional_query_candidates
39,166,56022585300,Ostfeld M.,5,0,4,4,0,,3.833333,true,84893231254|84951859856|85014769474|85046031806|85211137112,https://www.scopus.com/authid/detail.uri?authorId=56022585300,provisional_query_candidates
40,166,56102501200,Silber H.,5,4,4,1,0,,1.058333,true,85030673307|85143875823|85211349082|105009371163|105042563243,https://www.scopus.com/authid/detail.uri?authorId=56102501200,provisional_query_candidates
