scopus_id,identity,doi,title,year,journal,article_url,current_geography,credited_author_ids,credited_researchers,n_credited_pool_authors,n_top50_total_authors,n_top50_us_authors,n_total_leaders_including_cutoff_ties,top50_tied_pairs_broken_if_us,top50_new_ties_if_us,leader114_tied_pairs_broken_if_us,leader114_new_ties_if_us,pool120_tied_pairs_broken_if_us,pool120_new_ties_if_us,maximum_current_us_count,minimum_current_total_rank,available_historical_inbox_pdf,user_download_status,existing_followup,prior_automatic_acquisition_status,latest_priority_round_status,prior_open_location_url,review_action,interpretation,new_top50_tied_pairs_covered_at_selection,queue_position,download_batch,download_position,suggested_filename
84874531907,doi:10.1177/0093650212470688,10.1177/0093650212470688,What a Difference a Day Makes? The Effects of Repetitive and Competitive News Framing Over Time,2013,Communication Research,https://doi.org/10.1177/0093650212470688,unclear,26036187400|6603030334,Lecheler S.; de Vreese C.,2,0,0,2,16,16,36,28,36,28,0,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,2,46,2,11,84874531907.pdf
84888601092,doi:10.1177/1532673x13484173,10.1177/1532673x13484173,"Doing What Others Do: Norms, Science, and Collective Action on Global Warming",2014,American Politics Research,https://doi.org/10.1177/1532673x13484173,unclear,12794521600,Toby Bolsen,1,1,1,1,1,0,1,0,1,0,12,5,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,1,48,2,12,84888601092.pdf
85184683757,doi:10.1038/s41598-024-53337-0,10.1038/s41598-024-53337-0,Framing fact-checks as a “confirmation” increases engagement with corrections of misinformation: a four-country study,2024,Scientific Reports,https://doi.org/10.1038/s41598-024-53337-0,unclear,57194393515,Ventura T.,1,0,0,1,8,8,19,14,19,14,0,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,1,54,2,13,85184683757.pdf
84897628117,doi:10.1080/10410236.2012.761805,10.1080/10410236.2012.761805,"Narrative Persuasion, Causality, Complex Integration, and Support for Obesity Policy",2014,Health Communication,https://doi.org/10.1080/10410236.2012.761805,unclear,16029149900,Niederdeppe J.,1,1,1,1,9,5,9,5,9,5,8,33,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,60,2,14,84897628117.pdf
105041055052,doi:10.1080/10410236.2026.2682543,10.1080/10410236.2026.2682543,Sweet Relief or Risky Substitute? Applying Secondary Risk Theory to Sugar Consumption,2026,Health Communication,https://doi.org/10.1080/10410236.2026.2682543,unclear,57190437914,Yang J.,1,1,1,1,7,7,7,7,7,7,5,5,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,63,2,15,105041055052.pdf
84871574553,doi:10.1016/j.psychsport.2012.11.006,10.1016/j.psychsport.2012.11.006,The role of affect in the decision to exercise: Does being happy lead to a more active lifestyle?,2013,Psychology of Sport and Exercise,https://doi.org/10.1016/j.psychsport.2012.11.006,unclear,57190437914,Yang J.,1,1,1,1,7,7,7,7,7,7,5,5,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,64,2,16,84871574553.pdf
85075347270,doi:10.1080/17524032.2019.1692889,10.1080/17524032.2019.1692889,Using Eco-Guilt to Motivate Environmental Behavior Change,2020,Environmental Communication,https://doi.org/10.1080/17524032.2019.1692889,unclear,57190437914,Yang J.,1,1,1,1,7,7,7,7,7,7,5,5,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,65,2,17,85075347270.pdf
85078680582,doi:10.1111/risa.13446,10.1111/risa.13446,Risk or Efficacy? How Psychological Distance Influences Climate Change Engagement,2020,Risk Analysis,https://doi.org/10.1111/risa.13446,unclear,57190437914,Yang J.,1,1,1,1,7,7,7,7,7,7,5,5,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,66,2,18,85078680582.pdf
85148430045,doi:10.1111/risa.14111,10.1111/risa.14111,Narrative persuasion and psychological distance: Analyzing the effectiveness of distance-framed narratives in communicating ocean plastic pollution,2023,Risk Analysis,https://doi.org/10.1111/risa.14111,unclear,57190437914,Yang J.,1,1,1,1,7,7,7,7,7,7,5,5,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,67,2,19,85148430045.pdf
85148586642,doi:10.1080/10810730.2023.2183284,10.1080/10810730.2023.2183284,Communicating Per- and Polyfluoroalkyl Substances (PFAS) Contamination to the Public Through Personal Relevance,2023,Journal of Health Communication,https://doi.org/10.1080/10810730.2023.2183284,unclear,57190437914,Yang J.,1,1,1,1,7,7,7,7,7,7,5,5,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,68,2,20,85148586642.pdf
85174311475,doi:10.1080/13669877.2023.2270605,10.1080/13669877.2023.2270605,"Information seeking and information avoidance about per- and polyfluoroalkyl substances (PFAS) contamination: knowledge, personal control, or affect?",2023,Journal of Risk Research,https://doi.org/10.1080/13669877.2023.2270605,unclear,57190437914,Yang J.,1,1,1,1,7,7,7,7,7,7,5,5,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,69,3,21,85174311475.pdf
85175564499,doi:10.1177/10755470231204315,10.1177/10755470231204315,For My Own Sake: The Role of Personal Relevance in Information Seeking,2023,Science Communication,https://doi.org/10.1177/10755470231204315,unclear,57190437914,Yang J.,1,1,1,1,7,7,7,7,7,7,5,5,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,70,3,22,85175564499.pdf
85090798278,doi:10.1007/s11109-020-09646-x,10.1007/s11109-020-09646-x,The Feedback Effects of Controversial Police Use of Force,2021,Political Behavior,https://doi.org/10.1007/s11109-020-09646-x,unclear,37063497400,Kevin J. Mullinix,1,1,1,1,4,3,4,3,4,3,9,22,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,81,3,23,85090798278.pdf
105009546258,doi:10.1038/s41467-025-61345-5,10.1038/s41467-025-61345-5,LLM-generated messages can persuade humans on policy issues,2025,Nature Communications,https://doi.org/10.1038/s41467-025-61345-5,unclear,16305967100,Robb Willer,1,1,1,1,0,2,0,2,0,2,11,10,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,85,3,24,105009546258.pdf
85188598133,doi:10.1371/journal.pclm.0000297,10.1371/journal.pclm.0000297,Systematic mapping of climate and environmental framing experiments and reanalysis with computational methods points to omitted interaction bias,2024,Plos Climate,https://doi.org/10.1371/journal.pclm.0000297,unclear,6602110388,Thomas Bernauer,1,1,1,1,0,0,0,0,0,0,15,1,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,87,3,25,85188598133.pdf
105044379006,doi:10.1177/02654075261467470,10.1177/02654075261467470,Bystander Reactions to Economic Abuse: The Role of Moral Evaluation and Victim Blaming,2026,Journal of Social and Personal Relationships,https://doi.org/10.1177/02654075261467470,unclear,25422239000,Pagliaro S.,1,1,0,1,19,14,19,14,19,14,0,33,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,88,3,26,105044379006.pdf
84903748767,doi:10.1037/a0034844,10.1037/a0034844,Helping victims of intimate partner violence: The influence of group norms among lay people and the police,2014,Psychology of Violence,https://doi.org/10.1037/a0034844,unclear,25422239000,Pagliaro S.,1,1,0,1,19,14,19,14,19,14,0,33,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,89,3,27,84903748767.pdf
84925854096,doi:10.1177/0886260514540801,10.1177/0886260514540801,She’s Not a Person.. She’s Just a Woman! Infra-Humanization and Intimate Partner Violence,2015,Journal of Interpersonal Violence,https://doi.org/10.1177/0886260514540801,unclear,25422239000,Pagliaro S.,1,1,0,1,19,14,19,14,19,14,0,33,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,91,3,28,84925854096.pdf
85044528926,doi:10.1177/0886260518760611,10.1177/0886260518760611,"Legitimizing Intimate Partner Violence: Moral Evaluations, Attribution of Responsibility, and (Reduced) Helping Intentions",2021,Journal of Interpersonal Violence,https://doi.org/10.1177/0886260518760611,unclear,25422239000,Pagliaro S.,1,1,0,1,19,14,19,14,19,14,0,33,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,93,3,29,85044528926.pdf
85068603406,doi:10.3389/fpsyg.2019.01356,10.3389/fpsyg.2019.01356,"Ethical climate(s), organizational identification, and employees' behavior",2019,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2019.01356,unclear,25422239000,Pagliaro S.,1,1,0,1,19,14,19,14,19,14,0,33,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,95,3,30,85068603406.pdf
85076153395,doi:10.1177/0886260519888530,10.1177/0886260519888530,Intimate Partner Violence and Same-Sex Couples: Examining the Antecedents of the Helping Intentions of Bystanders,2021,Journal of Interpersonal Violence,https://doi.org/10.1177/0886260519888530,unclear,25422239000,Pagliaro S.,1,1,0,1,19,14,19,14,19,14,0,33,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,96,4,31,85076153395.pdf
85108453160,doi:10.1177/10778012211014566,10.1177/10778012211014566,Adding Insult to Injury: The Effects of Intimate Partner Violence Spillover on the Victim’s Reputation,2022,Violence Against Women,https://doi.org/10.1177/10778012211014566,unclear,25422239000,Pagliaro S.,1,1,0,1,19,14,19,14,19,14,0,33,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,97,4,32,85108453160.pdf
84882652583,doi:10.1080/19312458.2013.813923,10.1080/19312458.2013.813923,Assessing Selective Exposure in Experiments: The Implications of Different Methodological Choices,2013,Communication Methods and Measures,https://doi.org/10.1080/19312458.2013.813923,unclear,16023197400,Wojcieszak M.,1,0,1,1,7,7,7,7,7,7,5,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,110,4,33,84882652583.pdf
85053865862,doi:10.1016/j.pec.2018.08.030,10.1016/j.pec.2018.08.030,Communicating with providers about racial healthcare disparities: The role of providers’ prior beliefs on their receptivity to different narrative frames,2019,Patient Education and Counseling,https://doi.org/10.1016/j.pec.2018.08.030,unclear,7801629573,Gollust S.E.,1,0,1,1,7,7,7,7,7,7,5,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,111,4,34,85053865862.pdf
85173465973,doi:10.1016/j.pec.2023.107988,10.1016/j.pec.2023.107988,Effects of exposure to media messages about limiting breast cancer screening: A qualitative experimental study,2023,Patient Education and Counseling,https://doi.org/10.1016/j.pec.2023.107988,unclear,7801629573,Gollust S.E.,1,0,1,1,7,7,7,7,7,7,5,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,112,4,35,85173465973.pdf
85011436327,doi:10.1017/s1755773909990233,10.1017/s1755773909990233,Framing Serbia: The effects of news framing on public support for EU enlargement,2010,European Political Science Review,https://doi.org/10.1017/s1755773909990233,unclear,26036187400|6603030334,Lecheler S.; de Vreese C.,2,0,0,2,16,16,36,28,36,28,0,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,114,4,36,85011436327.pdf
105019107189,doi:10.1080/13645579.2025.2568497,10.1080/13645579.2025.2568497,Can tailored recruitment messaging increase digital trace data donation compliance?,2026,International Journal of Social Research Methodology,https://doi.org/10.1080/13645579.2025.2568497,unclear,6603030334,de Vreese C.,1,0,0,1,8,8,19,14,19,14,0,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,115,4,37,105019107189.pdf
79952303910,doi:10.1177/0093650210384934,10.1177/0093650210384934,(In)direct framing effects: The effects of news media framing on public support for Turkish membership in the European Union,2011,Communication Research,https://doi.org/10.1177/0093650210384934,unclear,6603030334,de Vreese C.,1,0,0,1,8,8,19,14,19,14,0,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,116,4,38,79952303910.pdf
84858188882,doi:10.1057/cep.2011.27,10.1057/cep.2011.27,Turkey in the EU?: How cultural and economic frames affect support for Turkish accession,2012,Comparative European Politics,https://doi.org/10.1057/cep.2011.27,unclear,6603030334,de Vreese C.,1,0,0,1,8,8,19,14,19,14,0,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,117,4,39,84858188882.pdf
84938421606,doi:10.1080/03637751.2014.994646,10.1080/03637751.2014.994646,The Effects of Repetitive News Framing on Political Opinions over Time,2015,Communication Monographs,https://doi.org/10.1080/03637751.2014.994646,unclear,26036187400,Lecheler S.,1,0,0,1,8,8,19,14,19,14,0,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,118,4,40,84938421606.pdf
85011573622,SCOPUS_ID:85011573622,,Value poaching: Framing the same values for competing political ends,2015,International Journal of Communication,https://www.scopus.com/record/display.uri?eid=2-s2.0-85011573622,unclear,6603030334,de Vreese C.,1,0,0,1,8,8,19,14,19,14,0,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,119,5,41,85011573622.pdf
85020013077,doi:10.1027/1864-1105/a000165,10.1027/1864-1105/a000165,Shifting frames: Conditional indirect effects of contested issues on perceived effectiveness through multiple emotions,2017,Journal of Media Psychology,https://doi.org/10.1027/1864-1105/a000165,unclear,6603030334,de Vreese C.,1,0,0,1,8,8,19,14,19,14,0,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,120,5,42,85020013077.pdf
85048610997,doi:10.1093/ijpor/edw024,10.1093/ijpor/edw024,News Quality and Public Opinion: The Impact of Deliberative Quality of News Media on Citizens' Argument Repertoire,2018,International Journal of Public Opinion Research,https://doi.org/10.1093/ijpor/edw024,unclear,26036187400,Lecheler S.,1,0,0,1,8,8,19,14,19,14,0,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,122,5,43,85048610997.pdf
85096343184,doi:10.1177/0032321720964667,10.1177/0032321720964667,Motivated Reasoning in Identity Politics: Group Status as a Moderator of Political Motivations,2022,Political Studies,https://doi.org/10.1177/0032321720964667,unclear,26036187400,Lecheler S.,1,0,0,1,8,8,19,14,19,14,0,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,124,5,44,85096343184.pdf
85162699203,doi:10.1177/00936502231178432,10.1177/00936502231178432,Short but Critical?: How “Fake News” and “Anti-Elitist” Media Attacks Undermine Perceived Message Credibility on Social Media,2023,Communication Research,https://doi.org/10.1177/00936502231178432,unclear,26036187400,Lecheler S.,1,0,0,1,8,8,19,14,19,14,0,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,126,5,45,85162699203.pdf
85083238041,doi:10.1093/pa/gsy051,10.1093/pa/gsy051,Learning from Divided Parties? Legislator Dissent as a Cue for Opinion Formation,2020,Parliamentary Affairs,https://doi.org/10.1093/pa/gsy051,unclear,57201338729,Merkley E.,1,0,0,1,8,3,13,12,13,13,1,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,127,5,46,85083238041.pdf
85057293626,doi:10.1002/bsl.2388,10.1002/bsl.2388,Justice at any cost? The impact of cost–benefit salience on criminal punishment judgments,2019,Behavioral Sciences and the Law,https://doi.org/10.1002/bsl.2388,unclear,16066752900,Aharoni E.,1,0,0,1,3,2,11,7,12,10,2,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,128,5,47,85057293626.pdf
85087519641,doi:10.1080/15309576.2020.1730919,10.1080/15309576.2020.1730919,"Testing the Influence of Autocratic Leadership, Democratic Leadership, and Public Service Motivation on Citizen Ratings of An Agency Head’s Performance",2020,Public Performance and Management Review,https://doi.org/10.1080/15309576.2020.1730919,unclear,16244346100,Caillier J.G.,1,0,0,1,3,2,11,7,12,10,2,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,129,5,48,85087519641.pdf
85120438138,doi:10.3389/fpsyg.2021.778293,10.3389/fpsyg.2021.778293,Correctional “Free Lunch”? Cost Neglect Increases Punishment in Prosecutors,2021,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2021.778293,unclear,16066752900,Aharoni E.,1,0,0,1,3,2,11,7,12,10,2,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,130,5,49,85120438138.pdf
85138294292,doi:10.1080/10999922.2022.2112876,10.1080/10999922.2022.2112876,Leadership in Black and White: Ethnicity and Its Impact on the Way Public Leaders’ Efforts in Tackling Corruption are Perceived,2023,Public Integrity,https://doi.org/10.1080/10999922.2022.2112876,unclear,16244346100,Caillier J.G.,1,0,0,1,3,2,11,7,12,10,2,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,131,5,50,85138294292.pdf
85152024166,doi:10.1080/10967494.2023.2187498,10.1080/10967494.2023.2187498,Citizens blame agencies and spread negative word-of-mouth after experiencing a public service failure? Results from an online experiment,2023,International Public Management Journal,https://doi.org/10.1080/10967494.2023.2187498,unclear,16244346100,Caillier J.G.,1,0,0,1,3,2,11,7,12,10,2,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,132,6,51,85152024166.pdf
85159865660,doi:10.3389/fpsyg.2023.1157460,10.3389/fpsyg.2023.1157460,Punishment as a scarce resource: a potential policy intervention for managing incarceration rates,2023,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2023.1157460,unclear,16066752900,Aharoni E.,1,0,0,1,3,2,11,7,12,10,2,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,133,6,52,85159865660.pdf
85196301348,doi:10.1080/10999922.2024.2365242,10.1080/10999922.2024.2365242,Do Recovery Efforts Have the Same Impact on Private and Public Complainants After Experiencing a Service Failure?,2025,Public Integrity,https://doi.org/10.1080/10999922.2024.2365242,unclear,16244346100,Caillier J.G.,1,0,0,1,3,2,11,7,12,10,2,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,134,6,53,85196301348.pdf
85205233423,doi:10.3390/bs14090855,10.3390/bs14090855,Punishment after Life: How Attitudes about Longer-than-Life Sentences Expose the Rules of Retribution,2024,Behavioral Sciences,https://doi.org/10.3390/bs14090855,unclear,16066752900,Aharoni E.,1,0,0,1,3,2,11,7,12,10,2,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,135,6,54,85205233423.pdf
84882700655,doi:10.1080/10967494.2013.817236,10.1080/10967494.2013.817236,Does Public Service Motivation Lead to Budget Maximization? Evidence from an Experiment,2013,International Public Management Journal,https://doi.org/10.1080/10967494.2013.817236,unclear,56354967100,Donald P. Moynihan,1,0,0,1,2,0,6,11,9,13,3,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,139,6,55,84882700655.pdf
84879423612,doi:10.1176/appi.ajp.2013.13010014,10.1176/appi.ajp.2013.13010014,Effects of news media messages about mass shootings on attitudes toward persons with serious mental illness and public support for gun control policies,2013,American Journal of Psychiatry,https://doi.org/10.1176/appi.ajp.2013.13010014,unclear,8967284700,Barry C.L.,1,0,0,1,0,8,10,8,12,8,4,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,155,6,56,84879423612.pdf
