scopus_id,sample_us_label,filename,source_sha256,page,evidence_quote,rationale,us_and_non_us_samples_reported,reviewer,reviewer_type,review_date,human_validated
85215433861,non_us,85215433861.pdf,eeb4677abc3e66e9b58a1bdaf09e42aa8a2e42cb781d31b32d9344dd236243ad,2,"genuine recruiters in May 2023 in Flanders, Belgium","The experimental recruitment population is in Flanders, Belgium.",false,Codex (GPT-6),AI_assisted,2026-09-09,false
86000435450,non_us,86000435450.pdf,0a6c5e20b304d4253e826174d68738e46f7625641e127be88a7dc103bafc9031,3,caseworkers working in Danish unemployment agencies,The experiment was conducted among Danish unemployment-agency caseworkers.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
105005626231,us_explicit,105005626231.pdf,341c2c42fc37e2605726372aabecf9c0a0391d21bb360dafb6667065c197472c,10,samples designed to resemble the US population,The equal-pay experiment uses the 2021 Cooperative Election Study with an explicitly US population target.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
105018094455,non_us,105018094455.pdf,061e91290ef6c4d43f3adf567d94f7088310a3d9968f6e2e56c38ccecefe5d54,7,Both were representative of the Danish population,The study compares Danish city councilors with Danish public samples.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
105024003881,us_explicit,105024003881.pdf,1b32e6e4540a0edd9c9735e3222f82ee886d0a7b672e17ce253d58f0c496b0ec,6,"13 CIRs held in Oregon, Arizona, California, Colorado, and Massachusetts",The 13 survey experiments recruited registered voters around Citizens’ Initiative Reviews in these US states.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
105040509962,non_us,105040509962.pdf,5c229eb6465c63b514e3e83cbd270ffea252318d6cd05a2d407126f2616dd502,3,targeting Japanese residents aged 18–69 years,The experiment sampled Japanese residents. Complex candidate-choice design is flagged for later parser-compatibility screening; geography alone does not establish eligibility.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85046533072,us_explicit,85046533072.pdf,ff01574ba12a826a576e738a9f401f2c6985871db1eba340910f85f7a75ddaa6,11,589 registered American voters,The main survey experiment sampled registered American voters through SSI.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85066605513,non_us,85066605513.pdf,cc6c7df84d0945e597e9cf94a9b17fc51353b4c491158d072915b68f79bf0d53,3,two phone surveys in Estonia,Both randomized language experiments sampled bilingual adults in Estonia.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85029279527,us_explicit,85029279527.pdf,a9edffc622e792b1ca290e8acf76fc79a80ef7d459a0e6d737eee816120f58e4,18,All respondents were self-reported U.S. residents,The sanctions experiment explicitly restricted participants to US residents.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85066842117,us_explicit,85066842117.pdf,bbab15d95059828ce70c9dc990f6e229b0231a34653a70c12fd13f4b97ff9847,7,the United States in December 2016,The sampling section identifies the main experimental respondents as adults across the United States; participants were recruited through Mechanical Turk.,false,Codex (GPT-6),AI_assisted,2026-09-10,false
84944232504,us_explicit,84944232504.pdf,e50954cf802d2bc6de5ad2c33d382dbd0fbb69f70aefcb651ee21a5fa4fb9529,3,legal adults residing in the U.S.,The eligibility criteria for studies 1a and 1b explicitly require US-resident adults.,false,Codex (GPT-6),AI_assisted,2026-09-10,false
85030544249,us_explicit,85030544249.pdf,a87e2ae45ec3484e8db9b4e085439a2c0885617c6910a0ebf7c6fa65a5d30e52,10,workers who resided in the United States,The vignette experiment restricted participation to workers residing in the United States.,false,Codex (GPT-6),AI_assisted,2026-09-10,false
84878955277,us_explicit,84878955277.pdf,4e5585025f71f8c5e34b1c23b026a8193f433172b92aef4f01eb6a4548aee760,7,Eighty-three percent of participants were from the United States,The experimental sample contains 83 percent US participants and participants from other countries; count once as a mixed-country US-associated article.,true,Codex (GPT-6),AI_assisted,2026-09-10,false
84957805398,us_inferred,84957805398.pdf,c15585c4d2089005910788511cf2e4b8ccb0551e954a186407776557f792dada,18,U.S. Senate hopeful,"The experimental stimuli describe a US Senate candidate and US party politics; the methods compare the MTurk sample with the US census and CCES. Together these support US-sample inference, although a residence eligibility rule is not directly stated.",false,Codex (GPT-6),AI_assisted,2026-09-10,false
80054939891,us_explicit,80054939891.pdf,497205075553d82944f46bf37bcda1478fdbbeab7ead8f97b9df38b90200c6ce,2,nationally representative sample of the US adult,The methods directly describe the approximately 800 participants as representing the US adult population.,false,Codex (GPT-6),AI_assisted,2026-09-10,false
85106950513,us_explicit,85106950513.pdf,f8bd1049e9ef2ca901168442a25b43061ee4d39524817b27aa8fd20b19a88e1b,4,region distribution for the U.S. adult,"The study recruited a Lucid sample with quotas to match the US adult population on age, race, gender, and region.",false,Codex (GPT-6),AI_assisted,2026-09-10,false
84887527789,us_explicit,84887527789.pdf,d18a6c5eda6b57216a1cfac2d2db42ecd1b27807a73e77a301d29aef85654169,5,"phone numbers in Greene County, Missouri","The survey experiment recruited through random-digit dialing of landlines in Greene County, Missouri; it is the 2010 Springfield Area Study.",false,Codex (GPT-6),AI_assisted,2026-09-10,false
85122139505,us_explicit,85122139505.pdf,5b1033e73832c3b889c1758527076b85a2cec4a703a6c409a491cb8af8baa638,3,783 American adults through MTurk,Study 2 explicitly recruited American adults; Study 1 involved students at an American university.,false,Codex (GPT-6),AI_assisted,2026-09-10,false
105008461820,non_us,105008461820.pdf,8a2694f419e5b359505106de51f348f26a6c70e2661f383caf6f7817c7f24d06,3,in a non-US context with more than two competing parties,The authors explicitly describe a non-US electoral context: a nationally calibrated YouGov survey of voters before the 2022 French presidential election.,false,Codex (GPT-6),AI_assisted,2026-09-10,false
