variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,n_sole,n_first_excluding_sole,n_last_excluding_sole,score_tie_size,article_ids,scopus_author_url,status
original_query,98,83,42161868700,Atte Oksanen,7,0,7,0,0,7,32,85061311427|85076359084|85083720807|85101022632|85146083795|85175177312|85194493858,https://www.scopus.com/authid/detail.uri?authorId=42161868700,unvalidated_query_candidate_articles
original_query,99,83,55135830500,Gábor Simonovits,7,3,6,2,1,4,32,84907224761|84929675895|84946492047|84976408149|85029796805|85127649210|105018681448,https://www.scopus.com/authid/detail.uri?authorId=55135830500,unvalidated_query_candidate_articles
original_query,100,83,55175754800,Leah Christiani,7,6,2,1,5,1,32,85102991968|85143607111|85179965686|85193006917|85208781552|105001722280|105047382392,https://www.scopus.com/authid/detail.uri?authorId=55175754800,unvalidated_query_candidate_articles
original_query,101,83,55454468300,Tatishe M. Nteta,7,2,5,0,2,5,32,84981249322|85011497605|85047444290|85081592258|85123914954|85130062680|105026699333,https://www.scopus.com/authid/detail.uri?authorId=55454468300,unvalidated_query_candidate_articles
original_query,102,83,55461249300,Craig M. Burnett,7,6,2,1,5,1,32,84868652825|84901278220|84922321696|84922883219|85048745799|85101964602|105008319657,https://www.scopus.com/authid/detail.uri?authorId=55461249300,unvalidated_query_candidate_articles
original_query,103,83,55636964600,Long Doan,7,5,2,0,5,2,32,84911475468|84943222917|85052633160|85089319442|85095133927|85126304810|105042340289,https://www.scopus.com/authid/detail.uri?authorId=55636964600,unvalidated_query_candidate_articles
original_query,104,83,56329786700,Joshua Robison,7,4,5,2,2,3,32,84941353207|85091048531|85091348291|85101177545|85129722512|85210069567|105041066983,https://www.scopus.com/authid/detail.uri?authorId=56329786700,unvalidated_query_candidate_articles
original_query,105,83,56394620600,Kiratli O.S.,7,6,4,3,3,1,32,85075140130|85089676686|85124711493|85146277524|85182157282|86000737504|105019246500,https://www.scopus.com/authid/detail.uri?authorId=56394620600,unvalidated_query_candidate_articles
original_query,106,83,56868425000,Kai Quek,7,2,5,0,2,5,32,85033378563|85066606469|85126369047|85127895187|85186262055|105013279686|105031363663,https://www.scopus.com/authid/detail.uri?authorId=56868425000,unvalidated_query_candidate_articles
original_query,107,83,56924059300,Xiaojun Li,7,3,4,0,3,4,32,85046690233|85062659420|85076712061|85082114477|85183561559|105000547426|105045518046,https://www.scopus.com/authid/detail.uri?authorId=56924059300,unvalidated_query_candidate_articles
original_query,108,83,57188590875,Muradova L.,7,3,4,0,3,4,32,85118588761|85143763291|85144766986|85183505722|105001077106|105001950359|105024891648,https://www.scopus.com/authid/detail.uri?authorId=57188590875,unvalidated_query_candidate_articles
original_query,109,83,57188880644,Lauren Sukin,7,4,5,2,2,3,32,85067788122|85077144076|85147286875|85189699546|105035726373|105039309580|105045424436,https://www.scopus.com/authid/detail.uri?authorId=57188880644,unvalidated_query_candidate_articles
original_query,110,83,57193195374,Kingsland J.T.,7,0,7,0,0,7,32,85062719018|85070298879|85097405858|85116111950|85120615821|85130733510|105041076928,https://www.scopus.com/authid/detail.uri?authorId=57193195374,unvalidated_query_candidate_articles
original_query,111,83,57194393515,Ventura T.,7,1,6,0,1,6,32,85100731047|85108077988|85162949347|85184683757|105000531734|105002151721|105005410949,https://www.scopus.com/authid/detail.uri?authorId=57194393515,unvalidated_query_candidate_articles
original_query,112,83,57206937457,Azusa Uji,7,6,1,0,6,1,32,85096219826|85109104338|85122571011|85146502704|85193987772|85214296759|105010226878,https://www.scopus.com/authid/detail.uri?authorId=57206937457,unvalidated_query_candidate_articles
original_query,113,83,57220203816,Kaylyn Jackson Schiff,7,5,2,0,5,2,32,85171793730|85172898837|85174855421|85186617417|85211161731|105000168854|105015105489,https://www.scopus.com/authid/detail.uri?authorId=57220203816,unvalidated_query_candidate_articles
original_query,114,83,57264879500,Senhu Wang,7,4,3,0,4,3,32,85117389176|85123945835|85147509395|85178944816|85209705929|105031085870|105044996889,https://www.scopus.com/authid/detail.uri?authorId=57264879500,unvalidated_query_candidate_articles
