authid,full_name,institution,department,country,role,source_url,verified_on,verification_status
56556884300,Ryan Brutger,"University of California, Berkeley",Political Science,United States,Associate Professor,https://polisci.berkeley.edu/people/person/ryan-brutger,2026-09-08,institutional_profile
56611317200,John V. Kane,New York University,Center for Global Affairs; School of Professional Studies,United States,Clinical Associate Professor,https://www.sps.nyu.edu/faculty-directory/17402-john-kane.html,2026-09-08,institutional_profile
57189074265,Honorata Mazepus,University of Amsterdam,Political Science,Netherlands,Associate Professor,https://www.uva.nl/profiel/m/a/h.mazepus/h.mazepus.html,2026-09-08,institutional_profile
57191360465,Jinfeng Zhang,Chongqing University,School of Public Policy and Administration,China,Professor,https://cpa.cqu.edu.cn/en/Faculty___Staff/list/Zhang_Jinfeng.htm,2026-09-08,institutional_profile
15757402700,Peter John Loewen,Cornell University,Government; College of Arts and Sciences,United States,Professor; Dean,https://government.cornell.edu/peter-john-loewen,2026-09-08,institutional_profile
17345075500,Katrin Auspurg,LMU Munich,Department of Sociology; Quantitative Social Research,Germany,Professor,https://www.soziologie.lmu.de/en/our-department/faculty-and-staff/contact-page/katrin-auspurg-d92c4926.html,2026-09-09,institutional_profile
24339564700,David A. Steinberg,Johns Hopkins University,School of Advanced International Studies,United States,Professor,https://sais.jhu.edu/directory/david-steinberg,2026-09-08,institutional_profile
36676605900,Gabriele Spilker,University of Konstanz,Politics and Public Administration,Germany,Professor,https://www.polver.uni-konstanz.de/en/arbeitsgruppe-fuer-international-politics-global-inequality/team/prof-dr-gabriele-spilker/,2026-09-08,institutional_profile
49861923700,Ariela Schachter,Washington University in St. Louis,Sociology,United States,Associate Professor; Associate Chair,https://sociology.washu.edu/people/ariela-schachter,2026-09-08,institutional_profile
50861069700,Sveinung Arnesen,NORCE Norwegian Research Centre,Health and Social Sciences; Democratic Behavior and Governance,Norway,Research Professor; Group Leader,https://www.norceresearch.no/en/persons/sveinung-arnesen/977,2026-09-08,institutional_profile
55672957800,Michal Smetana,Charles University,"North American Studies, Institute of International Studies",Czechia,Associate Professor,https://ims.fsv.cuni.cz/en/contacts/institute-members/80745400,2026-09-08,institutional_profile
55917294300,Atsushi Tago,Waseda University,School of Political Science and Economics,Japan,Professor,https://www.waseda.jp/fpse/faculty-en/2019/08/15/895/,2026-09-08,institutional_profile
56534303500,Anthony Kevins,Loughborough University,"International Relations, Politics and History",United Kingdom,Senior Lecturer,https://www.lboro.ac.uk/subjects/politics-international-studies/staff/anthony-kevins/,2026-09-08,institutional_profile
56590030100,Alexander Coppock,Northwestern University,Political Science,United States,Associate Professor,https://polisci.northwestern.edu/people/core-faculty/alex-coppock.html,2026-09-08,institutional_profile
56689411500,Mette Kjærgaard Thomsen,University of Southern Denmark,Political Science and Public Management,Denmark,Associate Professor (Promotion Programme),https://portal.findresearcher.sdu.dk/en/persons/mtho/,2026-09-08,institutional_profile
57196390820,Robin Devroe,Ghent University,Political Sciences,Belgium,Appointment requires confirmation,https://research.ugent.be/web/person/robin-devroe-0/en,2026-09-08,institutional_profiles_role_conflict
57200795890,Niloufer A. Siddiqui,"University at Albany, SUNY",Political Science; Rockefeller College,United States,Associate Professor,https://www.albany.edu/rockefeller/faculty/niloufer-siddiqui,2026-09-08,institutional_profile
57203434746,Liam F. Beiser-McGrath,London School of Economics and Political Science,Social Policy,United Kingdom,Associate Professor,https://www.lse.ac.uk/people/liam-beiser-mcgrath,2026-09-08,institutional_profile
57203655130,Kathleen Searles,University of South Carolina,Department of Political Science,United States,Professor; Olin D. Johnston Chair; Director of Graduate Studies,https://sc.edu/study/colleges_schools/artsandsciences/political_science/our_people/directory/searles_kathleen.php,2026-09-09,institutional_profile
57211410814,Hunter M. Boehme,University of South Carolina,Criminology and Criminal Justice,United States,Associate Professor,https://sc.edu/study/colleges_schools/artsandsciences/criminology_and_criminal_justice/our_people/directory/boehme_hunter.php,2026-09-08,institutional_profile
57220041117,Ondřej Rosendorf,Institute for Peace Research and Security Policy at the University of Hamburg (IFSH),Arms Control and Emerging Technologies,Germany,Researcher,https://www.ifsh.de/en/staff/person/rosendorf,2026-09-08,institutional_profile
57226018577,Christopher Hoy,University of Melbourne,Melbourne Institute: Applied Economic and Social Research,Australia,McKenzie Research Fellow,https://melbourneinstitute.unimelb.edu.au/staff/research/staff-listings/christopher-hoy,2026-09-08,institutional_profile
57226745341,Li Shao,Zhejiang University,Political Science; School of Public Affairs,China,Hundred Talent Young Professor,https://person.zju.edu.cn/en/shaoli,2026-09-08,institutional_profile
57952558700,Peter T. McLaughlin,University of Rhode Island,Political Science,United States,Assistant Professor,https://web.uri.edu/politicalscience/meet/peter-mclaughlin/,2026-09-08,institutional_profile
6505910383,Michael Tomz,Stanford University,Political Science,United States,Professor,https://politicalscience.stanford.edu/people/michael-tomz,2026-09-08,institutional_profile
7003772257,Thomas Hinz,University of Konstanz,Department of History and Sociology; Empirical Social Research with a focus on Survey Research,Germany,Professor,https://www.soziologie.uni-konstanz.de/hinz/,2026-09-09,institutional_profile
7401620196,Daniel M. Butler,Washington University in St. Louis,Political Science,United States,Professor,https://polisci.washu.edu/people/daniel-butler,2026-09-08,institutional_profile
22836955000,Jeroen van der Waal,Erasmus University Rotterdam,Governance and Pluralism; Erasmus School of Social and Behavioural Sciences,Netherlands,Professor,https://pure.eur.nl/en/persons/jeroen-van-der-waal/,2026-09-08,institutional_profile
23479932300,Erik Lin-Greenberg,Massachusetts Institute of Technology,Political Science,United States,Associate Professor (without tenure),https://polisci.mit.edu/people/erik-lin-greenberg,2026-09-08,institutional_profile
24554597700,Geoffrey P. R. Wallace,University of Washington,Political Science,United States,Professor,https://www.polisci.washington.edu/people/geoffrey-pr-wallace,2026-09-08,institutional_profile
25226021600,Jonathon P. Schuldt,Cornell University,Communication; Brooks School of Public Policy,United States,Professor,https://cals.cornell.edu/people/jonathon-schuldt,2026-09-08,institutional_profile
25654666600,Cheryl Boudreau,"University of California, Davis",Political Science,United States,Professor,https://polisci.ucdavis.edu/people/cheryl-boudreau,2026-09-08,institutional_profile
35233806200,Scott A. MacKenzie,"University of California, Davis",Political Science,United States,Professor,https://ps.ucdavis.edu/people/scott-mackenzie,2026-09-08,institutional_profile
35784707400,Susan M. Miller,Arizona State University,School of Public Affairs,United States,Associate Professor,https://search.asu.edu/profile/3675459,2026-09-08,institutional_profile
36713939500,Paul Musgrave,Georgetown University in Qatar,International Politics; Government,Qatar,Associate Professor; Curricular Group Chair,https://www.qatar.georgetown.edu/faculty/paul-musgrave/,2026-09-08,institutional_profile
42161868700,Atte Oksanen,Tampere University,Social Psychology; Unit of Social Research; Faculty of Social Sciences,Finland,Professor; Vice Dean for Research,https://www.tuni.fi/en/people/atte-oksanen,2026-09-08,institutional_profile
55135830500,Gábor Simonovits,Central European University,Department of Political Science,Austria,Associate Professor,https://research.ceu.edu/en/persons/gabor-simonovits/,2026-09-09,institutional_profile
55175754800,Leah Christiani,"Hunter College, CUNY",Political Science,United States,Associate Professor (pre-tenure),https://leahchristiani.com/,2026-09-08,researcher_site
55454468300,Tatishe M. Nteta,University of Massachusetts Amherst,Department of Political Science,United States,Provost Professor,https://www.umass.edu/social-sciences/about/directory/tatishe-nteta,2026-09-09,institutional_profile
55461249300,Craig M. Burnett,Hofstra University,Department of Political Science,United States,Associate Professor,https://sites.hofstra.edu/craig-burnett/curriculum-vitae/,2026-09-09,institutional_hosted_cv_dated
55494876700,David R. Miller,American University,Government; School of Public Affairs,United States,Assistant Professor,https://american.edu/spa/faculty/dmiller.cfm,2026-09-08,institutional_profile
55636964600,Long Doan,"University of Maryland, College Park",Department of Sociology,United States,Professor; Director of Graduate Studies,https://socy.umd.edu/facultyprofile/doan/long,2026-09-09,institutional_profile
56063862300,Sebastian Sattler,Bielefeld University,Faculty of Sociology; Social Structure and Social Inequality,Germany,Lecturer (Akademischer Rat auf Zeit); project principal investigator,https://www.uni-bielefeld.de/fakultaeten/soziologie/fakultaet/personen/sattler/,2026-09-09,institutional_profile
56196951600,Omer Yair,Reichman University,Institute for Liberty and Responsibility,Israel,Research Director; Research Fellow,https://www.runi.ac.il/en/research-institutes/government/libres/faculty,2026-09-08,institutional_profile
56329786700,Joshua Robison,Leiden University,Institute of Political Science,Netherlands,Assistant Professor,https://www.universiteitleiden.nl/medewerkers/josh-robison,2026-09-08,institutional_profile
56354967100,Donald P. Moynihan,University of Michigan,Gerald R. Ford School of Public Policy,United States,Professor,https://fordschool.umich.edu/faculty/don-moynihan,2026-09-08,institutional_profile
56868425000,Kai Quek,University of Hong Kong,Politics and Public Administration,China,Associate Professor,https://web.socsc.hku.hk/staff/prof-kai-quek/,2026-09-08,institutional_profile
56924059300,Xiaojun Li,University of British Columbia,Political Science,Canada,Professor,https://politics.ubc.ca/profile/xiaojun-li/,2026-09-08,institutional_profile
57188880644,Lauren Sukin,University of Oxford,Politics and International Relations; Nuffield College,United Kingdom,Associate Professor; Professorial Fellow,https://www.politics.ox.ac.uk/person/lauren-sukin,2026-09-08,institutional_profile
57188971604,Sarah R. Maxey,Loyola University Chicago,Political Science,United States,Associate Professor; Graduate Program Director,https://www.luc.edu/politicalscience/faculty.shtml,2026-09-08,institutional_profile
57206937457,Azusa Uji,Kyoto University,Graduate School of Law; Public Policy,Japan,Associate Professor,https://kdb.iimc.kyoto-u.ac.jp/profile/ja.b81da4c482e44e06.html,2026-09-08,institutional_profile
57220203816,Kaylyn Jackson Schiff,Purdue University,Political Science,United States,Associate Professor,https://www.cla.purdue.edu/directory/profiles/kaylyn-jackson-schiff.html,2026-09-08,institutional_profile
57264879500,Senhu Wang,National University of Singapore,Sociology and Anthropology,Singapore,Assistant Professor,https://nusgs.nus.edu.sg/thesis-advisors/socsw,2026-09-08,institutional_profile
6601956224,John Gastil,Pennsylvania State University,Communication Arts and Sciences; Public Policy; Political Science,United States,Distinguished Professor,https://cas.la.psu.edu/people/john-gastil/,2026-09-08,institutional_profile
6602533817,Jonas Tallberg,Stockholm University,Political Science,Sweden,Professor,https://www.su.se/english/profiles/j/jtall,2026-09-08,institutional_profile
6602698051,Giuliano Bonoli,University of Lausanne,Swiss Graduate School of Public Administration (IDHEAP),Switzerland,Professor; IDHEAP Director,https://wp.unil.ch/allezsavoir/en-direct-du-campus-37/,2026-09-08,institutional_news
7006126634,André Blais,Université de Montréal,Political Science,Canada,Professor Emeritus,https://pol.umontreal.ca/repertoire-departement/professeurs/professeur/in/in13603/sg/Andr%C3%A9%20Blais/,2026-09-08,institutional_profile
7102332636,Oliver James,University of Exeter,Politics,United Kingdom,Professor,https://www.exeter.ac.uk/masters-degrees/msc-public-policy/,2026-09-08,institutional_profile
