identity,scopus_id,all_scopus_ids,metadata_scopus_id,doi,title,year,journal,source_id,authids,first_authid,last_authid,byline_complete,n_authors,byline_issue,metadata_source,metadata_retrieved_at,current_raw,original_query,narrower_query,current_published_credited,current_local_phrase_verified
SCOPUS_ID:84875515138,84875515138,84875515138,84875515138,,Empirical assessment of corporate environmental crime-control strategies,2013,Journal of Criminal Law and Criminology,20357,7201800171|23979908800|35099455400|16308449300|55190212100|9745962600,7201800171,9745962600,true,6,,private/cache/search/42dabd75c0854bda4acef3b2fb54db279664173d1a7e05744542ef450c31a5ab.json,2026-09-09T07:53:08.711453+00:00,true,true,true,true,true
SCOPUS_ID:84878439319,84878439319,84878439319,84878439319,,"I can take the risk, but you should be safe: Self-other differences in situations involving physical safety",2013,Judgment and Decision Making,19400157006,55618987700|58349018300|7004764268|7004886247,55618987700,7004886247,true,4,,private/query_rankings_2026_09_10/requests/6e1c850d7ef1c0aa249492395cd066f8177487b0cbfa2e3329421be6b9747f83.json,2026-09-10T14:04:56.016420+00:00,false,true,true,false,
SCOPUS_ID:84883649423,84883649423,84883649423,84883649423,,Informed consent for web paradata use,2013,Survey Research Methods,21100256106,7005131557|35917888400,7005131557,35917888400,true,2,,private/cache/search/7326c30a0ca29a42ddeea493085d07c251f9aef887de2b4de5d64d275b4b2892.json,2026-09-09T07:53:01.922479+00:00,true,true,true,true,true
SCOPUS_ID:84890653985,84890653985,84890653985,84890653985,,"Tops, bottoms, and versatiles: What straight views of penetrative preferences could mean for sexuality claims under Price Waterhouse",2013,Yale Law Journal,22856,55970444200|55970550100,55970444200,55970550100,true,2,,private/cache/search/2a323b8d0cf1a6d5ac2d83e6a435b6de3475bec2b2d777a12a2c0d5d2afe6d20.json,2026-09-09T07:53:00.072178+00:00,true,true,true,true,true
SCOPUS_ID:84899157419,84899157419,84899157419,84899157419,,Design-based analysis of factorial designs embedded in probability samples,2013,Survey Methodology,14844,24282013700,24282013700,24282013700,true,1,,private/query_rankings_2026_09_10/requests/0e43d79bc7bab485541039cb4c0e8ff85ec63bbc98d5b20d73a75ea53bd7c464.json,2026-09-10T14:04:57.495840+00:00,false,true,true,false,
SCOPUS_ID:84920973219,84920973219,84920973219,84920973219,,Perceptions of taxing and spending: A survey experiment,2015,Yale Law Journal,22856,56481060600|57188561288,56481060600,57188561288,true,2,,private/cache/search/e3ba45c0e417b187ea8f3cb958ffa34a82016875fdeb7e9147d0c54616b22459.json,2026-09-09T07:53:12.085614+00:00,true,true,true,true,true
SCOPUS_ID:84985864658,84985864658,84985864658,84985864658,,AN EMPIRICAL METHOD FOR MATERIALITY: WOULD CONFLICT OF INTEREST DISCLOSURES CHANGE PATIENT DECISIONS?,2014,American Journal of Law Medicine,12685,6602753010|55468710700|57203917007|57191030691,6602753010,57191030691,true,4,,private/query_rankings_2026_09_10/requests/c53d6a982594ff95eb97d6b048ce818c1b90a0b0248f4c044b09ee49539aeb3b.json,2026-09-10T14:04:59.387286+00:00,false,true,true,false,
SCOPUS_ID:85010604453,85010604453,85010604453,85010604453,,Lawful or fair? How cops and laypeople perceive good policing,2016,Journal of Criminal Law and Criminology,20357,6603338167|55913409300|57193074069,6603338167,57193074069,true,3,,private/cache/query_revision_2026_09_10/e43af0d4b43e2f7dbff2db5ec89e04a7e6ef15510836ac2a446e6458369e869d.json,2026-09-10T11:22:55.002844+00:00,false,true,true,false,
SCOPUS_ID:85011573622,85011573622,85011573622,85011573622,,Value poaching: Framing the same values for competing political ends,2015,International Journal of Communication,21100202907,57198248219|26036187400|14319270400|6603030334,57198248219,6603030334,true,4,,private/cache/search/b236fbfc72182d6dd9401fef6a4325d75d978279ad896fd62a855549432fb4f5.json,2026-09-09T07:53:10.474108+00:00,true,true,true,true,true
SCOPUS_ID:85019980045,85019980045,85019980045,85019980045,,Alcohol as an excuse: The role of aggressor's alcohol intoxication on attribution of responsibility and blame,2014,Revue Internationale De Psychologie Sociale,10100153327,24832245800|6701845502,24832245800,6701845502,true,2,,private/cache/search/e8a78c4a59928afb9f1f856f4980de487cbf200aa10a09507beb594f80bb67df.json,2026-09-09T07:53:06.820302+00:00,true,true,true,true,true
SCOPUS_ID:85026905547,85026905547,85026905547,85026905547,,"The informed consent to record linkage in panel studies: Optimal starting wave, consent refusals, and subsequent panel attrition",2017,Public Opinion Quarterly,23574,57195308668|56187903300,57195308668,56187903300,true,2,,private/cache/search/cfb56d5fc261d35abbaf9b2a80545e3eb6602a52401f6f3182f9d305f8777af8.json,2026-09-08T09:39:41.996449+00:00,true,true,true,true,true
SCOPUS_ID:85029617494,85029617494,85029617494,85029617494,,Contentious discourse in Mexican elections,2016,Politica Y Gobierno,19600165500,57195724432,57195724432,57195724432,true,1,,private/cache/search/482d15073dedb56d0d1d4ff7696f1a6ce42bde595783d8d87fd519bb70047d50.json,2026-09-08T09:39:42.819135+00:00,true,true,true,true,true
SCOPUS_ID:85047971161,85047971161,85047971161,85047971161,,Election pledge rhetoric: Selling policy with words,2017,International Journal of Communication,21100202907,57202349863|55959508500,57202349863,55959508500,true,2,,private/cache/search/e65607e398eea765bfbc5377282719b4e5b8817fbdebf828c840f1f0efcd0fb4.json,2026-09-08T09:39:43.735512+00:00,true,true,true,true,true
SCOPUS_ID:85062680553,85062680553,85062680553,85062680553,,Discriminatory Attitudes towards the Female Mobility: Evidence from a Survey Experiment,2019,Economic and Political Weekly,19957,57002848400,57002848400,57002848400,true,1,,private/cache/search/105719d21a036b166048f43e54ffe83cd1d556aba3a643fa560bfcc178a0af15.json,2026-09-08T09:39:50.196510+00:00,true,true,true,true,true
SCOPUS_ID:85063302191,85063302191,85063302191,85063302191,,Consent to contend: The power of the masses in China’s local Elite Bargain,2019,China Review,4000151708,55454508500,55454508500,55454508500,true,1,,private/cache/search/105719d21a036b166048f43e54ffe83cd1d556aba3a643fa560bfcc178a0af15.json,2026-09-08T09:39:50.196510+00:00,true,true,true,true,true
SCOPUS_ID:85077113602,85077113602,85077113602,85077113602,,How propaganda moderates the influence of opinion leaders on social media in china,2018,International Journal of Communication,21100202907,55738267500|57256771000|57226745341,55738267500,57226745341,true,3,,private/cache/search/4f6a1835251f39b5e46ff034332841ea2f51b5abfc310de0e2597c696be5513d.json,2026-09-08T09:39:48.718409+00:00,true,true,true,true,true
SCOPUS_ID:85099442618,85099442618,85099442618,85099442618,,Contextualizing the Effect of Digital Protest Appeals on Political SelfExpression: Evidence From a Cross-Case Comparison,2020,International Journal of Communication,21100202907,57203435323,57203435323,57203435323,true,1,,private/cache/search/d93b6e5f9e70d9255c921f1c6e5d818cd171b786644e3aab454d2cd8556f9941.json,2026-09-08T09:40:15.901516+00:00,true,true,true,true,true
SCOPUS_ID:85099576940,85099576940,85099576940,85099576940,,Doubt Versus Trust: Framing Effects of the News About the 2018 Trump-Kim Jong Un Summit in Singapore on American College Students,2020,International Journal of Communication,21100202907,55620223400|7102759319,55620223400,7102759319,true,2,,private/query_rankings_2026_09_10/requests/9e2d32e4a5b6ebb42863464cf785fcb8c8fac2cccdf8e7eb629cf45ea76603f7.json,2026-09-10T14:05:08.245967+00:00,false,true,true,false,
SCOPUS_ID:85115751581,85115751581,85115751581,85115751581,,An investigation into the impact of virtual reality character presentation on participants’ depression stigma,2020,Annual Review of Cybertherapy and Telemedicine,19700174668,59824296700|57273483200|52264297700|57189083580|57207899507|55007994600,59824296700,55007994600,true,6,,private/query_rankings_2026_09_10/requests/af8032fe05a6ed8059e81a04f4e8c85b4ef464b29430cf70c1cb06a2eb29c265.json,2026-09-10T14:05:10.020579+00:00,false,true,true,false,
SCOPUS_ID:85123957924,85123957924,85123957924,85123957924,,Affect and prosocial behavior: The role of decision mode and individual processing style,2022,Judgment and Decision Making,19400157006,57193501316|39660914100|6603904733|25224071700,57193501316,25224071700,true,4,,private/cache/search/6caf9e4c49c8150722cdb10b29394a466ed8aff8ece8f40244d1bf03b57fb06c.json,2026-09-08T09:40:42.280342+00:00,true,true,true,true,true
SCOPUS_ID:85134056656,85134056656,85134056656,85134056656,,How Does Anti-Corruption Information Affect Public Perceptions of Corruption in China?,2022,China Review,4000151708,57209204607|56431621000|59587893400,57209204607,59587893400,true,3,,private/cache/search/c1794644f0e2ee4f82b98bf05c936f2a68db496f9a6e02d9e8fad5bbe0f4cec8.json,2026-09-08T09:40:18.703484+00:00,true,true,true,true,true
SCOPUS_ID:85139144021,85139144021,85139144021,85139144021,,Does Soft Propaganda Work? The Impact of Inequality Rhetoric on Opinions toward Economic Inequality in China,2022,China Review,4000151708,57191089044,57191089044,57191089044,true,1,,private/cache/search/8defc9c942b0b6666b15367b2fa033aa25845fd530733ba37a5c5d00432a152b.json,2026-09-08T09:40:08.302256+00:00,true,true,true,true,true
SCOPUS_ID:85144775920,85144775920,85144775920,85144775920,,A Trade War With or Without Trump: Actual Topical Knowledge as a Moderator of Question Wording Effect on Survey Responses,2022,International Journal of Communication,21100202907,57555663400|57754426100,57555663400,57754426100,true,2,,private/cache/search/ced89a6746c12a783a116c87fabd26fdab9a7843226d17af85b85473357a0afe.json,2026-09-08T09:40:36.885238+00:00,true,true,true,true,true
SCOPUS_ID:85146866960,85146866960,85146866960,85146866960,,Job Satisfaction and Social Media Use: Cognitive Reflection and Journalists’ Utilization in Egypt and the United States,2022,International Journal of Communication,21100202907,54779725000|24474160700,54779725000,24474160700,true,2,,private/cache/search/b706f7900ff965ebe817c8e1e2043eabc02411edd5964cf1f8c9deb030dac178.json,2026-09-08T09:40:35.198280+00:00,true,true,true,true,true
SCOPUS_ID:85153076638,85153076638,85153076638,85153076638,,The Other Side of the Pandemic: Effects of Racialized News Coverage on Attitudes Toward Asians and Immigrants,2022,International Journal of Communication,21100202907,57204976426|57853618400|57668700100|13607239900|57224306459|57204977825,57204976426,57204977825,true,6,,private/query_rankings_2026_09_10/requests/3c625c992ecf46681757e1e0a8dbf681333bc75b50d6c339a75ca5a5e95c6f63.json,2026-09-10T14:05:13.474388+00:00,false,true,true,false,
SCOPUS_ID:85158975583,85158975583,85158975583,85158975583,,The Tax Compliance Puzzle: Economic and Moral Effects on Fiscal Evasion in Spain,2023,Politica Y Gobierno,19600165500,56038035400|8875002500|23468610900,56038035400,23468610900,true,3,,private/cache/search/a0fddadfbb5533b6a1bb7ec89b4c043f38b7b3783d2220314fb4e124021fb8b7.json,2026-09-08T09:56:34.915329+00:00,true,true,true,true,true
SCOPUS_ID:85161267129,85161267129,85161267129,85161267129,,"Twitter and Endorsed (Fake) News: The Influence of Endorsement by Strong Ties, Celebrities, and a User Majority on Credibility of Fake News During the COVID-19 Pandemic",2022,International Journal of Communication,21100202907,57189369624|57223877607|58691197200,57189369624,58691197200,true,3,,private/cache/search/b706f7900ff965ebe817c8e1e2043eabc02411edd5964cf1f8c9deb030dac178.json,2026-09-08T09:40:35.198280+00:00,true,true,true,true,true
SCOPUS_ID:85165495673,85165495673,85165495673,85165495673,,Evaluating the Influence of Metaphor in News on Foreign-Policy Support,2022,International Journal of Communication,21100202907,36016168300|36801247800|57205019382,36016168300,57205019382,true,3,,private/query_rankings_2026_09_10/requests/687161b0c2eec91a569d022fe7b670d2b4b83c7be581ee007194dd39dc076989.json,2026-09-10T14:05:13.698009+00:00,false,true,true,false,
SCOPUS_ID:85169048985,85169048985,85169048985,85169048985,,Older Adults and “the Biggest Lie on the Internet”: From Ignoring Social Media Policies to the Privacy Paradox,2022,International Journal of Communication,21100202907,35099172300|25723764800,35099172300,25723764800,true,2,,private/cache/query_revision_2026_09_10/30f97846e6f933a30e27dda977daa694361705aa8ca988f6404a47a58d0fd60b.json,2026-09-10T11:23:05.117769+00:00,false,true,true,false,
SCOPUS_ID:85169683944,85169683944,85169683944,85169683944,,GENDER AND DECEPTION: MORAL PERCEPTIONS AND LEGAL RESPONSES,2023,Northwestern University Law Review,18553,23395037300|24475948400,23395037300,24475948400,true,2,,private/cache/search/3c9943dc156cb7fa46d63cb56cacf74e919efa14a6c40841b31ae530f96fabe7.json,2026-09-08T09:40:16.857539+00:00,true,true,true,true,true
SCOPUS_ID:85176385854,85176385854,85176385854,85176385854,,Attacking the Gatekeepers: A Survey Experiment on the Effects of Elite Criticism on the Media,2022,International Journal of Communication,21100202907,57015271700|57201909992,57015271700,57201909992,true,2,,private/cache/search/b706f7900ff965ebe817c8e1e2043eabc02411edd5964cf1f8c9deb030dac178.json,2026-09-08T09:40:35.198280+00:00,true,true,true,true,true
SCOPUS_ID:85176414741,85176414741,85176414741,85176414741,,"Opinion Polls in Context: Partisan Embeddedness, Source Confusion, and the Effects of Socially Transmitted Polls",2022,International Journal of Communication,21100202907,57213625828|7203000791,57213625828,7203000791,true,2,,private/cache/search/b706f7900ff965ebe817c8e1e2043eabc02411edd5964cf1f8c9deb030dac178.json,2026-09-08T09:40:35.198280+00:00,true,true,true,true,true
SCOPUS_ID:85177044613,85177044613,85177044613,85177044613,,Disinformation as a Widespread Problem and Vulnerability Factors Toward it: Evidence From a Quasi-Experimental Survey in Spain,2022,International Journal of Communication,21100202907,57205270814|57219115061|56925330200,57205270814,56925330200,true,3,,private/query_rankings_2026_09_10/requests/32faf9816bf4da09b1afd9bd1c875e32a526b7862b60ef39fad4393c491805a6.json,2026-09-10T14:05:14.073680+00:00,false,true,true,false,
SCOPUS_ID:85177049872,85177049872,85177049872,85177049872,,Sincerity Over Accuracy: Epistemic Preferences and the Persuasiveness of Uncivil and Simple Rhetoric,2022,International Journal of Communication,21100202907,58044370700|26429996500,58044370700,26429996500,true,2,,private/query_rankings_2026_09_10/requests/32faf9816bf4da09b1afd9bd1c875e32a526b7862b60ef39fad4393c491805a6.json,2026-09-10T14:05:14.073680+00:00,false,true,true,false,
SCOPUS_ID:85177060425,85177060425,85177060425,85177060425,,Do Brands Matter? Understanding Public Trust in Third-Party Factcheckers of Misinformation and Disinformation on Facebook,2023,International Journal of Communication,21100202907,56396315400|56182121900|59843748900|36198643600|25958334300,56396315400,25958334300,true,5,,private/cache/search/98e2f20cf1b464d1c772395e3ed6e3a275335d5e7b39c3c4ff7601367c8c82ae.json,2026-09-08T09:40:47.476671+00:00,true,true,true,true,true
SCOPUS_ID:85177090540,85177090540,85177090540,85177090540,,Political Campaign Ads on Facebook: Investigating the Effects of Incivility in Videos and User Comments on Affective Polarization and Mobilization,2023,International Journal of Communication,21100202907,36642717600|57103068500|57201720727,36642717600,57201720727,true,3,,private/cache/search/ca1bf81d77b6a9283619981d68036b59619781b1e11ecbe4c8a19eb299f52c07.json,2026-09-08T09:40:45.870978+00:00,true,true,true,true,true
SCOPUS_ID:85177784624,85177784624,85177784624,85177784624,,Does a Man's Hardship Matter More Than a Woman's? Reasons for Justifying Domestic Violence,2023,Economic and Political Weekly,19957,55614856800|56650823900|6603408557,55614856800,6603408557,true,3,,private/cache/search/ae21deacc4f94c8ebf6b633c581e46d03dbb8294a9fd42f6cd4087e3ed9da7a8.json,2026-09-08T09:40:06.195964+00:00,true,true,true,true,true
SCOPUS_ID:85186880270,85186880270,85186880270,85186880270,,"Uncertainty Communication in a High-Trust Society: Source Type, Political Preference, and Trust",2024,International Journal of Communication,21100202907,18036937600|35219953800|23482491200,18036937600,23482491200,true,3,,private/cache/search/f615ceca4486625be67a365e5a7261969848125c65b955b10b86207e61663489.json,2026-09-08T09:41:27.794145+00:00,true,true,true,true,true
SCOPUS_ID:85209586542,85209586542,85209586542,85209586542,,"TECHNOLOGY, TRADITION, AND “THE TERROR OF THE PEOPLE”",2024,Notre Dame Law Review,18575,7408344738|37064318300|56946289700,7408344738,56946289700,true,3,,private/cache/search/554f90bafc8a15460d294eb6633fcbeab55d975ee9f861e8fc4946bb686f2238.json,2026-09-08T09:41:18.190114+00:00,true,true,true,true,true
SCOPUS_ID:85216308848,85216308848,85216308848,85216308848,,"When Corrections Fail: Effects of Misinformation Targets, Repeated Exposure, and Partisanship on Misinformation Beliefs",2025,International Journal of Communication,21100202907,55082946100|58916930800|57220715661|56151275300|26040841900,55082946100,26040841900,true,5,,private/cache/search/8476828f508b7797bf03a1b3e8abbddda2bb3e78d5db908e238197c212bb3199.json,2026-09-08T09:41:41.780376+00:00,true,true,true,true,true
doi:10.1001/jamahealthforum.2021.2932,85147410768,85147410768,85147410768,10.1001/jamahealthforum.2021.2932,Variability in Primary Care Physician Attitudes Toward Medicaid Work Requirement Exemption Requests Made by Patients with Depression,2021,JAMA Health Forum,21101120622,34980152100|56950946100|57226254394|56385343700|7005183013,34980152100,7005183013,true,5,,private/cache/search/af69429df03a9ab0ff72091d29f33817c8c8076584e5dac2948e5fbbb30769cf.json,2026-09-08T09:39:55.034673+00:00,true,true,true,true,true
doi:10.1001/jamahealthforum.2024.3305,85205151947,85205151947,85205151947,10.1001/jamahealthforum.2024.3305,Voter Support for Policies Associated with Child Health as National Campaign Priorities,2024,JAMA Health Forum,21101120622,57217676222|57219429040|57214873176|26643040300,57217676222,26643040300,true,4,,private/cache/query_revision_2026_09_10/d2f8a426063911592749307d3d85e1a343770a2d4d44d6aeb31e3d36c0609bce.json,2026-09-10T11:23:06.967546+00:00,false,true,true,false,
doi:10.1001/jamanetworkopen.2018.6149,85064120941,85064120941,85064120941,10.1001/jamanetworkopen.2018.6149,Ethical Acceptability of Postrandomization Consent in Pragmatic Clinical Trials,2018,JAMA Network Open,21100900345,57194585835|55083192000|57208212498|8611887200|7006862896|57190809913|57044440500,57194585835,57044440500,true,7,,private/cache/query_revision_2026_09_10/124849b103c66afbb37d4ad94a07b8fbda73e2daf4018b7a0fe3f1d6ca27d1e8.json,2026-09-10T11:22:56.866889+00:00,false,true,true,false,
doi:10.1001/jamanetworkopen.2018.7355,85066491378,85066491378,85066491378,10.1001/jamanetworkopen.2018.7355,Association Between Financial Incentives and Participant Deception About Study Eligibility,2019,JAMA Network Open,21100900345,34968314300|35774031500|24559254500|15833518800|35574104900,34968314300,35574104900,true,5,,private/cache/search/048ad13e60fe9b984a665fea25fef23964b38f8c4473c88774dcd60280d9993d.json,2026-09-08T09:39:51.883559+00:00,true,true,true,true,true
doi:10.1001/jamanetworkopen.2021.27827,85117550049,85117550049,85117550049,10.1001/jamanetworkopen.2021.27827,"Testing practices, interpretation, and diagnostic evaluation of iron deficiency anemia by us primary care physicians",2021,JAMA Network Open,21100900345,57189237510|13410620700|36090456400|57199030804|26324743800|7003835454|57205782018,57189237510,57205782018,true,7,,private/query_rankings_2026_09_10/requests/af8032fe05a6ed8059e81a04f4e8c85b4ef464b29430cf70c1cb06a2eb29c265.json,2026-09-10T14:05:10.020579+00:00,false,true,true,false,
doi:10.1001/jamanetworkopen.2023.37281,85175186112,85175186112,85175186112,10.1001/jamanetworkopen.2023.37281,Factors Important to Older Adults Who Disagree with a Deprescribing Recommendation,2023,JAMA Network Open,21100900345,57201060241|58157810900|57223041011|57436333800|57205264967,57201060241,57205264967,true,5,,private/query_rankings_2026_09_10/requests/32faf9816bf4da09b1afd9bd1c875e32a526b7862b60ef39fad4393c491805a6.json,2026-09-10T14:05:14.073680+00:00,false,true,true,false,
doi:10.1002/ab.21624,84963701055,84963701055,84963701055,10.1002/ab.21624,Dressed to kill? Visible markers of coalitional affiliation enhance conceptualized formidability,2016,Aggressive Behavior,29452,6603826266|42461369800|57188826353,6603826266,57188826353,true,3,,private/query_rankings_2026_09_10/requests/3673c5bb02719589d6074a4b8b2079ce221318dab53607df9c95f2aa805de4c7.json,2026-09-10T14:04:59.335260+00:00,false,true,true,false,
doi:10.1002/ab.21745,85041196671,85041196671,85041196671,10.1002/ab.21745,"An experimental examination of alcohol consumption, alcohol expectancy, and self-blame on willingness to report a hypothetical rape",2018,Aggressive Behavior,29452,16022019100|7101794635,16022019100,7101794635,true,2,,private/query_rankings_2026_09_10/requests/4fadec45c88f4d54a6b531aa53e119a739c9ae1f0dfc4ee5d5ec855386dd5a80.json,2026-09-10T14:05:01.184553+00:00,false,true,true,false,
doi:10.1002/ab.70064,105032888543,105032888543,105032888543,10.1002/ab.70064,"Well, That Was a Rude Exchange! A Multi-Study Examination of Trust as a Mediator Between Cyberbullying or Cyber Incivility Victimization and Relational Outcomes at Work",2026,Aggressive Behavior,29452,14044867200|7102992402,14044867200,7102992402,true,2,,private/cache/query_revision_2026_09_10/525fb04ffaf5f10bca142196b82b48e115413b19e4bbfd3f4b59d36ee924cbad.json,2026-09-10T11:01:55.852883+00:00,true,true,true,false,false
doi:10.1002/acp.2903,84876863308,84876863308,84876863308,10.1002/acp.2903,Judgments about Felony-Murder in Hindsight,2013,Applied Cognitive Psychology,12024,55552268300|7101713645,55552268300,7101713645,true,2,,private/query_rankings_2026_09_10/requests/6e1c850d7ef1c0aa249492395cd066f8177487b0cbfa2e3329421be6b9747f83.json,2026-09-10T14:04:56.016420+00:00,false,true,true,false,
doi:10.1002/acp.2918,84880826805,84880826805,84880826805,10.1002/acp.2918,Attention and memory for newspaper advertisements: Effects of ad-editorial congruency and location,2013,Applied Cognitive Psychology,12024,36793752200|26967741800|6602416227|57213081269,36793752200,57213081269,true,4,,private/query_rankings_2026_09_10/requests/ca13b78e31ddf54ef0c549a2ff14ee39e06fd05313fdc01f103f29fe14d427ea.json,2026-09-10T14:04:56.013714+00:00,false,true,true,false,
doi:10.1002/acp.3233,84963568620,84963568620,84963568620,10.1002/acp.3233,Sensitizing Potential Jurors to Variations in Eyewitness Evidence Quality Using Counterfactual Thinking,2016,Applied Cognitive Psychology,12024,34977387200|30367575200,34977387200,30367575200,true,2,,private/cache/query_revision_2026_09_10/b448f1b57f16fc2c6585f93735409a9c25774be7cdbd529b6eaf076b0b0f0f37.json,2026-09-10T11:02:25.130077+00:00,false,true,true,false,
doi:10.1002/acp.3387,85042934543,85042934543,85042934543,10.1002/acp.3387,Effects of background chewing sounds on learning: The role of misophonia sensitivity,2018,Applied Cognitive Psychology,12024,57201022614|49663192300,57201022614,49663192300,true,2,,private/query_rankings_2026_09_10/requests/17d7b3614e16c4c4b1cfaad54c1421682776fd896e60f12074d668d6d083a01b.json,2026-09-10T14:05:01.423288+00:00,false,true,false,false,
doi:10.1002/acp.3388,85041688594,85041688594,85041688594,10.1002/acp.3388,Interpreters in law enforcement contexts: Practices and experiences according to investigators,2018,Applied Cognitive Psychology,12024,57809966200|34876620600,57809966200,34876620600,true,2,,private/cache/search/5a0da770758843df61b7058ff73732ebc7b4ee3dccc23d0ee634cf6f74012e47.json,2026-09-08T09:39:44.948501+00:00,true,true,true,true,true
doi:10.1002/acp.3558,85065960094,85065960094,85065960094,10.1002/acp.3558,Does text–picture integration also occur with longer text segments?,2019,Applied Cognitive Psychology,12024,36464158200|56392548600|6507519353,36464158200,6507519353,true,3,,private/query_rankings_2026_09_10/requests/eb2bb8e8df8743cd844abd16db06177f3a2e415b56fb0fe3cd8f69c47f0c8c5d.json,2026-09-10T14:05:03.589268+00:00,false,true,false,false,
doi:10.1002/acp.3612,85074579244,85074579244,85074579244,10.1002/acp.3612,Mock juror's perceptions of a child witness passing or failing a truth and lies discussion or promising to tell the truth,2020,Applied Cognitive Psychology,12024,57211603614|6602079224|36609513900,57211603614,36609513900,true,3,,private/query_rankings_2026_09_10/requests/3bf5971c8e8753bc31a5525d6e3fdb24cd0197b42fe8bfc88df71e0ecbe50f21.json,2026-09-10T14:05:04.818490+00:00,false,true,true,false,
