variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,n_sole,n_first_excluding_sole,n_last_excluding_sole,score_tie_size,article_ids,scopus_author_url,status
current_raw,118,100,35233854900,Kaneko S.,6,0,6,0,0,6,68,85098731592|85100440176|85111671884|85116940241|85123170519|85161902670,https://www.scopus.com/authid/detail.uri?authorId=35233854900,unvalidated_query_candidate_articles
current_raw,119,100,36196237600,Balcells L.,6,5,1,0,5,1,68,84890164457|84938819185|85121049446|105003059726|105012502605|105039068556,https://www.scopus.com/authid/detail.uri?authorId=36196237600,unvalidated_query_candidate_articles
current_raw,120,100,36469243000,Stout C.T.,6,3,3,0,3,3,68,85053307757|85053519179|85113933079|85120311367|85143980366|85158850487,https://www.scopus.com/authid/detail.uri?authorId=36469243000,unvalidated_query_candidate_articles
current_raw,121,100,36473880700,Pardos-Prado S.,6,1,5,0,1,5,68,85071244588|85092319398|85113821753|85129147790|105015663876|105041479806,https://www.scopus.com/authid/detail.uri?authorId=36473880700,unvalidated_query_candidate_articles
current_raw,122,100,36992463600,Tilcsik A.,6,1,6,1,0,5,68,85002271166|85062990725|85097428724|85149278306|85173221804|105028036068,https://www.scopus.com/authid/detail.uri?authorId=36992463600,unvalidated_query_candidate_articles
current_raw,123,100,47062211000,Sauer C.,6,2,5,1,1,4,68,84875507076|84881086329|84894064305|84898884449|85011629108|85092469299,https://www.scopus.com/authid/detail.uri?authorId=47062211000,unvalidated_query_candidate_articles
current_raw,124,100,53983153400,Powers R.M.,6,3,4,1,2,3,68,85088843042|85122069202|85197394346|85200031287|85218098424|105032860235,https://www.scopus.com/authid/detail.uri?authorId=53983153400,unvalidated_query_candidate_articles
current_raw,125,100,54385071100,Grimmelikhuijsen S.G.,6,4,2,0,4,2,68,85054185907|85078863162|85087950052|85180178091|85183088890|85217151653,https://www.scopus.com/authid/detail.uri?authorId=54385071100,unvalidated_query_candidate_articles
current_raw,126,100,54402038900,Willems J.,6,2,4,0,2,4,68,85115302760|85125332474|85129214191|85210732773|105022491747|105032162844,https://www.scopus.com/authid/detail.uri?authorId=54402038900,unvalidated_query_candidate_articles
current_raw,127,100,54785521400,Utych S.M.,6,2,4,0,2,4,68,85092503959|85111802478|85113217939|85128342626|85128710149|85166397064,https://www.scopus.com/authid/detail.uri?authorId=54785521400,unvalidated_query_candidate_articles
current_raw,128,100,54939771600,Ayoub P.M.,6,6,0,0,6,0,68,85099962519|85216486046|105000519465|105002134171|105023045092|105041965396,https://www.scopus.com/authid/detail.uri?authorId=54939771600,unvalidated_query_candidate_articles
current_raw,129,100,55319086800,Cabrera L.Y.,6,3,3,0,3,3,68,84938293936|85147352823|85162724492|85179785954|85206878187|105004829427,https://www.scopus.com/authid/detail.uri?authorId=55319086800,unvalidated_query_candidate_articles
current_raw,130,100,55364149100,Newman B.J.,6,5,2,1,4,1,68,84995356828|85033714347|85056606391|85067402720|85079694710|85159616043,https://www.scopus.com/authid/detail.uri?authorId=55364149100,unvalidated_query_candidate_articles
current_raw,131,100,55498802400,Werner A.,6,1,5,0,1,5,68,85134217067|85143389438|85174613791|85184208831|85190383981|85209221117,https://www.scopus.com/authid/detail.uri?authorId=55498802400,unvalidated_query_candidate_articles
current_raw,132,100,55604227800,Porumbescu G.,6,4,2,0,4,2,68,85026363078|85054185907|85077701916|85195165540|85210949815|105024575250,https://www.scopus.com/authid/detail.uri?authorId=55604227800,unvalidated_query_candidate_articles
current_raw,133,100,55735410100,Schlipphak B.,6,3,3,0,3,3,68,85064750490|85124711493|85134557919|85134570877|85182157282|85209079402,https://www.scopus.com/authid/detail.uri?authorId=55735410100,unvalidated_query_candidate_articles
current_raw,134,100,55738296700,Huang H.,6,5,3,2,3,1,68,85017439852|85046799072|85053873561|85091036820|85100758392|105040150837,https://www.scopus.com/authid/detail.uri?authorId=55738296700,unvalidated_query_candidate_articles
current_raw,135,100,55787363800,Liu B.,6,4,2,0,4,2,68,85129226690|85160835182|85161446266|85176725704|105001127398|105017167951,https://www.scopus.com/authid/detail.uri?authorId=55787363800,unvalidated_query_candidate_articles
current_raw,136,100,55955809300,Petzold K.,6,5,4,3,2,1,68,85012923611|85050192071|85058308933|85066796429|85083390320|85136695741,https://www.scopus.com/authid/detail.uri?authorId=55955809300,unvalidated_query_candidate_articles
current_raw,137,100,56056445200,Lim S.,6,4,2,0,4,2,68,85061035641|85126806972|85158154615|85206340986|85217138203|105001641509,https://www.scopus.com/authid/detail.uri?authorId=56056445200,unvalidated_query_candidate_articles
current_raw,138,100,56168369200,Thau M.,6,1,5,0,1,5,68,85176091880|85196067903|105002152711|105020764129|105024555682|105039885285,https://www.scopus.com/authid/detail.uri?authorId=56168369200,unvalidated_query_candidate_articles
current_raw,139,100,56180409500,Banda K.K.,6,4,5,3,1,2,68,84928809792|84991766097|85045027073|85065410868|85068611268|85071449219,https://www.scopus.com/authid/detail.uri?authorId=56180409500,unvalidated_query_candidate_articles
current_raw,140,100,56256131200,Kantorowicz J.,6,4,2,0,4,2,68,85107472095|85177160946|85184401293|85211024270|105004056027|105041049895,https://www.scopus.com/authid/detail.uri?authorId=56256131200,unvalidated_query_candidate_articles
current_raw,141,100,56281778100,Yeh Y.Y.,6,2,4,0,2,4,68,85017439852|85109261971|85174313637|85201967593|105041986691|105047389993,https://www.scopus.com/authid/detail.uri?authorId=56281778100,unvalidated_query_candidate_articles
current_raw,142,100,56394620600,Kiratli O.S.,6,5,4,3,2,1,68,85075140130|85089676686|85124711493|85146277524|85182157282|105019246500,https://www.scopus.com/authid/detail.uri?authorId=56394620600,unvalidated_query_candidate_articles
current_raw,143,100,56421548300,McDowell D.,6,3,3,0,3,3,68,85198640867|85198928846|85198999643|85205707787|105014746447|105035324372,https://www.scopus.com/authid/detail.uri?authorId=56421548300,unvalidated_query_candidate_articles
current_raw,144,100,56432557600,Fossati F.,6,5,1,0,5,1,68,85077337141|85096301151|85096834370|85144266639|85154072857|85195662019,https://www.scopus.com/authid/detail.uri?authorId=56432557600,unvalidated_query_candidate_articles
current_raw,145,100,56487997200,Wratil C.,6,1,5,0,1,5,68,85087511720|85123717163|85146260244|85167901790|85210970407|105003592596,https://www.scopus.com/authid/detail.uri?authorId=56487997200,unvalidated_query_candidate_articles
current_raw,146,100,56523595800,Liu M.,6,6,2,2,4,0,68,84943378770|84992630887|85042199807|85048798335|85056541355|85114939275,https://www.scopus.com/authid/detail.uri?authorId=56523595800,unvalidated_query_candidate_articles
current_raw,147,100,56554105500,Gummer T.,6,3,3,0,3,3,68,85030673307|85077722204|85090236618|85127278669|85139110080|85162915967,https://www.scopus.com/authid/detail.uri?authorId=56554105500,unvalidated_query_candidate_articles
current_raw,148,100,56964283000,Anson I.G.,6,5,5,4,1,1,68,84980002227|85044778098|85053912540|85084576941|85199807893|105025476971,https://www.scopus.com/authid/detail.uri?authorId=56964283000,unvalidated_query_candidate_articles
current_raw,149,100,57052662100,Höhne J.K.,6,5,1,0,5,1,68,85019054655|85076491034|85077537628|85081597577|85101878202|85130462555,https://www.scopus.com/authid/detail.uri?authorId=57052662100,unvalidated_query_candidate_articles
current_raw,150,100,57059866500,George B.,6,2,4,0,2,4,68,84980034387|85041652929|85063679523|85145548995|105015338737|105046885381,https://www.scopus.com/authid/detail.uri?authorId=57059866500,unvalidated_query_candidate_articles
current_raw,151,100,57188561529,Armaly M.T.,6,5,4,3,2,1,68,85042913904|85076564809|85089595931|85109173631|85196367284|105037852370,https://www.scopus.com/authid/detail.uri?authorId=57188561529,unvalidated_query_candidate_articles
current_raw,152,100,57190216222,Igarashi A.,6,6,0,0,6,0,68,85113817293|85129159055|85135896371|85146656510|85215270505|85219095528,https://www.scopus.com/authid/detail.uri?authorId=57190216222,unvalidated_query_candidate_articles
current_raw,153,100,57193195374,Kingsland J.T.,6,0,6,0,0,6,68,85062719018|85070298879|85097405858|85116111950|85130733510|105041076928,https://www.scopus.com/authid/detail.uri?authorId=57193195374,unvalidated_query_candidate_articles
current_raw,154,100,57193236353,Fesenfeld L.P.,6,5,1,0,5,1,68,85103645348|85124455446|85153072511|85188598133|105002030341|105046378266,https://www.scopus.com/authid/detail.uri?authorId=57193236353,unvalidated_query_candidate_articles
current_raw,155,100,57196403479,McDonald J.,6,5,3,2,3,1,68,85032863334|85062861887|85077627374|85089458248|85128381919|85177852839,https://www.scopus.com/authid/detail.uri?authorId=57196403479,unvalidated_query_candidate_articles
current_raw,156,100,57200226249,Hailey C.A.,6,6,4,4,2,0,68,85122061719|85128925708|85156261644|105010706705|105010714040|105040007038,https://www.scopus.com/authid/detail.uri?authorId=57200226249,unvalidated_query_candidate_articles
current_raw,157,100,57201432992,Williamson S.,6,3,4,1,2,3,68,85097946646|85098180961|85107370348|85144975057|105012359420|105024231488,https://www.scopus.com/authid/detail.uri?authorId=57201432992,unvalidated_query_candidate_articles
current_raw,158,100,57202349863,Lindgren E.,6,6,2,2,4,0,68,85047971161|85048862830|85059323617|85120071375|85136548419|85205860493,https://www.scopus.com/authid/detail.uri?authorId=57202349863,unvalidated_query_candidate_articles
current_raw,159,100,57203538647,Liu D.,6,2,4,0,2,4,68,85052056398|85113622220|85121318272|85146218802|85163016524|85168162046,https://www.scopus.com/authid/detail.uri?authorId=57203538647,unvalidated_query_candidate_articles
current_raw,160,100,57203980082,Stone A.R.,6,3,4,1,2,3,68,85048827300|85178318082|85202752226|85215106934|105043303679|105046226583,https://www.scopus.com/authid/detail.uri?authorId=57203980082,unvalidated_query_candidate_articles
current_raw,161,100,57205664253,Hart C.G.,6,6,3,3,3,0,68,85065436262|85098179663|85208651782|85216695265|105038637635|105047806694,https://www.scopus.com/authid/detail.uri?authorId=57205664253,unvalidated_query_candidate_articles
current_raw,162,100,57211437829,Sievert M.,6,6,2,2,4,0,68,85073935422|85088279135|85105957483|85150420579|85169435337|105016184441,https://www.scopus.com/authid/detail.uri?authorId=57211437829,unvalidated_query_candidate_articles
current_raw,163,100,57213579538,Malhotra N.,6,3,3,0,3,3,68,77957258431|79959924556|84858239000|85020679995|85056606391|105039663685,https://www.scopus.com/authid/detail.uri?authorId=57213579538,unvalidated_query_candidate_articles
current_raw,164,100,57216736131,Myrick R.,6,5,5,4,1,1,68,85084415374|85104521328|85125245859|85163023503|85184211388|105020196425,https://www.scopus.com/authid/detail.uri?authorId=57216736131,unvalidated_query_candidate_articles
current_raw,165,100,57217532548,Schwartz J.A.,6,5,2,1,4,1,68,85087359226|85149321800|85158910564|85178020236|85191344815|105029666557,https://www.scopus.com/authid/detail.uri?authorId=57217532548,unvalidated_query_candidate_articles
current_raw,166,100,57218118345,Lee S.,6,4,2,0,4,2,68,85124077537|85175146854|85178474686|85200033057|85204778122|105000329339,https://www.scopus.com/authid/detail.uri?authorId=57218118345,unvalidated_query_candidate_articles
current_raw,167,100,57219597903,Viskupič F.,6,6,1,1,5,0,68,85117229664|85126999861|85127199567|85136147119|85185931485|105015504490,https://www.scopus.com/authid/detail.uri?authorId=57219597903,unvalidated_query_candidate_articles
