variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,article_ids,status
current_published,150,96,57193195374,Kingsland J.T.,6,0,6,85062719018|85070298879|85097405858|85116111950|85130733510|105041076928,actual_frozen_dashboard_ranking
current_published,151,96,57194393515,Ventura T.,6,1,5,85108077988|85162949347|85184683757|105000531734|105002151721|105005410949,actual_frozen_dashboard_ranking
current_published,152,96,57196403479,McDonald J.,6,5,3,85032863334|85062861887|85077627374|85089458248|85128381919|85177852839,actual_frozen_dashboard_ranking
current_published,153,96,57200226249,Hailey C.A.,6,6,4,85122061719|85128925708|85156261644|105010706705|105010714040|105040007038,actual_frozen_dashboard_ranking
current_published,154,96,57201338729,Merkley E.,6,4,3,85083238041|85101329581|85114635657|85125126673|85213049466|105029615177,actual_frozen_dashboard_ranking
current_published,155,96,57201432992,Williamson S.,6,3,4,85097946646|85098180961|85107370348|85144975057|105012359420|105024231488,actual_frozen_dashboard_ranking
current_published,156,96,57202349863,Lindgren E.,6,6,2,85047971161|85048862830|85059323617|85120071375|85136548419|85205860493,actual_frozen_dashboard_ranking
current_published,157,96,57203538647,Liu D.,6,2,4,85052056398|85113622220|85121318272|85146218802|85163016524|85168162046,actual_frozen_dashboard_ranking
current_published,158,96,57203980082,Stone A.R.,6,3,4,85048827300|85178318082|85202752226|85215106934|105043303679|105046226583,actual_frozen_dashboard_ranking
current_published,159,96,57205664253,Hart C.G.,6,6,3,85065436262|85098179663|85208651782|85216695265|105038637635|105047806694,actual_frozen_dashboard_ranking
current_published,160,96,57211437829,Sievert M.,6,6,2,85073935422|85088279135|85105957483|85150420579|85169435337|105016184441,actual_frozen_dashboard_ranking
current_published,161,96,57213579538,Malhotra N.,6,3,3,77957258431|79959924556|84858239000|85020679995|85056606391|105039663685,actual_frozen_dashboard_ranking
current_published,162,96,57216736131,Myrick R.,6,5,5,85084415374|85104521328|85125245859|85163023503|85184211388|105020196425,actual_frozen_dashboard_ranking
current_published,163,96,57217532548,Schwartz J.A.,6,5,2,85087359226|85149321800|85158910564|85178020236|85191344815|105029666557,actual_frozen_dashboard_ranking
current_published,164,96,57218118345,Lee S.,6,4,2,85124077537|85175146854|85178474686|85200033057|85204778122|105000329339,actual_frozen_dashboard_ranking
current_published,165,96,57219597903,Viskupič F.,6,6,1,85117229664|85126999861|85127199567|85136147119|85185931485|105015504490,actual_frozen_dashboard_ranking
