author_name,institution_tess,department_aggregated,study_count,auid,scopus_name,affil_found,n_docs,confidence,n_candidates
Elizabeth N. Simas,"University of Houston | University of California, Davis | Texas A&M University",Political Science,7,35849422800,Simas Elizabeth N.,Texas A&M University,29,medium,1
Elizabeth Suhay,American University | Lafayette College,Public Affairs,2,25625306300,Suhay Elizabeth,American University,25,medium,1
Emily Sydnor,University of Arizona,Political Science,1,22981571500,Sydnor Emily R.M.,Johns Hopkins University School of Medicine,12,medium,3
Emma E. McGinty,Johns Hopkins Bloomberg School of Public Health | Johns Hopkins | Johns Hopkins University,Health and Medicine,3,35810646800,McGinty Emma Elizabeth,Weill Cornell Medicine,252,medium,3
Eric F. Dubow,Bowling Green State University and University of Michigan,Psychology,1,6701488409,Dubow Eric F.,"University of Michigan, Ann Arbor",82,medium,1
Erik Peterson,Texas A&M University | Stanford University,Political Science,3,56371168200,Peterson Lars Erik,Lääketieteellinen Tiedekunta,110,medium,25
Frederico Batista,Pereira Vanderbilt University,Political Science,1,7003808684,Batista Frederico M.M.,Centre for the Environment Fisheries and Aquaculture Science,52,medium,8
Gautam Nair,Harvard University | Yale University,Political Science,2,57203866699,Nair Gautam S.,Nitte Meenakshi Institute of Technology,7,medium,6
Genevieve Pham-Kanter,,Public Policy,1,28767906600,Kanter Genevieve P.,University of Pennsylvania Perelman School of Medicine,37,medium,1
Geoffrey P.R. Wallace,Rutgers University | University of Washington,Political Science,6,7202483022,Wallace Geoffrey B.,Children’s Health Queensland,24,medium,5
Gregory Gwiasda,Denison University,Political Science,1,6508329465,Gwiasda Gregory W.,Ipsos,3,medium,1
Harry Reis,,Psychology,1,7005004940,Reis Harry T.,University of Rochester,230,medium,2
Henning Silber,"GESIS – Leibniz-Institute for the Social Sciences, Germany",Statistics and Methodology,1,56102501200,Silber Henning,"University of Michigan, Ann Arbor",50,medium,1
Hunt Allcott,Microsoft Research | New York University,Economics,5,17433648600,Allcott Hunt,Stanford University,50,medium,1
Jacob Conway,University of Chicago Booth School of Business,Business,1,57219294082,Conway Jacob,The University of Chicago,3,medium,2
Jacob E. Rothschild,Reality Check Insights,Political Science,1,57195982699,Rothschild Jacob E.,Verasight,7,medium,5
Jaime Settle,College of William & Mary,Political Science,1,34877720900,Settle Jaime E.,William & Mary,38,medium,1
James L. Gibson,Washington University in St. Louis; Stellenbosch University (South Africa),Political Science,3,7202694496,Gibson Toby James,European Molecular Biology Laboratory Heidelberg,176,medium,25
James Piazza,The Pennsylvania State University,Unknown,1,8218844000,Piazza James A.,Pennsylvania State University,72,medium,2
James Yocom,University of Wisconsin - Madison Sara Wakefield Rutgers University- Newark,Criminal Justice,1,56894573800,Yocom James R.,,1,medium,1
Janet Swim,The Pennsylvania State University,Psychology,1,6701663494,Swim Janet Kay,Pennsylvania State University,122,medium,1
Jason Barabas,Dartmouth College | Florida State University,Political Science,2,7003671164,Barabas Jason,Rockefeller Center for Public Policy and the Social Sciences,30,medium,1
Jennifer A. Richeson,Yale University | Northwestern University,Psychology,2,7003917566,Richeson Jennifer A.,Yale University,128,medium,1
Jennifer L. Merolla,"Claremont Graduate University | University of California Riverside | University of California, Riverside",Political Science,3,16239468700,Merolla Jennifer L.,"University of California, Riverside",68,medium,1
Jennifer L. Mezzapelle,"University at Albany, SUNY",Psychology,1,57891913400,Mezzapelle Jennifer L.,George Mason University,9,medium,1
Joel Middleton,New York University,Statistics and Methodology,1,7202764313,Middleton Joel A.,Joel Middleton LLC,11,medium,2
John Ernst,Thomas More College,Psychology,1,7202651377,Ernst John V.,United States Department of Agriculture,78,medium,20
Joshua Kertzer,Dartmouth College,Political Science,1,23485677100,Kertzer Joshua D.,Harvard University,37,medium,1
Kate Farrow,,Economics,1,,,,,none,0
Katherine Clayon,Stanford University,Political Science,1,,,,,none,0
Katherine Weisshaar,University of North Carolina - Chapel Hill,Sociology,1,56378689300,Weisshaar Katherine R.,Northwestern University,15,medium,1
Kathleen Donovan,Stony Brook University,Political Science,1,7103332207,Donovan Kathleen A.,Mayo Clinic,20,medium,25
Kevin Arceneaux,Sciences Po Paris | Temple University,Political Science,3,57204262962,Arceneaux Kevin (Vin),Centre de Recherches Politiques de Sciences Po,85,medium,1
Kevin Mullinix,Northwestern University,Political Science,1,37063497400,Mullinix Kevin J.,University of Kansas,22,medium,1
Kevin Pinkston,The University of Iowa,Sociology,1,56495038200,Pinkston Kevin D.,University of Illinois at Chicago,4,medium,1
Kimberly Rios Morrison,Ohio University,Psychology,1,58615016600,Morrison Kimberly Rios,The University of Chicago,24,medium,9
Krista Loose,Massachusetts Institute of Technology,Political Science,1,55503231400,Loose Krista,Northern Kentucky University,1,medium,2
Kwan-Lamar Blount-Hill,Borough of Manhattan Community College,Criminal Justice,1,57195522139,Blount-Hill Kwan Lamar,Arizona State University Downtown Phoenix Campus,57,medium,1
Landon Schnabel,Cornell University | Indiana University Bloomington,Sociology,3,56071751000,Schnabel Landon,Cornell University,57,medium,1
Laura Scherer,The University of Misourri,Psychology,1,33267933200,Scherer Laura D.,Denver-Seattle Center of Innovation,132,medium,8
Leslie McCall,"The Graduate Center, City University of New York",Sociology,2,7003603575,McCall Leslie,The Graduate Center,33,medium,2
Levi Boxell,Independent researcher,Economics,1,56624531700,Boxell Levi,Stanford University,11,medium,1
Liberty Barnes,,Unknown,1,56899254500,Barnes Liberty Walther,University of Oregon,7,medium,1
Long Doan,University of Maryland | Indiana University,Sociology,3,55636964600,Doan Long,Hamilton College,39,medium,22
Maria Abascal,Brown University,Sociology,1,7003273819,Abascal-Junquera Jose Maria,Universitat Pompeu Fabra Barcelona,69,medium,18
Maryann Fiebach,,Unknown,1,58243225600,Fiebach Maryann,Stamford Hospital,3,medium,2
Marzia Oceno,Vanderbilt University,Political Science,1,57203743434,Oceno Marzia,Florida International University,7,medium,1
"Matthew M. Davis, MD, MAPP",University of Michigan,Public Policy,2,,,,,none,0
Maureen Alyson Craig,New York University | Northwestern University,Psychology,3,37107583800,Craig M. A.,Duke University,35,medium,5
Maya Sen,Harvard University | University of Rochester,Public Policy,2,56465449000,Sen Maya,John F. Kennedy School of Government,48,medium,8
Melanie Penny,Harvard University William Julius Wilson Harvard University,Sociology,1,25923521800,Penny Melanie,,1,medium,1
Melissa Shannon,London School of Economics,Public Policy,2,57221304853,Shannon Melissa,British Broadcasting Corporation,2,medium,5
Meredith Sadin,Princeton University,Unknown,1,56612026700,Sadin Meredith L.,"University of California, Berkeley",11,medium,1
Michael Hankinson,"George Washington University | Baruch College, City University of New York | Harvard University",Political Science,3,57210726256,Hankinson Paul Michael,"Faculty of Medicine, Dentistry and Health",19,medium,3
Michael Murakami,Georgetown University,Unknown,1,16068965800,Murakami Michael H.,Latinum Network,11,medium,1
Michele Margolis,University of Pennsylvania | Massachusetts Institute of Technology,Political Science,2,54891708000,Margolis Michele F.,University of Pennsylvania School of Arts and Sciences,19,medium,1
Mohana Turaga,Indian Institute of Technology,Unknown,1,9736959700,Turaga Rama Mohana Rao,Indian Institute of Management Ahmedabad,31,medium,2
Monica Schneider,Miami University of Ohio,Political Science,1,7404064441,Schneider Monica C.,Miami University,34,medium,12
Natalie M. Jackson,Duke University,Unknown,1,57201738169,Jackson Natalie,Medicines Evaluation Unit,16,medium,25
Natasha Quadlin,"University of California, Los Angeles | Ohio State University",Sociology,4,56534131300,Quadlin Natasha,"University of California, Los Angeles",28,medium,2
Nicholas A. Valentino,"University of Michigan, Ann Arbor | University of Michigan",Political Science,4,6603349293,Valentino Nicholas A.,"University of Michigan, Ann Arbor",54,medium,1
Paul Boxer,"Rutgers University, Newark and University of Michigan",Psychology,1,7003451142,Boxer Paul,"University of Michigan, Ann Arbor",121,medium,5
Peter Liberman,Queens College and Graduate Center of the City University of New York,Political Science,1,6603482973,Liberman Peter,"Queens College, City University of New York",14,medium,1
Philip Garland,Communication Leadership,Communication,1,54419921900,Garland Philip P.,University of New Brunswick,24,medium,5
Pia Dietze,"University of California, Irvine | University of California Irvine | New York University",Psychology,3,56646126000,Dietze Pia,"University of California, Irvine",13,medium,1
Rachel Kubicki,University of South Florida,Psychology,1,,,,,none,0
Ravi Vora,University of Wyoming,Political Science,1,57111829300,Vora Ravi S.,Emory University School of Medicine,14,medium,2
Rebecca Ferrer,National Cancer Institute | National Institutes of Health,Political Science,4,23059913900,Ferrer Rebecca A.,National Cancer Institute (NCI),155,medium,2
Richard M. Shafranek,HIT Strategies | Northwestern University,Political Science,2,57193264144,Shafranek Richard M.,Northwestern University,8,medium,1
Robyn Dawes,Carnegie Mellon University Erzo Luttmer Dartmouth College,Economics,1,25955434200,Dawes Robyn Mason,Carnegie Mellon University,111,medium,2
Sachini Bandara,Johns Hopkins School of Public Health,Health and Medicine,1,56513594200,Bandara Sachini N.,Johns Hopkins Bloomberg School of Public Health,77,medium,1
Samantha Kosai,University of Southern California,Sociology,1,,,,,none,0
Sara Morell,University of Michigan,Unknown,1,58644510300,Morell Sara,The College of New Jersey,3,medium,3
Sascha Demerjian,Emory University,Sociology,1,,,,,none,0
Scott Clifford,Texas A&M University | University of Houston,Political Science,2,56487218300,Clifford Scott,Texas A&M University,46,medium,7
Spencer Piston,Boston University | University of Michigan,Political Science,2,35604457000,Piston Spencer,College of Arts & Sciences,29,medium,1
Stanley Feldman,SUNY Stony Brook,Political Science,1,56239499600,Feldman Stanley A.,Chelsea and Westminster Hospital,128,medium,6
Stephen Utych,Formerly Boise State University | Boise State University,Political Science,2,54785521400,Utych Stephen M.,Boise State University,31,medium,1
Taeku Lee,UC Berkeley,Political Science,1,7501438338,Lee Taeku,Harvard University,36,medium,2
Tammon Nash,University of Michigan,Unknown,1,57216835629,Nash Tammon A.,Wayne State University School of Medicine,4,medium,1
Timothy Ryan,"University of North Carolina at Chapel Hill | University of North Carolina, Chapel Hill",Political Science,2,13309460300,Ryan Timothy Aidan,Weill Cornell Medicine,115,medium,25
Tobias Stark,"University of Utrecht, Netherlands",Unknown,1,55572348500,Stark Tobias H.,European Research Centre on Migration & Ethnic Relations - ERCOMER,55,medium,8
Vanessa Williamson,Johns Hopkins University,Political Science,1,43061682700,Williamson Vanessa S.,The Brookings Institution,7,medium,4
Vesla M. Weaver,Yale University | University of Virginia,Political Science,2,35973462400,Weaver Vesla Mae,Johns Hopkins University,26,medium,1
Will Gorman,Lawrence Berkeley National lab,Political Science,1,56227045100,Gorman Will H.,"University of California, Berkeley",30,medium,1
Yanna Krupnikov,Stony Brook University | Northwestern University,Communication,6,15065767900,Krupnikov Yanna,"University of Michigan, Ann Arbor",60,medium,1
