position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status,in_dashboard_pool
145,96,56964283000,Anson I.G.,6,1,5,5,1,Amazon Mechanical Turk,5.0,true,84980002227|85044778098|85053912540|85084576941|85199807893|105025476971,https://www.scopus.com/authid/detail.uri?authorId=56964283000,provisional_query_candidates,false
146,96,57052662100,Höhne J.K.,6,2,5,1,0,,2.25,false,85019054655|85076491034|85077537628|85081597577|85101878202|85130462555,https://www.scopus.com/authid/detail.uri?authorId=57052662100,provisional_query_candidates,false
147,96,57059866500,George B.,6,0,2,4,0,,2.283333,false,84980034387|85041652929|85063679523|85145548995|105015338737|105046885381,https://www.scopus.com/authid/detail.uri?authorId=57059866500,provisional_query_candidates,false
148,96,57188561529,Armaly M.T.,6,0,5,4,0,,4.5,false,85042913904|85076564809|85089595931|85109173631|85196367284|105037852370,https://www.scopus.com/authid/detail.uri?authorId=57188561529,provisional_query_candidates,false
149,96,57190216222,Igarashi A.,6,4,6,0,0,,2.833333,false,85113817293|85129159055|85135896371|85146656510|85215270505|85219095528,https://www.scopus.com/authid/detail.uri?authorId=57190216222,provisional_query_candidates,false
150,96,57193195374,Kingsland J.T.,6,6,0,6,1,Amazon Mechanical Turk,2.0,false,85062719018|85070298879|85097405858|85116111950|85130733510|105041076928,https://www.scopus.com/authid/detail.uri?authorId=57193195374,provisional_query_candidates,false
151,96,57194393515,Ventura T.,6,4,1,5,0,,1.45,false,85108077988|85162949347|85184683757|105000531734|105002151721|105005410949,https://www.scopus.com/authid/detail.uri?authorId=57194393515,provisional_query_candidates,false
152,96,57196403479,McDonald J.,6,1,5,3,0,,3.666667,false,85032863334|85062861887|85077627374|85089458248|85128381919|85177852839,https://www.scopus.com/authid/detail.uri?authorId=57196403479,provisional_query_candidates,false
153,96,57200226249,Hailey C.A.,6,0,6,4,0,,4.7,false,85122061719|85128925708|85156261644|105010706705|105010714040|105040007038,https://www.scopus.com/authid/detail.uri?authorId=57200226249,provisional_query_candidates,false
154,96,57201338729,Merkley E.,6,1,4,3,1,Amazon Mechanical Turk,3.5,false,85083238041|85101329581|85114635657|85125126673|85213049466|105029615177,https://www.scopus.com/authid/detail.uri?authorId=57201338729,provisional_query_candidates,false
155,96,57201432992,Williamson S.,6,0,3,4,0,,2.916667,false,85097946646|85098180961|85107370348|85144975057|105012359420|105024231488,https://www.scopus.com/authid/detail.uri?authorId=57201432992,provisional_query_candidates,false
156,96,57202349863,Lindgren E.,6,1,6,2,0,,3.059524,false,85047971161|85048862830|85059323617|85120071375|85136548419|85205860493,https://www.scopus.com/authid/detail.uri?authorId=57202349863,provisional_query_candidates,false
157,96,57203538647,Liu D.,6,1,2,4,0,,2.5,false,85052056398|85113622220|85121318272|85146218802|85163016524|85168162046,https://www.scopus.com/authid/detail.uri?authorId=57203538647,provisional_query_candidates,false
158,96,57203980082,Stone A.R.,6,1,3,4,0,,2.95,false,85048827300|85178318082|85202752226|85215106934|105043303679|105046226583,https://www.scopus.com/authid/detail.uri?authorId=57203980082,provisional_query_candidates,false
159,96,57205664253,Hart C.G.,6,1,6,3,0,,4.166667,false,85065436262|85098179663|85208651782|85216695265|105038637635|105047806694,https://www.scopus.com/authid/detail.uri?authorId=57205664253,provisional_query_candidates,false
160,96,57211437829,Sievert M.,6,1,6,2,0,,3.416667,false,85073935422|85088279135|85105957483|85150420579|85169435337|105016184441,https://www.scopus.com/authid/detail.uri?authorId=57211437829,provisional_query_candidates,false
161,96,57213579538,Malhotra N.,6,0,3,3,0,,2.833333,true,77957258431|79959924556|84858239000|85020679995|85056606391|105039663685,https://www.scopus.com/authid/detail.uri?authorId=57213579538,provisional_query_candidates,false
162,96,57216736131,Myrick R.,6,1,5,5,0,,4.833333,false,85084415374|85104521328|85125245859|85163023503|85184211388|105020196425,https://www.scopus.com/authid/detail.uri?authorId=57216736131,provisional_query_candidates,false
163,96,57217532548,Schwartz J.A.,6,0,5,2,0,,3.333333,true,85087359226|85149321800|85158910564|85178020236|85191344815|105029666557,https://www.scopus.com/authid/detail.uri?authorId=57217532548,provisional_query_candidates,false
164,96,57218118345,Lee S.,6,0,4,2,0,,3.0,false,85124077537|85175146854|85178474686|85200033057|85204778122|105000329339,https://www.scopus.com/authid/detail.uri?authorId=57218118345,provisional_query_candidates,false
165,96,57219597903,Viskupič F.,6,5,6,1,0,,3.166667,false,85117229664|85126999861|85127199567|85136147119|85185931485|105015504490,https://www.scopus.com/authid/detail.uri?authorId=57219597903,provisional_query_candidates,false
