queue_position,batch,scopus_id,suggested_filename,title,year,journal,doi,article_url,credited_researchers,n_credited_researchers,rationale,question,requested_evidence,openalex_id,oa_status,acquisition_status,source_url,source_sha256,identity_check,checked_at,n_attempted_urls,open_location_found,open_location_url,reason,downloaded_filename,pdf_kind
11,2,84921455919,84921455919.pdf,"Privacy, technology, and norms: The case of Smart Meters",2015,Social Science Research,10.1016/j.ssresearch.2014.12.003,https://doi.org/10.1016/j.ssresearch.2014.12.003,Christine Horne,1,Smart-meter privacy and social norms do not identify respondent country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W1991980504,closed,manual_download_needed,,,,2026-09-09T12:54:39.106268+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
12,2,85074603977,85074603977.pdf,Technology use and norm change in online privacy: experimental evidence from vignette studies,2021,Information Communication and Society,10.1080/1369118X.2019.1684542,https://doi.org/10.1080/1369118X.2019.1684542,Christine Horne,1,Household energy app without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2983754614,green,manual_download_needed,,,,2026-09-09T12:54:39.106670+00:00,2,true,https://dspace.library.uu.nl/handle/1874/407895,"Open location indexed, but no verified PDF could be downloaded automatically",,
13,2,85103905289,85103905289.pdf,Testing an Integrated Theory: Distancing Norms in the Early Months of Covid-19,2021,Sociological Perspectives,10.1177/07311214211005493,https://doi.org/10.1177/07311214211005493,Christine Horne,1,Distancing norms without country-specific sampling information.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3145604128,bronze,manual_download_needed,,,,2026-09-09T12:54:39.107476+00:00,2,true,https://journals.sagepub.com/doi/pdf/10.1177/07311214211005493,"Open location indexed, but no verified PDF could be downloaded automatically",,
14,2,105042428497,105042428497.pdf,Externalities and norms in the context of a novel virus,2026,Rationality and Society,10.1177/10434631261462445,https://doi.org/10.1177/10434631261462445,Christine Horne,1,Novel virus vignette experiments without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W7165547125,closed,manual_download_needed,,,,2026-09-09T12:54:39.108258+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
15,2,84931077293,84931077293.pdf,Interpreting Performance Information: Motivated Reasoning or Unbiased Comprehension,2016,Public Administration Review,10.1111/puar.12406,https://doi.org/10.1111/puar.12406,Martin Bækgaard,1,No sample country or country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W1900652424,gold,downloaded_open_copy,https://pure.au.dk/ws/files/119800935/Interpreting_Performance_Information_Accepted_manuscript_2016.pdf,365e70c9e74a283e1dd72de7564b1d3f81cc61764f4897ff007d540867bf6969,title_match_in_first_three_pages,2026-09-09T12:45:11.592689+00:00,1,true,https://pure.au.dk/ws/files/119800935/Interpreting_Performance_Information_Accepted_manuscript_2016.pdf,PDF acquired; geography review pending,84931077293.pdf,article_or_manuscript
16,2,84977676153,84977676153.pdf,Causes of Fiscal Illusion: Lack of Information or Lack of Attention?,2016,Public Budgeting and Finance,10.1111/pbaf.12091,https://doi.org/10.1111/pbaf.12091,Martin Bækgaard,1,No sample country or country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2410164531,gold,downloaded_open_copy,https://pure.au.dk/ws/files/119801786/Causes_of_fiscal_illusion_Accepted_manuscript_2016.pdf,338399de4bd4fa5a0509c8f7fe6576176824291f86419a0b95642fc943ce86c0,title_match_in_first_three_pages,2026-09-09T12:54:39.109420+00:00,3,true,https://pure.au.dk/portal/en/publications/30bfdab8-d04f-479c-a9b2-4da18f87516e,PDF acquired; geography review pending,84977676153.pdf,article_or_manuscript
17,2,85034662474,85034662474.pdf,Ratio Bias and Policy Preferences: How Equivalency Framing of Numbers Can Affect Attitudes,2017,Political Psychology,10.1111/pops.12362,https://doi.org/10.1111/pops.12362,Rasmus Tue Pedersen,1,Education and tax policy not uniquely American.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2527267699,closed,downloaded_open_copy,https://www.asc.upenn.edu/sites/default/files/2021-03/Ratio%20Bias%20and%20Policy%20Preferences-%20How%20Equivalency%20Framing%20of%20Numbers%20Can%20Affect%20Attitudes.pdf,37d458b13c4c28cf548005dc5516b564546896ab22b9d25dcc185edf79549968,title_match_in_first_three_pages,2026-09-09T12:54:39.109469+00:00,1,true,https://www.asc.upenn.edu/sites/default/files/2021-03/Ratio%20Bias%20and%20Policy%20Preferences-%20How%20Equivalency%20Framing%20of%20Numbers%20Can%20Affect%20Attitudes.pdf,PDF acquired; geography review pending,85034662474.pdf,article_or_manuscript
18,2,85046645518,85046645518.pdf,Politicians Appear More Competent When Using Numerical Rhetoric,2017,Journal of Experimental Political Science,10.1017/XPS.2017.7,https://doi.org/10.1017/XPS.2017.7,Rasmus Tue Pedersen,1,Numerical political rhetoric without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2751681333,green,manual_download_needed,,,,2026-09-09T12:54:39.113608+00:00,3,true,https://hdl.handle.net/10398/fe705228-42ac-473a-8244-6096c3ea5d0c,"Open location indexed, but no verified PDF could be downloaded automatically",,
19,2,85059905845,85059905845.pdf,Those Who Understand It will not be Persuaded: A Performance Information Paradox,2020,International Public Management Journal,10.1080/10967494.2018.1461152,https://doi.org/10.1080/10967494.2018.1461152,Martin Bækgaard,1,No sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2795420662,gold,downloaded_open_copy,https://pure.au.dk/ws/files/188713454/Those_who_understand_it_will_not_be_persuaded_Accepted_manuscript_2020.pdf,f748465394897e35c8fb073ddae821fc2b4ba1a0bc33b5fc454b7284b65b824f,title_match_in_first_three_pages,2026-09-09T12:45:14.323895+00:00,1,true,https://pure.au.dk/ws/files/188713454/Those_who_understand_it_will_not_be_persuaded_Accepted_manuscript_2020.pdf,PDF acquired; geography review pending,85059905845.pdf,article_or_manuscript
20,2,85068002083,85068002083.pdf,Rewarding the Top: Citizens' Opposition to Higher Pay for Politicians,2019,Scandinavian Political Studies,10.1111/1467-9477.12146,https://doi.org/10.1111/1467-9477.12146,Rasmus Tue Pedersen,1,Politicians' pay without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2954906975,green,manual_download_needed,,,,2026-09-09T12:54:40.640881+00:00,2,true,https://research.cbs.dk/en/publications/4d835654-75e9-422a-ab77-1de62a5c46ec,"Open location indexed, but no verified PDF could be downloaded automatically",,
21,3,85070986430,85070986430.pdf,Voter reactions to candidate background characteristics depend on candidate policy positions,2019,Electoral Studies,10.1016/j.electstud.2019.102066,https://doi.org/10.1016/j.electstud.2019.102066,Rasmus Tue Pedersen,1,Candidate backgrounds without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2969766750,bronze,manual_download_needed,,,,2026-09-09T12:54:40.645895+00:00,2,true,https://www.sciencedirect.com/science/article/pii/S0261379419300496,"Open location indexed, but no verified PDF could be downloaded automatically",,
22,3,85083358513,85083358513.pdf,Citizen Attitudes on Politicians’ Pay: Trust Issues Are Not Solved by Delegation,2020,Political Studies,10.1177/0032321719850073,https://doi.org/10.1177/0032321719850073,Rasmus Tue Pedersen,1,Politicians' pay without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2945543915,green,downloaded_open_copy,https://curis.ku.dk/ws/files/240634428/Citizen_attitudes_on_politicians_pay_postprint.pdf,50d951b6fe68d4d6ec8d7ebdc16b2f283cf98ff42d7110c9909960179b4b5da5,title_match_in_first_three_pages,2026-09-09T12:45:18.252031+00:00,1,true,https://curis.ku.dk/ws/files/240634428/Citizen_attitudes_on_politicians_pay_postprint.pdf,PDF acquired; geography review pending,85083358513.pdf,article_or_manuscript
23,3,85083672997,85083672997.pdf,Putting a number on preferences: How numerical attitudes are shaped by ideology and equivalency framing,2019,International Journal of Public Opinion Research,10.1093/ijpor/edy020,https://doi.org/10.1093/ijpor/edy020,Rasmus Tue Pedersen,1,Numerical preferences without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2904356262,closed,manual_download_needed,,,,2026-09-09T12:54:40.650591+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
24,3,85125441524,85125441524.pdf,Citizens' Aversion to Pay Raises for Politicians: The Risk of Self-Interest Matter More Than the Promise of Competence,2022,International Journal of Public Opinion Research,10.1093/ijpor/edab034,https://doi.org/10.1093/ijpor/edab034,Rasmus Tue Pedersen,1,Politicians' salaries without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4206836496,closed,manual_download_needed,,,,2026-09-09T12:54:40.651781+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
25,3,85196067903,85196067903.pdf,Online Abuse of Politicians: Experimental Evidence on Politicians’ Own Perceptions,2025,Political Behavior,10.1007/s11109-024-09944-8,https://doi.org/10.1007/s11109-024-09944-8,Rasmus Tue Pedersen,1,Politicians from several government levels without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4399731203,hybrid,manual_download_needed,,,,2026-09-09T12:54:40.653199+00:00,1,true,https://doi.org/10.1007/s11109-024-09944-8,"Open location indexed, but no verified PDF could be downloaded automatically",,
26,3,105019779764,105019779764.pdf,Public Budget Cuts: Political Communication Strategies and Citizen Reactions,2025,Political Studies,10.1177/00323217251382336,https://doi.org/10.1177/00323217251382336,Rasmus Tue Pedersen,1,Budget cuts experiment without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4415466878,closed,manual_download_needed,,,,2026-09-09T12:54:40.655325+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
27,3,84878955277,84878955277.pdf,An Experimental Test of the Expectancy-Disconfirmation Theory of Citizen Satisfaction,2013,Journal of Policy Analysis and Management,10.1002/pam.21702,https://doi.org/10.1002/pam.21702,Gregg G. Van Ryzin,1,The Internet panel's country is unspecified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W1552948054,closed,manual_download_needed,,,,2026-09-09T12:54:40.656817+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
28,3,84918780367,84918780367.pdf,Benchmarks and Citizen Judgments of Local Government Performance: Findings from a survey experiment,2015,Public Management Review,10.1080/14719037.2013.798027,https://doi.org/10.1080/14719037.2013.798027,Gregg G. Van Ryzin,1,Grade terminology and state comparisons do not establish which country's panel was sampled.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W1995539080,closed,manual_download_needed,,,,2026-09-09T12:54:40.658150+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
29,3,84963994831,84963994831.pdf,"How Citizens Respond to Outputs, Outcomes, and Costs: A Survey Experiment About an HIV/AIDS Program",2017,International Public Management Journal,10.1080/10967494.2016.1143425,https://doi.org/10.1080/10967494.2016.1143425,Gregg G. Van Ryzin,1,HIV programme without sample location.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2329138508,closed,manual_download_needed,,,,2026-09-09T12:54:40.659848+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
30,3,85067581830,85067581830.pdf,Coproduction and trust in government: evidence from survey experiments,2019,Public Management Review,10.1080/14719037.2019.1619812,https://doi.org/10.1080/14719037.2019.1619812,Gregg G. Van Ryzin,1,Coproduction experiments without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2952747406,closed,manual_download_needed,,,,2026-09-09T12:54:40.661016+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
31,4,85096111198,85096111198.pdf,Evidence of an Output Bias in the Judgment of Public Performance: A Replication and Extension,2021,Public Performance and Management Review,10.1080/15309576.2020.1835679,https://doi.org/10.1080/15309576.2020.1835679,Gregg G. Van Ryzin,1,Programme examples without country; name of intervention alone insufficient.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3098912040,closed,manual_download_needed,,,,2026-09-09T12:54:40.662396+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
32,4,85101069099,85101069099.pdf,"You’re definitely wrong, maybe: Correction style has minimal effect on corrections of misinformation online",2021,Media and Communication,10.17645/mac.v9i1.3519,https://doi.org/10.17645/mac.v9i1.3519,David G. Rand,1,Lucid sample without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3126207517,gold,downloaded_open_copy,https://dspace.mit.edu/bitstream/1721.1/129719/1/MaC%209%281%29%20-%20You%27re%20Definitely%20Wrong%2c%20Maybe%20Correction%20Style%20Has%20Minimal%20Effect%20on%20Corrections%20of%20Misinformation%20Online.pdf,7197e68e93b2250e296104c257fd7a66af42b79e9014cb51e4c25d4467a0ecfc,title_match_in_first_three_pages,2026-09-09T12:45:19.327196+00:00,3,true,https://www.cogitatiopress.com/mediaandcommunication/article/download/3519/3519,PDF acquired; geography review pending,85101069099.pdf,article_or_manuscript
33,4,85103049149,85103049149.pdf,Shifting attention to accuracy can reduce misinformation online,2021,Nature,10.1038/s41586-021-03344-2,https://doi.org/10.1038/s41586-021-03344-2,David G. Rand,1,Twitter and misinformation without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3124726575,bronze,downloaded_open_copy,https://ide.mit.edu/sites/default/files/publications/Pennycook%20et%20al%20-%20Shifting%20attention%20to%20accuracy.pdf,e41d48620e853b6211e46d6d015e111842381616bab0d956e2f7fe5e6f266e85,title_match_in_first_three_pages,2026-09-09T12:54:40.667000+00:00,3,true,https://www.nature.com/articles/s41586-021-03344-2.pdf,PDF acquired; geography review pending,85103049149.pdf,article_or_manuscript
34,4,85117921915,85117921915.pdf,Developing an accuracy-prompt toolkit to reduce COVID-19 misinformation online,2021,Harvard Kennedy School Misinformation Review,10.37016/mr-2020-71,https://doi.org/10.37016/mr-2020-71,David G. Rand,1,COVID misinformation experiment without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3161219713,diamond,downloaded_open_copy,https://misinforeview.hks.harvard.edu/wp-content/uploads/2021/05/epstein_toolkit_covid_19_misinformation_20210518.pdf,41eb31cfea32ce5c943485f39d165a65bac9669612a38c7a7144b24805684887,title_match_in_first_three_pages,2026-09-09T12:45:19.981331+00:00,1,true,https://misinforeview.hks.harvard.edu/wp-content/uploads/2021/05/epstein_toolkit_covid_19_misinformation_20210518.pdf,PDF acquired; geography review pending,85117921915.pdf,article_or_manuscript
35,4,85130585909,85130585909.pdf,Digital literacy is associated with more discerning accuracy judgments but not sharing intentions,2021,Harvard Kennedy School Misinformation Review,10.37016/mr-2020-83,https://doi.org/10.37016/mr-2020-83,David G. Rand,1,News accuracy experiment without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4200143997,diamond,downloaded_open_copy,https://misinforeview.hks.harvard.edu/wp-content/uploads/2021/12/sirlin_digital_literacy_20211206.pdf,7dc5d8c9d35dc0925e33eb53d68fc7851dd97abd306949bec8923dd1338cfff7,title_match_in_first_three_pages,2026-09-09T12:45:21.743382+00:00,1,true,https://misinforeview.hks.harvard.edu/wp-content/uploads/2021/12/sirlin_digital_literacy_20211206.pdf,PDF acquired; geography review pending,85130585909.pdf,article_or_manuscript
36,4,85205594046,85205594046.pdf,Differences in misinformation sharing can lead to politically asymmetric sanctions,2024,Nature,10.1038/s41586-024-07942-8,https://doi.org/10.1038/s41586-024-07942-8,David G. Rand,1,US Twitter data and 16-country pooled sources; survey-experiment countries not separately identified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4403062984,hybrid,manual_download_needed,,,,2026-09-09T12:54:41.269877+00:00,6,true,https://www.nature.com/articles/s41586-024-07942-8.pdf,"Open location indexed, but no verified PDF could be downloaded automatically",,
37,4,85206618776,85206618776.pdf,Psychological Underpinnings of Partisan Bias in Tie Formation on Social Media,2024,Journal of Experimental Psychology General,10.1037/xge0001662,https://doi.org/10.1037/xge0001662,David G. Rand,1,Partisan social-media experiment without country or named parties.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4403429177,hybrid,manual_download_needed,,,,2026-09-09T12:54:41.285373+00:00,1,true,https://doi.org/10.1037/xge0001662,"Open location indexed, but no verified PDF could be downloaded automatically",,
38,4,84944232504,84944232504.pdf,From the general to the specific: How social trust motivates relational trust,2016,Social Science Research,10.1016/j.ssresearch.2015.09.004,https://doi.org/10.1016/j.ssresearch.2015.09.004,Blaine G. Robbins,1,MTurk and university students do not establish country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2192582564,closed,manual_download_needed,,,,2026-09-09T12:54:41.288786+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
39,4,84983314158,84983314158.pdf,"Probing the Links Between Trustworthiness, Trust, and Emotion: Evidence From Four Survey Experiments",2016,Social Psychology Quarterly,10.1177/0190272516657546,https://doi.org/10.1177/0190272516657546,Blaine G. Robbins,1,MTurk and university students do not establish country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3126119539,closed,manual_download_needed,,,,2026-09-09T12:54:41.289546+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
40,4,85033780100,85033780100.pdf,"Status, identity, and ability in the formation of trust",2017,Rationality and Society,10.1177/1043463117734179,https://doi.org/10.1177/1043463117734179,Blaine G. Robbins,1,MTurk and university students do not establish country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2763114902,closed,manual_download_needed,,,,2026-09-09T12:54:41.290322+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
41,5,85033788510,85033788510.pdf,When Social Constraints Increase Trust: Considering Causal Attributions as a Source of Treatment Effect Heterogeneity,2016,Socius,10.1177/2378023116667360,https://doi.org/10.1177/2378023116667360,Blaine G. Robbins,1,Crowdsourced samples without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2773743859,gold,manual_download_needed,,,,2026-09-09T12:54:41.291592+00:00,1,true,https://doi.org/10.1177/2378023116667360,"Open location indexed, but no verified PDF could be downloaded automatically",,
42,5,85044032298,85044032298.pdf,Legitimate authorities and rational taxpayers: An investigation of voluntary compliance and method effects in a survey experiment of income tax evasion,2018,Rationality and Society,10.1177/1043463118759671,https://doi.org/10.1177/1043463118759671,Blaine G. Robbins,1,University undergraduates without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3121728683,closed,manual_download_needed,,,,2026-09-09T12:54:41.292569+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
43,5,85066959974,85066959974.pdf,Measuring Generalized Trust: Two New Approaches,2022,Sociological Methods and Research,10.1177/0049124119852371,https://doi.org/10.1177/0049124119852371,Blaine G. Robbins,1,Qualtrics panel without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2943378665,closed,manual_download_needed,,,,2026-09-09T12:54:41.293116+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
